entidad,ubic_geo,delitos,totalca1
"02","2003",70600,"0"
"02","2003",70900,"1"
"02","2003",80100,"3"
"02","2003",80101,"3"
"02","2003",80102,"0"
"02","2003",80103,"0"
"02","2003",80104,"0"
"02","2003",80105,"0"
"02","2003",80106,"0"
"02","2003",80107,"0"
"02","2003",80109,"0"
"02","2003",80199,""
"02","2003",80200,"0"
"02","2003",80201,"0"
"02","2003",80209,"0"
"02","2003",80299,""
"02","2003",80300,"0"
"02","2003",80400,"0"
"02","2003",80900,"1"
"02","2003",90100,"5"
"02","2003",90200,"6"
"02","2003",90300,"2"
"02","2003",90400,"0"
"02","2003",90500,"0"
"02","2003",90501,"0"
"02","2003",90502,"0"
"02","2003",90503,"0"
"02","2003",90509,"0"
"02","2003",90599,""
"02","2003",90600,"0"
"02","2003",90700,"0"
"02","2003",90701,"0"
"02","2003",90709,"0"
"02","2003",90799,""
"02","2003",90800,"0"
"02","2003",90900,"0"
"02","2003",91000,"0"
"02","2003",91100,"0"
"02","2003",91200,"0"
"02","2003",91300,"0"
"02","2003",91400,"0"
"02","2003",91500,"0"
"02","2003",91600,"0"
"02","2003",91900,"2"
"02","2003",999999,""
"02","2004",10100,"170"
"02","2004",10200,"1"
"02","2004",10300,"0"
"02","2004",10400,"238"
"02","2004",10900,"2"
"02","2004",20100,"16"
"02","2004",20200,"1"
"02","2004",20300,"6"
"02","2004",20400,"0"
"02","2004",20500,"0"
"02","2004",20600,"25"
"02","2004",20601,"0"
"02","2004",20602,"2"
"02","2004",20603,"NSS"
"02","2004",20604,"NSS"
"02","2004",20609,"NSS"
"02","2004",20699,""
"02","2004",20900,"0"
"02","2004",30100,"39"
"02","2004",30200,"0"
"02","2004",30300,"0"
"02","2004",30400,"11"
"02","2004",30500,"36"
"02","2004",30600,"0"
"02","2004",30700,"0"
"02","2004",30900,"0"
"02","2004",40100,"821"
"02","2004",40101,"NSS"
"02","2004",40102,"94"
"02","2004",40103,"353"
"02","2004",40104,"1"
"02","2004",40105,"1"
"02","2004",40106,"NSS"
"02","2004",40107,"2"
"02","2004",40108,"NSS"
"02","2004",40109,"NSS"
"02","2004",40110,"NSS"
"02","2004",40111,"NSS"
"02","2004",40112,"NSS"
"02","2004",40113,"48"
"02","2004",40114,"NSS"
"02","2004",40115,"0"
"02","2004",40116,"NSS"
"02","2004",40119,"1"
"02","2004",40199,""
"02","2004",40200,"0"
"02","2004",40300,"79"
"02","2004",40400,"16"
"02","2004",40500,"1"
"02","2004",40501,"NSS"
"02","2004",40509,"NSS"
"02","2004",40599,""
"02","2004",40600,"277"
"02","2004",40700,"28"
"02","2004",40900,"2"
"02","2004",50100,"82"
"02","2004",50200,"109"
"02","2004",50900,"0"
"02","2004",60100,"6"
"02","2004",60101,"5"
"02","2004",60102,"NSS"
"02","2004",60103,"NSS"
"02","2004",60104,"NSS"
"02","2004",60105,"NSS"
"02","2004",60106,"NSS"
"02","2004",60109,"0"
"02","2004",60199,""
"02","2004",60200,"7"
"02","2004",60201,"2"
"02","2004",60202,"NSS"
"02","2004",60203,"NSS"
"02","2004",60209,"NSS"
"02","2004",60299,""
"02","2004",60300,"2"
"02","2004",60400,"0"
"02","2004",60900,"2"
"02","2004",70100,"1351"
"02","2004",70101,"558"
"02","2004",70102,"75"
"02","2004",70103,"14"
"02","2004",70104,"NSS"
"02","2004",70109,"1"
"02","2004",70199,""
"02","2004",70200,"0"
"02","2004",70201,"0"
"02","2004",70202,"0"
"02","2004",70203,"0"
"02","2004",70204,"0"
"02","2004",70205,"0"
"02","2004",70206,"0"
"02","2004",70209,"0"
"02","2004",70299,""
"02","2004",70300,"0"
"02","2004",70400,"138"
"02","2004",70500,"0"
"02","2004",70600,"0"
"02","2004",70900,"42"
"02","2004",80100,"8"
"02","2004",80101,"8"
"02","2004",80102,"0"
"02","2004",80103,"0"
"02","2004",80104,"0"
"02","2004",80105,"0"
"02","2004",80106,"0"
"02","2004",80107,"0"
"02","2004",80109,"0"
"02","2004",80199,""
"02","2004",80200,"0"
"02","2004",80201,"0"
"02","2004",80209,"0"
"02","2004",80299,""
"02","2004",80300,"0"
"02","2004",80400,"0"
"02","2004",80900,"37"
"02","2004",90100,"5"
"02","2004",90200,"37"
"02","2004",90300,"9"
"02","2004",90400,"1"
"02","2004",90500,"1"
"02","2004",90501,"NSS"
"02","2004",90502,"NSS"
"02","2004",90503,"NSS"
"02","2004",90509,"NSS"
"02","2004",90599,""
"02","2004",90600,"0"
"02","2004",90700,"0"
"02","2004",90701,"0"
"02","2004",90709,"0"
"02","2004",90799,""
"02","2004",90800,"0"
"02","2004",90900,"0"
"02","2004",91000,"0"
"02","2004",91100,"0"
"02","2004",91200,"3"
"02","2004",91300,"0"
"02","2004",91400,"0"
"02","2004",91500,"0"
"02","2004",91600,"0"
"02","2004",91900,"40"
"02","2004",999999,""
"02","2005",10100,"11"
"02","2005",10200,"0"
"02","2005",10300,"0"
"02","2005",10400,"20"
"02","2005",10900,"0"
"02","2005",20100,"0"
"02","2005",20200,"0"
"02","2005",20300,"0"
"02","2005",20400,"0"
"02","2005",20500,"0"
"02","2005",20600,"0"
"02","2005",20601,"0"
"02","2005",20602,"0"
"02","2005",20603,"0"
"02","2005",20604,"0"
"02","2005",20609,"0"
"02","2005",20699,""
"02","2005",20900,"0"
"02","2005",30100,"1"
"02","2005",30200,"0"
"02","2005",30300,"0"
"02","2005",30400,"1"
"02","2005",30500,"1"
"02","2005",30600,"0"
"02","2005",30700,"0"
"02","2005",30900,"0"
"02","2005",40100,"61"
"02","2005",40101,"NSS"
"02","2005",40102,"18"
"02","2005",40103,"27"
"02","2005",40104,"0"
"02","2005",40105,"0"
"02","2005",40106,"NSS"
"02","2005",40107,"0"
"02","2005",40108,"NSS"
"02","2005",40109,"NSS"
"02","2005",40110,"NSS"
"02","2005",40111,"NSS"
"02","2005",40112,"NSS"
"02","2005",40113,"2"
"02","2005",40114,"NSS"
"02","2005",40115,"0"
"02","2005",40116,"NSS"
"02","2005",40119,"0"
"02","2005",40199,""
"02","2005",40200,"0"
"02","2005",40300,"1"
"02","2005",40400,"0"
"02","2005",40500,"0"
"02","2005",40501,"0"
"02","2005",40509,"0"
"02","2005",40599,""
"02","2005",40600,"11"
"02","2005",40700,"2"
"02","2005",40900,"0"
"02","2005",50100,"2"
"02","2005",50200,"1"
"02","2005",50900,"0"
"02","2005",60100,"0"
"02","2005",60101,"0"
"02","2005",60102,"0"
"02","2005",60103,"0"
"02","2005",60104,"0"
"02","2005",60105,"0"
"02","2005",60106,"0"
"02","2005",60109,"0"
"02","2005",60199,""
"02","2005",60200,"0"
"02","2005",60201,"0"
"02","2005",60202,"0"
"02","2005",60203,"0"
"02","2005",60209,"0"
"02","2005",60299,""
"02","2005",60300,"0"
"02","2005",60400,"0"
"02","2005",60900,"0"
"02","2005",70100,"24"
"02","2005",70101,"1"
"02","2005",70102,"NSS"
"02","2005",70103,"NSS"
"02","2005",70104,"NSS"
"02","2005",70109,"NSS"
"02","2005",70199,""
"02","2005",70200,"0"
"02","2005",70201,"0"
"02","2005",70202,"0"
"02","2005",70203,"0"
"02","2005",70204,"0"
"02","2005",70205,"0"
"02","2005",70206,"0"
"02","2005",70209,"0"
"02","2005",70299,""
"02","2005",70300,"0"
"02","2005",70400,"10"
"02","2005",70500,"0"
"02","2005",70600,"0"
"02","2005",70900,"2"
"02","2005",80100,"0"
"02","2005",80101,"0"
"02","2005",80102,"0"
"02","2005",80103,"0"
"02","2005",80104,"0"
"02","2005",80105,"0"
"02","2005",80106,"0"
"02","2005",80107,"0"
"02","2005",80109,"0"
"02","2005",80199,""
"02","2005",80200,"0"
"02","2005",80201,"0"
"02","2005",80209,"0"
"02","2005",80299,""
"02","2005",80300,"0"
"02","2005",80400,"0"
"02","2005",80900,"0"
"02","2005",90100,"0"
"02","2005",90200,"6"
"02","2005",90300,"0"
"02","2005",90400,"0"
"02","2005",90500,"0"
"02","2005",90501,"0"
"02","2005",90502,"0"
"02","2005",90503,"0"
"02","2005",90509,"0"
"02","2005",90599,""
"02","2005",90600,"0"
"02","2005",90700,"0"
"02","2005",90701,"0"
"02","2005",90709,"0"
"02","2005",90799,""
"02","2005",90800,"0"
"02","2005",90900,"0"
"02","2005",91000,"0"
"02","2005",91100,"0"
"02","2005",91200,"1"
