entidad,tip_cauc,delregtt,delreg1,delreg2,delregne
"01",1,"468","449","4","15"
"01",2,"85","72","1","12"
"01",3,"4","4","0",""
"02",1,"2898","2761","24","113"
"02",2,"NSS","NSS","NSS",""
"02",3,"NSS","NSS","NSS",""
"03",1,"247","106","2","139"
"03",2,"220","213","3","4"
"03",3,"7","7","0",""
"04",1,"202","188","6","8"
"04",2,"72","66","5","1"
"04",3,"5","5","0",""
"05",1,"397","392","2","3"
"05",2,"771","740","10","21"
"05",3,"19","19","0",""
"06",1,"80","73","4","3"
"06",2,"0","0","0",""
"06",3,"0","0","0",""
"07",1,"2078","1914","83","81"
"07",2,"331","298","10","23"
"07",3,"68","62","2","4"
"08",1,"NSS","NSS","NSS",""
"08",2,"12326","NSS","NSS","12326"
"08",3,"580","567","13",""
"09",1,"13428","13062","366",""
"09",2,"1562","1556","6",""
"09",3,"7","7","0",""
"10",1,"429","388","19","22"
"10",2,"1911","1873","16","22"
"10",3,"31","31","0",""
"12",1,"2503","2255","36","212"
"12",2,"88","84","3","1"
"12",3,"32","32","0",""
"13",1,"1972","1932","40",""
"13",2,"216","212","4",""
"13",3,"72","70","2",""
"14",1,"4237","2923","134","1180"
"14",2,"130","107","6","17"
"14",3,"6","6","0",""
"15",1,"NSS","NSS","NSS",""
"15",2,"6018","5675","139","204"
"15",3,"1092","960","NSS","132"
"16",1,"NSS","NSS","NSS",""
"16",2,"209","195","14",""
"16",3,"91","86","5",""
"17",1,"0","0","0",""
"17",2,"1196","1120","38","38"
"17",3,"249","238","9","2"
"18",1,"941","828","18","95"
"18",2,"601","572","15","14"
"18",3,"0","0","0",""
"19",1,"17942","17731","211",""
"19",2,"NSS","NSS","NSS",""
"19",3,"3","0","3",""
"20",1,"3190","3190","0",""
"20",2,"NSS","NSS","NSS",""
"20",3,"0","0","0",""
"21",1,"2164","2051","28","85"
"21",2,"218","186","9","23"
"21",3,"136","132","2","2"
"22",1,"767","680","20","67"
"22",2,"95","85","8","2"
"22",3,"18","17","1",""
"23",1,"532","424","8","100"
"23",2,"278","244","14","20"
"23",3,"42","39","2","1"
"24",1,"895","872","23",""
"24",2,"188","143","6","39"
"24",3,"0","0","0",""
"25",1,"1904","1877","27",""
"25",2,"164","3","161",""
"25",3,"3","0","3",""
"26",1,"4634","4544","84","6"
"26",2,"464","425","21","18"
"26",3,"5","5","0",""
"27",1,"1577","1343","56","178"
"27",2,"62","54","8",""
"27",3,"33","30","3",""
"28",1,"285","261","4","20"
"28",2,"0","0","0",""
"28",3,"0","0","0",""
"29",1,"1306","1258","21","27"
"29",2,"107","89","1","17"
"29",3,"0","0","0",""
"30",1,"1075","904","5","166"
"30",2,"553","483","13","57"
"30",3,"12","12","0",""
"31",1,"140","139","1",""
"31",2,"527","516","11",""
"31",3,"35","34","1",""
"32",1,"5502","5045","45","412"
"32",2,"965","864","25","76"
"32",3,"67","64","3",""
