entidad,delselec,edadse1,edadse2,edadse3,edadse4,edadse5,edadse6,edadse7,edadse8,edadse9,edadse10,edadse11,edadse12,edadse13,edadse14,edadse15,edadse16,edadse17,edadse18,edadse19,edadse20,edadse21,edadse22,edadse23,edadse24,edadse25,edadse26,edadse27,edadse28
"01",10101,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"01",10102,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"01",60200,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"01",60201,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"01",60202,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"01",60203,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"01",60209,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"01",60299,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01",999999,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02",10101,"0","0","0","0","0","0","1","0","6","4","6","2","6","0","0","0","6","0","7","0","0","0","0","0","1","0","20","5"
"02",10102,"NSS","NSS","NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","0"
"02",60200,"NSS","0","NSS","1","NSS","0","NSS","2","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","1"
"02",60201,"NSS","0","NSS","0","NSS","0","NSS","2","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","NSS"
"02",60202,"NSS","0","NSS","NSS","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","NSS"
"02",60203,"NSS","0","NSS","NSS","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","NSS"
"02",60209,"NSS","0","NSS","NSS","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","NSS"
"02",60299,"","","","1","","","","","","","","","","","","","","","","","","","","","","","","1"
"02",999999,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03",10101,"NSS","NSS","0","NSS","0","NSS","0","NSS","0","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS"
