entidad,delitos,cecccd1,cecccd2,cecccd3,cecccd4,cecccd5,cecccd6,cecccd7,cecccd8,cecccd9,cecccd10,cecccd11,cecccd12,cecccd13,cecccd14,cecccd15,cecccd16,cecccd17,cecccd18,cecccd19,cecccd20,cecccd21,cecccd22,cecccd23,cecccd24,cecccd25,cecccd26,cecccd27,cecccd28,cecccd29,cecccd30,cecccd31,cecccd32,cecccd33,cecccd34,cecccd35,cecccd36,cecccd37,cecccd38,cecccd39,cecccd40,cecccd41,cecccd42,cecccd45,cecccd46,cecccd47,cecccd48,cecccd49,cecccd50,cecccd51,cecccd52,cecccd53,cecccd54,cecccd55,cecccd56
"03",40110,"NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0"
"03",40111,"NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0"
"03",40112,"NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0"
"03",40113,"NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0"
"03",40114,"NSS","NSS","NSS","NSS","","","NSS","NSS","NSS","NSS","","","NSS","NSS","NSS","NSS","NSS","NSS","","","NSS","NSS","NSS","NSS","","","NSS","NSS","NSS","NSS","","","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"03",40115,"NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0"
"03",40116,"NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0"
"03",40119,"NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0"
"03",40199,"16","2","48","1","","","","","","","64","3","56","2","","","","","8","1","3","","4","1","57","2","5","1","41","2","18","","","","","","","","","","","","3","","4","1","32","1","6","","18","1","",""
"03",40200,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
