entidad,carpedet,totalca1
"01",1,"40"
"01",2,"0"
"01",3,"0"
"01",4,"40"
"01",9,""
"02",1,"4785"
"02",2,"0"
"02",3,"0"
"02",4,"4785"
"02",9,""
"03",1,"NSS"
"03",2,"NSS"
"03",3,"NSS"
"03",4,"4"
"03",9,""
"04",1,"48"
"04",2,"3"
"04",3,"1"
"04",4,"52"
"04",9,""
"05",1,"0"
"05",2,"0"
"05",3,"0"
"05",4,"0"
"05",9,""
"06",1,"0"
"06",2,"0"
"06",3,"559"
"06",4,"559"
"06",9,""
"07",1,"NSS"
"07",2,"NSS"
"07",3,"NSS"
"07",4,"280"
"07",9,""
"08",1,"2"
"08",2,"98"
"08",3,"2"
"08",4,"102"
"08",9,""
"09",1,"2561"
"09",2,"0"
"09",3,"0"
"09",4,"2561"
"09",9,""
"10",1,"0"
"10",2,"0"
"10",3,"0"
"10",4,"0"
"10",9,""
"11",1,"0"
"11",2,"0"
"11",3,"0"
"11",4,"0"
"11",9,""
"12",1,"207"
"12",2,"0"
"12",3,"57"
"12",4,"264"
"12",9,""
"13",1,"190"
"13",2,"0"
"13",3,"0"
"13",4,"190"
"13",9,""
"14",1,"0"
"14",2,"0"
"14",3,"5"
"14",4,"5"
"14",9,""
"15",1,"1444"
"15",2,"38"
"15",3,"0"
"15",4,"1482"
"15",9,""
"16",1,"NSS"
"16",2,"NSS"
"16",3,"NSS"
"16",4,"NSS"
"16",9,""
"17",1,"100"
"17",2,"20"
"17",3,"18"
"17",4,"138"
"17",9,""
"18",1,"1"
"18",2,"0"
"18",3,"0"
"18",4,"1"
"18",9,""
"19",1,"0"
"19",2,"0"
"19",3,"0"
"19",4,"0"
"19",9,""
"20",1,"NSS"
"20",2,"NSS"
"20",3,"NSS"
"20",4,"310"
"20",9,""
"21",1,"NSS"
"21",2,"NSS"
"21",3,"NSS"
"21",4,"NSS"
"21",9,""
"22",1,"256"
"22",2,"133"
"22",3,"31"
"22",4,"420"
"22",9,""
"23",1,"22"
"23",2,"0"
"23",3,"0"
"23",4,"22"
"23",9,""
"24",1,"86"
"24",2,"0"
"24",3,"0"
"24",4,"86"
"24",9,""
"25",1,"0"
"25",2,"0"
"25",3,"0"
"25",4,"0"
"25",9,""
"26",1,"NSS"
"26",2,"NSS"
"26",3,"NSS"
"26",4,"NSS"
"26",9,""
"27",1,"299"
"27",2,"2"
"27",3,"0"
"27",4,"301"
"27",9,""
"28",1,"0"
"28",2,"0"
"28",3,"0"
"28",4,"0"
"28",9,""
"29",1,"0"
"29",2,"0"
"29",3,"0"
"29",4,"0"
"29",9,""
"30",1,"NSS"
"30",2,"NSS"
"30",3,"NSS"
"30",4,"4"
"30",9,""
"31",1,"NSS"
"31",2,"NSS"
"31",3,"NSS"
"31",4,"61"
"31",9,""
"32",1,"NSS"
"32",2,"NSS"
"32",3,"NSS"
"32",4,"3"
"32",9,""
