entidad,tipdeter,avindett,avinde1,avinde2
"01",1,"8","8","0"
"01",2,"0","0","0"
"01",3,"0","0","0"
"01",4,"0","0","0"
"02",1,"446","0","446"
"02",2,"46","0","46"
"02",3,"75","0","75"
"02",4,"0","0","0"
"03",1,"16","14","2"
"03",2,"63","63","0"
"03",3,"133","133","0"
"03",4,"1","1","0"
"04",1,"59","0","59"
"04",2,"0","0","0"
"04",3,"79","0","79"
"04",4,"0","0","0"
"05",1,"177","106","71"
"05",2,"0","0","0"
"05",3,"0","0","0"
"05",4,"0","0","0"
"07",1,"99","92","7"
"07",2,"29","26","3"
"07",3,"0","0","0"
"07",4,"2","1","1"
"08",1,"1886","0","1886"
"08",2,"32","0","32"
"08",3,"30","0","30"
"08",4,"62","0","62"
"09",1,"505","387","118"
"09",2,"3781","3019","762"
"09",3,"680","0","680"
"09",4,"2884","0","2884"
"10",1,"738","0","738"
"10",2,"0","0","0"
"10",3,"65","0","65"
"10",4,"0","0","0"
"11",1,"1786","1087","699"
"11",2,"840","486","354"
"11",3,"123","72","51"
"11",4,"331","154","177"
"12",1,"154","0","154"
"12",2,"21","0","21"
"12",3,"17","0","17"
"12",4,"61","0","61"
"13",1,"65","65","0"
"13",2,"0","0","0"
"13",3,"264","264","0"
"13",4,"12","12","0"
"14",1,"144","128","16"
"14",2,"2","2","0"
"14",3,"684","660","24"
"14",4,"3","0","3"
"15",1,"654","327","327"
"15",2,"0","0","0"
"15",3,"0","0","0"
"15",4,"0","0","0"
"16",1,"NSS","NSS","NSS"
"16",2,"NSS","NSS","NSS"
"16",3,"NSS","NSS","NSS"
"16",4,"NSS","NSS","NSS"
"17",1,"108","0","108"
"17",2,"0","0","0"
"17",3,"69","0","69"
"17",4,"0","0","0"
"18",1,"174","152","22"
"18",2,"174","174","0"
"18",3,"180","180","0"
"18",4,"0","0","0"
"19",1,"1078","0","1078"
"19",2,"221","0","221"
"19",3,"900","0","900"
"19",4,"19","0","19"
"20",1,"36","0","36"
"20",2,"33","0","33"
"20",3,"0","0","0"
"20",4,"83","0","83"
"21",1,"38","27","11"
"21",2,"20","20","0"
"21",3,"157","115","42"
"21",4,"0","0","0"
"22",1,"94","0","94"
"22",2,"137","0","137"
"22",3,"450","0","450"
"22",4,"54","0","54"
"23",1,"74","29","45"
"23",2,"0","0","0"
"23",3,"14","2","12"
"23",4,"20","7","13"
"24",1,"67","6","61"
"24",2,"0","0","0"
"24",3,"0","0","0"
"24",4,"0","0","0"
"25",1,"577","0","577"
"25",2,"7","0","7"
"25",3,"38","0","38"
"25",4,"0","0","0"
"26",1,"NSS","NSS","NSS"
"26",2,"NSS","NSS","NSS"
"26",3,"NSS","NSS","NSS"
"26",4,"NSS","NSS","NSS"
"27",1,"77","0","77"
"27",2,"0","0","0"
"27",3,"11","0","11"
"27",4,"0","0","0"
"28",1,"308","225","83"
"28",2,"0","0","0"
"28",3,"64","0","64"
"28",4,"0","0","0"
"29",1,"28","28","0"
"29",2,"0","0","0"
"29",3,"0","0","0"
"29",4,"0","0","0"
"30",1,"1","0","1"
"30",2,"16","0","16"
"30",3,"25","0","25"
"30",4,"12","0","12"
"31",1,"48","0","48"
"31",2,"463","0","463"
"31",3,"1","0","1"
"31",4,"0","0","0"
"32",1,"20","0","20"
"32",2,"69","0","69"
"32",3,"0","0","0"
"32",4,"0","0","0"
