entidad,recidiju,totalca1
"01",1,"0"
"01",2,"0"
"01",3,"5"
"01",4,"5"
"01",9,""
"02",1,"0"
"02",2,"0"
"02",3,"5"
"02",4,"5"
"02",9,""
"03",1,"5"
"03",2,"0"
"03",3,"0"
"03",4,"5"
"03",9,""
"04",1,"0"
"04",2,"0"
"04",3,"5"
"04",4,"5"
"04",9,""
"05",1,"0"
"05",2,"0"
"05",3,"8"
"05",4,"8"
"05",9,""
"06",1,"3"
"06",2,"0"
"06",3,"0"
"06",4,"3"
"06",9,""
"07",1,"4"
"07",2,"0"
"07",3,"20"
"07",4,"24"
"07",9,""
"08",1,"0"
"08",2,"0"
"08",3,"14"
"08",4,"14"
"08",9,""
"09",1,"0"
"09",2,"0"
"09",3,"0"
"09",4,"0"
"09",9,""
"10",1,"0"
"10",2,"0"
"10",3,"13"
"10",4,"13"
"10",9,""
"11",1,"7"
"11",2,"0"
"11",3,"58"
"11",4,"65"
"11",9,""
"12",1,"0"
"12",2,"0"
"12",3,"18"
"12",4,"18"
"12",9,""
"13",1,"0"
"13",2,"5"
"13",3,"17"
"13",4,"22"
"13",9,""
"14",1,"32"
"14",2,"0"
"14",3,"12"
"14",4,"44"
"14",9,""
"15",1,"4"
"15",2,"0"
"15",3,"18"
"15",4,"22"
"15",9,""
"16",1,"6"
"16",2,"0"
"16",3,"23"
"16",4,"29"
"16",9,""
"17",1,"0"
"17",2,"3"
"17",3,"9"
"17",4,"12"
"17",9,""
"18",1,"19"
"18",2,"0"
"18",3,"0"
"18",4,"19"
"18",9,""
"19",1,"0"
"19",2,"0"
"19",3,"15"
"19",4,"15"
"19",9,""
"20",1,"4"
"20",2,"1"
"20",3,"28"
"20",4,"33"
"20",9,""
"21",1,"6"
"21",2,"0"
"21",3,"22"
"21",4,"28"
"21",9,""
"22",1,"0"
"22",2,"0"
"22",3,"6"
"22",4,"6"
"22",9,""
"23",1,"0"
"23",2,"0"
"23",3,"8"
"23",4,"8"
"23",9,""
"24",1,"0"
"24",2,"0"
"24",3,"13"
"24",4,"13"
"24",9,""
"25",1,"4"
"25",2,"3"
"25",3,"18"
"25",4,"25"
"25",9,""
"26",1,"0"
"26",2,"3"
"26",3,"16"
"26",4,"19"
"26",9,""
"27",1,"9"
"27",2,"0"
"27",3,"19"
"27",4,"28"
"27",9,""
"28",1,"6"
"28",2,"0"
"28",3,"15"
"28",4,"21"
"28",9,""
"29",1,"0"
"29",2,"0"
"29",3,"8"
"29",4,"8"
"29",9,""
"30",1,"0"
"30",2,"0"
"30",3,"21"
"30",4,"21"
"30",9,""
"31",1,"3"
"31",2,"0"
"31",3,"5"
"31",4,"8"
"31",9,""
"32",1,"0"
"32",2,"0"
"32",3,"18"
"32",4,"18"
"32",9,""
