entidad,avcanitt,avcani1,avcani2,avcani3,avcani4,avcani5,avcani6,avcani7,avcani8,avcanine
"01","22842","3184","651","4111","0","4611","494","9791","0",""
"02","108058","4888","867","21380","0","20654","2007","58262","0",""
"03","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"04","2034","243","55","35","0","696","89","916","0",""
"05","53093","1482","271","2812","0","42012","3361","3155","0",""
"06","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"07","28043","1433","160","354","1","11571","1541","12923","60",""
"08","68004","NA","NA","NA","NA","49215","7010","11779","0",""
"09","179720","18064","5440","262","16749","59671","22326","957","56251",""
"10","32299","NSS","NSS","370","0","17438","4316","10175","0",""
"11","112329","12170","1371","1756","0","39893","7311","49828","0",""
"12","27328","2107","694","5730","0","5040","1922","11835","0",""
"13","32562","932","225","1492","0","12535","3717","13661","0",""
"14","106709","602","853","35056","0","200","508","69490","0",""
"15","221760","NA","NA","NA","NA","143144","77616","1000","0",""
"16","36645","NSS","NSS","2636","NSS","NSS","NSS","34009","NSS",""
"17","30839","NA","NA","NA","NA","NSS","NSS","NSS","NSS","30839"
"18","4209","1788","318","153","NSS","1632","142","176","NSS",""
"19","98173","125","32","68","0","68937","15251","13760","0",""
"20","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"21","51061","2038","226","20724","0","1746","166","26161","0",""
"22","51536","3145","897","11458","203","14965","5118","15587","163",""
"23","18421","1253","653","115","NSS","9748","3852","2800","NSS",""
"24","28503","2591","629","696","1112","9111","2384","11716","264",""
"25","27218","3957","1163","4620","13","6632","1398","9395","40",""
"26","41526","11741","1041","NSS","NSS","26424","2266","54","NSS",""
"27","102079","16035","1948","1046","0","65389","5137","12524","0",""
"28","53113","4593","1108","8156","43","17478","6297","15424","14",""
"29","6550","646","115","2378","0","415","51","2945","0",""
"30","56062","5485","1037","2703","9","23522","4783","18442","81",""
"31","34289","NA","NA","NA","NA","21166","751","12372","0",""
"32","18228","311","57","163","0","5861","1271","10565","0",""
