entidad,equ_sala
"01",1
"01",2
"01",3
"01",4
"01",5
"01",6
"01",7
"01",8
"02",1
"02",2
"02",3
"02",4
"02",5
"02",6
"02",8
"02",9
"03",1
"03",2
"03",3
"03",4
"03",5
"03",6
"04",1
"04",2
"04",4
"04",5
"04",8
"04",9
"04",10
"05",1
"05",2
"05",5
"06",1
"06",2
"06",3
"06",4
"06",5
"06",6
"06",8
"06",10
"07",1
"07",2
"07",3
"07",4
"07",5
"07",6
"07",7
"07",8
"08",1
"08",2
"08",3
"08",4
"08",5
"08",6
"08",8
"08",10
"09",1
"09",2
"09",3
"09",4
"09",5
"09",6
"09",7
"09",9
"10",1
"10",2
"10",3
"10",4
"10",5
"10",6
"10",8
"10",9
"11",1
"11",2
"11",3
"11",4
"11",5
"11",6
"11",7
"11",8
"11",9
"11",10
"12",1
"12",2
"12",3
"12",4
"12",5
"12",6
"12",7
"12",8
"12",9
"13",1
"13",2
"13",3
"13",4
"13",5
"13",6
"13",7
"13",8
"13",9
"14",1
"14",2
"14",3
"14",4
"14",5
"14",6
"14",7
"14",8
"14",9
"14",10
"15",1
"15",2
"15",3
"15",4
"15",5
"15",6
"15",10
"16",1
"16",2
"16",3
"16",4
"16",5
"16",6
"16",10
"17",1
"17",2
"17",3
"17",4
"17",5
"17",6
"17",8
"17",9
"17",10
"18",1
"18",2
"18",3
"18",4
"18",5
"18",6
"18",7
"18",8
"18",9
"18",10
"19",1
"19",2
"19",3
"19",4
"19",5
"19",9
"20",1
"20",2
"20",3
"20",4
"20",5
"20",6
"20",7
"20",8
"20",9
"21",1
"21",2
"21",3
"21",4
"21",5
"21",6
"22",1
"22",2
"22",3
"22",4
"22",5
"22",6
"22",7
"22",8
"22",9
"23",1
"23",2
"23",3
"23",4
"23",5
"23",6
"23",8
"24",1
"24",2
"24",3
"24",5
"24",6
"25",1
"25",2
"25",3
"25",5
"25",6
"25",8
"26",1
"26",2
"26",3
"26",4
"26",5
"26",6
"26",7
"26",8
"26",9
"27",1
"27",2
"27",3
"27",4
"27",5
"27",6
"27",8
"28",1
"28",2
"28",3
"28",4
"28",5
"28",6
"28",7
"28",9
"29",1
"29",2
"29",3
"29",4
"29",5
"29",6
"29",7
"29",8
"29",9
"30",1
"30",2
"30",3
"30",4
"30",5
"30",6
"30",7
"30",10
"31",1
"31",2
"31",3
"31",5
"31",8
"31",10
"32",1
"32",2
"32",3
"32",4
"32",5
"32",6
"32",7
"32",8
"32",9
