entidad,re_snn1,re_snn2,re_snn3,re_snn4,re_snn5,nom_unid,totalca1,totalca2
"01",2,2,2,2,1,"NO APLICA","NA","NA"
"02",2,2,2,1,1,"NO APLICA","NA","NA"
"03",2,2,2,2,1,"NO APLICA","NA","NA"
"04",1,2,2,2,1,"NO APLICA","NA","NA"
"05",1,2,2,1,1,"NO APLICA","NA","NA"
"06",2,2,2,2,1,"NO APLICA","NA","NA"
"07",1,2,2,2,1,"NO APLICA","NA","NA"
"08",2,2,2,2,1,"NO APLICA","NA","NA"
"09",2,1,2,1,1,"COMISIÓN ESPECIAL PARA EL ANÁLISIS Y SEGUIMIENTO DE LA UNIDAD DE SUPERVICIÓN DE MEDIDAS CAUTELARES Y SUSPENSIÓN CONDICIONAL DEL PROCESO.","138","NA"
"10",2,2,1,1,1,"NO APLICA","NA","4"
"11",2,2,1,2,1,"NO APLICA","NA","0"
"12",2,2,2,1,1,"NO APLICA","NA","NA"
"13",2,2,2,2,1,"NO APLICA","NA","NA"
"14",2,2,1,2,1,"NO APLICA","NA","NSS"
"15",2,2,1,2,1,"NO APLICA","NA","2"
"16",2,2,2,2,1,"NO APLICA","NA","NA"
"17",2,2,2,1,1,"NO APLICA","NA","NA"
"18",1,2,2,1,1,"NO APLICA","NA","NA"
"19",2,2,2,2,1,"NO APLICA","NA","NA"
"20",1,2,2,2,1,"NO APLICA","NA","NA"
"21",2,2,2,1,1,"NO APLICA","NA","NA"
"22",2,2,2,2,1,"NO APLICA","NA","NA"
"23",2,2,2,2,1,"NO APLICA","NA","NA"
"24",2,2,2,2,1,"NO APLICA","NA","NA"
"25",2,2,2,2,1,"NO APLICA","NA","NA"
"26",2,2,2,2,1,"NO APLICA","NA","NA"
"27",1,2,2,2,1,"NO APLICA","NA","NA"
"28",2,2,2,2,1,"NO APLICA","NA","NA"
"29",2,2,2,1,1,"NO APLICA","NA","NA"
"30",1,2,2,1,1,"NO APLICA","NA","NA"
"31",2,2,2,2,1,"NO APLICA","NA","NA"
"32",1,2,2,1,1,"NO APLICA","NA","NA"
