entidad,mat_alte,totalca1
"01",1,"2676"
"01",2,"0"
"01",3,"0"
"02",1,"15108"
"02",2,"0"
"02",3,"0"
"03",1,"1693"
"03",2,"9"
"03",3,"0"
"04",1,"2358"
"04",2,"0"
"04",3,"0"
"05",1,"5044"
"05",2,"0"
"05",3,"0"
"06",1,"1643"
"06",2,"0"
"06",3,"0"
"07",1,"20171"
"07",2,"51"
"07",3,"0"
"08",1,"20486"
"08",2,"26"
"08",3,"0"
"09",1,"6425"
"09",2,"233"
"09",3,"0"
"10",1,"4020"
"10",2,"83"
"10",3,"0"
"11",1,"36285"
"11",2,"1418"
"11",3,"0"
"12",1,"1133"
"12",2,"0"
"12",3,"0"
"13",1,"3148"
"13",2,"64"
"13",3,"0"
"14",1,"8437"
"14",2,"56"
"14",3,"0"
"15",1,"3787"
"15",2,"0"
"15",3,"0"
"16",1,"3630"
"16",2,"0"
"16",3,"0"
"17",1,"4868"
"17",2,"0"
"17",3,"0"
"18",1,"5898"
"18",2,"10"
"18",3,"0"
"19",1,"18832"
"19",2,"205"
"19",3,"0"
"20",1,"3926"
"20",2,"84"
"20",3,"5014"
"21",1,"9722"
"21",2,"0"
"21",3,"0"
"22",1,"NA"
"22",2,"NA"
"22",3,"NA"
"23",1,"1981"
"23",2,"69"
"23",3,"188"
"24",1,"4630"
"24",2,"208"
"24",3,"0"
"25",1,"4100"
"25",2,"59"
"25",3,"0"
"26",1,"1961"
"26",2,"76"
"26",3,"0"
"27",1,"4585"
"27",2,"0"
"27",3,"0"
"28",1,"8832"
"28",2,"NSS"
"28",3,"0"
"29",1,"3040"
"29",2,"0"
"29",3,"0"
"30",1,"NSS"
"30",2,"NSS"
"30",3,"NSS"
"31",1,"2463"
"31",2,"20"
"31",3,"0"
"32",1,"4095"
"32",2,"226"
"32",3,"0"
