entidad,imputreg,totalca1
"01",1,"1150"
"01",2,"17"
"01",3,"1167"
"01",9,""
"02",1,"NSS"
"02",2,"NSS"
"02",3,"NSS"
"02",9,""
"03",1,"NSS"
"03",2,"NSS"
"03",3,"NSS"
"03",9,""
"04",1,"NSS"
"04",2,"NSS"
"04",3,"NSS"
"04",9,""
"05",1,"NA"
"05",2,"NA"
"05",3,"NA"
"05",9,""
"06",1,"7382"
"06",2,"0"
"06",3,"7382"
"06",9,""
"07",1,"NA"
"07",2,"NA"
"07",3,"NA"
"07",9,""
"08",1,"NSS"
"08",2,"NSS"
"08",3,"NSS"
"08",9,""
"09",1,"NSS"
"09",2,"NSS"
"09",3,"NSS"
"09",9,""
"10",1,"3227"
"10",2,"0"
"10",3,"3227"
"10",9,""
"11",1,"NSS"
"11",2,"NSS"
"11",3,"NSS"
"11",9,""
"12",1,"1051"
"12",2,"319"
"12",3,"1370"
"12",9,""
"13",1,"2796"
"13",2,"3"
"13",3,"2799"
"13",9,""
"14",1,"4300"
"14",2,"197"
"14",3,"4497"
"14",9,""
"15",1,"23559"
"15",2,"0"
"15",3,"23559"
"15",9,""
"16",1,"NSS"
"16",2,"NSS"
"16",3,"NSS"
"16",9,""
"17",1,"2591"
"17",2,"0"
"17",3,"2591"
"17",9,""
"18",1,"NA"
"18",2,"NA"
"18",3,"NA"
"18",9,""
"19",1,"NSS"
"19",2,"NSS"
"19",3,"NSS"
"19",9,""
"20",1,"NSS"
"20",2,"NSS"
"20",3,"NSS"
"20",9,""
"21",1,"NSS"
"21",2,"NSS"
"21",3,"NSS"
"21",9,""
"22",1,"637"
"22",2,"0"
"22",3,"637"
"22",9,""
"23",1,"37"
"23",2,"0"
"23",3,"37"
"23",9,""
"24",1,"NSS"
"24",2,"NSS"
"24",3,"NSS"
"24",9,""
"25",1,"NSS"
"25",2,"NSS"
"25",3,"NSS"
"25",9,""
"26",1,"NSS"
"26",2,"NSS"
"26",3,"NSS"
"26",9,""
"27",1,"NSS"
"27",2,"NSS"
"27",3,"NSS"
"27",9,""
"28",1,"NA"
"28",2,"NA"
"28",3,"NA"
"28",9,""
"29",1,"NA"
"29",2,"NA"
"29",3,"NA"
"29",9,""
"30",1,"NSS"
"30",2,"NSS"
"30",3,"NSS"
"30",9,""
"31",1,"NSS"
"31",2,"NSS"
"31",3,"NSS"
"31",9,""
"32",1,"NSS"
"32",2,"NSS"
"32",3,"NSS"
"32",9,""
