entidad,sexohmit,totalca1
"01",1,"70"
"01",2,"15"
"01",3,"0"
"01",4,"85"
"02",1,"NSS"
"02",2,"NSS"
"02",3,"NSS"
"02",4,"NSS"
"03",1,"303"
"03",2,"42"
"03",3,"0"
"03",4,"345"
"04",1,"293"
"04",2,"17"
"04",3,"27"
"04",4,"337"
"05",1,"651"
"05",2,"76"
"05",3,"0"
"05",4,"727"
"06",1,"278"
"06",2,"29"
"06",3,"0"
"06",4,"307"
"07",1,"NSS"
"07",2,"NSS"
"07",3,"NSS"
"07",4,"NSS"
"08",1,"NSS"
"08",2,"NSS"
"08",3,"NSS"
"08",4,"NSS"
"09",1,"NSS"
"09",2,"NSS"
"09",3,"NSS"
"09",4,"NSS"
"10",1,"2541"
"10",2,"324"
"10",3,"0"
"10",4,"2865"
"11",1,"1504"
"11",2,"147"
"11",3,"0"
"11",4,"1651"
"12",1,"265"
"12",2,"29"
"12",3,"0"
"12",4,"294"
"13",1,"405"
"13",2,"48"
"13",3,"0"
"13",4,"453"
"14",1,"1245"
"14",2,"177"
"14",3,"0"
"14",4,"1422"
"15",1,"1768"
"15",2,"245"
"15",3,"4"
"15",4,"2017"
"16",1,"365"
"16",2,"11"
"16",3,"0"
"16",4,"376"
"17",1,"993"
"17",2,"197"
"17",3,"0"
"17",4,"1190"
"18",1,"473"
"18",2,"29"
"18",3,"871"
"18",4,"1373"
"19",1,"1517"
"19",2,"182"
"19",3,"23"
"19",4,"1722"
"20",1,"NSS"
"20",2,"NSS"
"20",3,"365"
"20",4,"365"
"21",1,"567"
"21",2,"34"
"21",3,"0"
"21",4,"601"
"22",1,"283"
"22",2,"31"
"22",3,"0"
"22",4,"314"
"23",1,"264"
"23",2,"3"
"23",3,"0"
"23",4,"267"
"24",1,"166"
"24",2,"6"
"24",3,"0"
"24",4,"172"
"25",1,"787"
"25",2,"56"
"25",3,"0"
"25",4,"843"
"26",1,"NSS"
"26",2,"NSS"
"26",3,"NSS"
"26",4,"NSS"
"27",1,"109"
"27",2,"11"
"27",3,"21"
"27",4,"141"
"28",1,"NSS"
"28",2,"NSS"
"28",3,"NSS"
"28",4,"NSS"
"29",1,"34"
"29",2,"4"
"29",3,"0"
"29",4,"38"
"30",1,"NSS"
"30",2,"NSS"
"30",3,"NSS"
"30",4,"NSS"
"31",1,"NSS"
"31",2,"NSS"
"31",3,"NSS"
"31",4,"NSS"
"32",1,"NSS"
"32",2,"NSS"
"32",3,"NSS"
"32",4,"NSS"
