entidad,inc_deli,avcanitt,avcani1,avcani2,avcani3,avcani4,avcani5,avcani6,avcani7,avcani8
"01",1,"22842","3184","651","4111","0","4611","494","9791","0"
"01",2,"0","0","0","0","0","0","0","0","0"
"01",3,"0","0","0","0","0","0","0","0","0"
"01",4,"0","0","0","0","0","0","0","0","0"
"01",5,"0","0","0","0","0","0","0","0","0"
"01",6,"0","0","0","0","0","0","0","0","0"
"01",9,"","","","","","","","",""
"02",1,"108058","4888","867","21380","0","20654","2007","58262","0"
"02",2,"0","0","0","0","0","0","0","0","0"
"02",3,"0","0","0","0","0","0","0","0","0"
"02",4,"0","0","0","0","0","0","0","0","0"
"02",5,"0","0","0","0","0","0","0","0","0"
"02",6,"0","0","0","0","0","0","0","0","0"
"02",9,"","","","","","","","",""
"03",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"03",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"03",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"03",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"03",5,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"03",6,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"03",9,"","2219","360","2620","3","5895","1421","12762","3"
"04",1,"2034","243","55","35","0","696","89","916","0"
"04",2,"0","0","0","0","0","0","0","0","0"
"04",3,"0","0","0","0","0","0","0","0","0"
"04",4,"0","0","0","0","0","0","0","0","0"
"04",5,"0","0","0","0","0","0","0","0","0"
"04",6,"0","0","0","0","0","0","0","0","0"
"04",9,"","","","","","","","",""
"05",1,"53093","1482","271","2812","0","42012","3361","3155","0"
"05",2,"0","0","0","0","0","0","0","0","0"
"05",3,"0","0","0","0","0","0","0","0","0"
"05",4,"0","0","0","0","0","0","0","0","0"
"05",5,"0","0","0","0","0","0","0","0","0"
"05",6,"0","0","0","0","0","0","0","0","0"
"05",9,"","","","","","","","",""
"06",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"06",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"06",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"06",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"06",5,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"06",6,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"06",9,"","728","312","331","1064","1440","621","576","5805"
"07",1,"21194","1203","121","322","1","7759","992","10780","16"
"07",2,"2574","61","15","11","0","1382","202","892","11"
"07",3,"301","34","3","2","0","197","19","40","6"
"07",4,"143","0","0","1","0","71","16","54","1"
"07",5,"2","0","0","0","0","1","0","1","0"
"07",6,"36","1","0","0","0","28","4","3","0"
"07",9,"","","","","","","","",""
"08",1,"68004","NA","NA","NA","NA","49215","7010","11779","0"
"08",2,"NSS","NA","NA","NA","NA","NSS","NSS","NSS","0"
"08",3,"NSS","NA","NA","NA","NA","NSS","NSS","NSS","0"
"08",4,"NSS","NA","NA","NA","NA","NSS","NSS","NSS","0"
"08",5,"NSS","NA","NA","NA","NA","NSS","NSS","NSS","0"
"08",6,"NSS","NA","NA","NA","NA","NSS","NSS","NSS","0"
"08",9,"","","","","","","","",""
"09",1,"179720","18064","5440","262","16749","59671","22326","957","56251"
"09",2,"0","0","0","0","0","0","0","0","0"
"09",3,"0","0","0","0","0","0","0","0","0"
"09",4,"0","0","0","0","0","0","0","0","0"
"09",5,"0","0","0","0","0","0","0","0","0"
"09",6,"0","0","0","0","0","0","0","0","0"
"09",9,"","","","","","","","",""
"10",1,"32299","NSS","NSS","370","0","17438","4316","10175","0"
"10",2,"0","0","0","0","0","0","0","0","0"
"10",3,"0","0","0","0","0","0","0","0","0"
"10",4,"0","0","0","0","0","0","0","0","0"
"10",5,"0","0","0","0","0","0","0","0","0"
"10",6,"0","0","0","0","0","0","0","0","0"
"10",9,"","","","","","","","",""
"11",1,"108111","11441","1258","1708","0","37765","6883","49056","0"
"11",2,"1904","330","51","24","0","963","186","350","0"
"11",3,"110","14","2","0","0","58","16","20","0"
"11",4,"15","3","0","0","0","7","2","3","0"
"11",5,"4","3","1","0","0","0","0","0","0"
"11",6,"0","0","0","0","0","0","0","0","0"
"11",9,"","","","","","","","",""
"12",1,"27328","2107","694","5730","0","5040","1922","11835","0"
"12",2,"0","0","0","0","0","0","0","0","0"
"12",3,"0","0","0","0","0","0","0","0","0"
"12",4,"0","0","0","0","0","0","0","0","0"
"12",5,"0","0","0","0","0","0","0","0","0"
"12",6,"0","0","0","0","0","0","0","0","0"
"12",9,"","","","","","","","",""
"13",1,"23096","932","225","1492","0","4637","2149","13661","0"
"13",2,"4694","0","0","0","0","3910","784","0","0"
"13",3,"26","0","0","0","0","26","0","0","0"
"13",4,"0","0","0","0","0","0","0","0","0"
"13",5,"0","0","0","0","0","0","0","0","0"
"13",6,"0","0","0","0","0","0","0","0","0"
"13",9,"","","","","","","","",""
"14",1,"106709","602","853","35056","0","200","508","69490","0"
"14",2,"0","0","0","0","0","0","0","0","0"
"14",3,"0","0","0","0","0","0","0","0","0"
"14",4,"0","0","0","0","0","0","0","0","0"
"14",5,"0","0","0","0","0","0","0","0","0"
"14",6,"0","0","0","0","0","0","0","0","0"
"14",9,"","","","","","","","",""
"15",1,"221760","NA","NA","NA","NA","143144","77616","1000","0"
"15",2,"0","NA","NA","NA","NA","0","0","0","0"
"15",3,"0","NA","NA","NA","NA","0","0","0","0"
"15",4,"0","NA","NA","NA","NA","0","0","0","0"
"15",5,"0","NA","NA","NA","NA","0","0","0","0"
"15",6,"0","NA","NA","NA","NA","0","0","0","0"
"15",9,"","","","","","","","",""
"16",1,"36645","NSS","NSS","2636","NSS","NSS","NSS","34009","NSS"
"16",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"16",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"16",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"16",5,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"16",6,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"16",9,"","","","","","","","",""
"17",1,"NSS","NA","NA","NA","NA","NSS","NSS","NSS","NSS"
"17",2,"NSS","NA","NA","NA","NA","NSS","NSS","NSS","NSS"
"17",3,"NSS","NA","NA","NA","NA","NSS","NSS","NSS","NSS"
"17",4,"NSS","NA","NA","NA","NA","NSS","NSS","NSS","NSS"
"17",5,"NSS","NA","NA","NA","NA","NSS","NSS","NSS","NSS"
"17",6,"NSS","NA","NA","NA","NA","NSS","NSS","NSS","NSS"
"17",9,"","","","","","","","",""
"18",1,"4209","1788","318","153","0","1632","142","176","0"
"18",2,"0","0","0","0","0","0","0","0","0"
