entidad,rangedad,avcahmtt,avcahm1,avcahm2,avcahm4,avcahm5
"01",1,"199","93","17","83","6"
"01",2,"178","72","9","87","10"
"01",3,"175","78","24","67","6"
"01",4,"95","36","3","51","5"
"01",5,"78","18","9","45","6"
"01",6,"59","19","5","31","4"
"01",7,"37","16","5","15","1"
"01",8,"30","10","10","9","1"
"01",9,"4663","10","1","4199","453"
"01",10,"3426","2832","568","24","2"
"02",1,"5449","911","150","4045","343"
"02",2,"4270","688","121","3159","302"
"02",3,"3898","612","113","2910","263"
"02",4,"3679","524","81","2825","249"
"02",5,"3009","463","73","2316","157"
"02",6,"2055","289","46","1601","119"
"02",7,"1252","201","33","934","84"
"02",8,"661","104","18","494","45"
"02",9,"612","145","28","385","54"
"02",10,"3531","951","204","1985","391"
"03",1,"NSS","NSS","NSS","NSS","NSS"
"03",2,"NSS","NSS","NSS","NSS","NSS"
"03",3,"NSS","NSS","NSS","NSS","NSS"
"03",4,"NSS","NSS","NSS","NSS","NSS"
"03",5,"NSS","NSS","NSS","NSS","NSS"
"03",6,"NSS","NSS","NSS","NSS","NSS"
"03",7,"NSS","NSS","NSS","NSS","NSS"
"03",8,"NSS","NSS","NSS","NSS","NSS"
"03",9,"NSS","NSS","NSS","NSS","NSS"
"03",10,"9895","2219","360","5895","1421"
"04",1,"92","6","0","84","2"
"04",2,"166","34","17","100","15"
"04",3,"200","35","0","143","22"
"04",4,"99","6","15","66","12"
"04",5,"44","2","0","41","1"
"04",6,"54","21","3","29","1"
"04",7,"17","0","0","17","0"
"04",8,"14","0","0","14","0"
"04",9,"17","1","0","16","0"
"04",10,"380","138","20","186","36"
"05",1,"3412","243","33","2910","226"
"05",2,"2389","156","41","1907","285"
"05",3,"2028","196","34","1588","210"
"05",4,"1815","182","56","1449","128"
"05",5,"1278","136","23","1047","72"
"05",6,"913","125","45","677","66"
"05",7,"587","66","28","452","41"
"05",8,"296","25","5","245","21"
"05",9,"343","32","6","285","20"
"05",10,"34065","321","0","31452","2292"
"06",1,"NSS","NSS","NSS","NSS","NSS"
"06",2,"NSS","NSS","NSS","NSS","NSS"
"06",3,"NSS","NSS","NSS","NSS","NSS"
"06",4,"NSS","NSS","NSS","NSS","NSS"
"06",5,"NSS","NSS","NSS","NSS","NSS"
"06",6,"NSS","NSS","NSS","NSS","NSS"
"06",7,"NSS","NSS","NSS","NSS","NSS"
"06",8,"NSS","NSS","NSS","NSS","NSS"
"06",9,"NSS","NSS","NSS","NSS","NSS"
"06",10,"3101","728","312","1440","621"
"07",1,"1970","223","18","1582","147"
"07",2,"1402","94","3","1165","140"
"07",3,"1647","120","10","1334","183"
"07",4,"1404","124","20","1125","135"
"07",5,"1165","85","9","925","146"
"07",6,"683","68","8","519","88"
"07",7,"429","29","0","356","44"
"07",8,"230","11","1","197","21"
"07",9,"212","12","4","170","26"
"07",10,"2967","533","66","2065","303"
"08",1,"8382","NA","NA","7455","927"
"08",2,"6137","NA","NA","5407","730"
"08",3,"5170","NA","NA","4559","611"
"08",4,"4467","NA","NA","3942","525"
"08",5,"3438","NA","NA","3038","400"
"08",6,"2338","NA","NA","2045","293"
"08",7,"1273","NA","NA","1118","155"
"08",8,"776","NA","NA","674","102"
"08",9,"746","NA","NA","637","109"
"08",10,"23498","NA","NA","20340","3158"
"09",1,"NSS","NSS","NSS","NSS","NSS"
"09",2,"NSS","NSS","NSS","NSS","NSS"
"09",3,"NSS","NSS","NSS","NSS","NSS"
"09",4,"NSS","NSS","NSS","NSS","NSS"
"09",5,"NSS","NSS","NSS","NSS","NSS"
"09",6,"NSS","NSS","NSS","NSS","NSS"
"09",7,"NSS","NSS","NSS","NSS","NSS"
"09",8,"NSS","NSS","NSS","NSS","NSS"
"09",9,"NSS","NSS","NSS","NSS","NSS"
"09",10,"105501","18064","5440","59671","22326"
"10",1,"2422","NSS","NSS","1946","476"
"10",2,"3750","NSS","NSS","2866","884"
"10",3,"3406","NSS","NSS","2687","719"
"10",4,"3817","NSS","NSS","3209","608"
"10",5,"3008","NSS","NSS","2551","457"
"10",6,"2241","NSS","NSS","1933","308"
"10",7,"1015","NSS","NSS","797","218"
"10",8,"499","NSS","NSS","330","169"
"10",9,"288","NSS","NSS","206","82"
"10",10,"1308","NSS","NSS","913","395"
"11",1,"9874","1642","89","7059","1084"
"11",2,"16172","6979","828","7040","1325"
"11",3,"7979","861","87","6032","999"
"11",4,"7728","764","104","5847","1013"
"11",5,"6422","535","73","4925","889"
"11",6,"4249","454","56","3116","623"
"11",7,"2870","280","29","2066","495"
"11",8,"1523","127","27","1096","273"
"11",9,"996","64","8","741","183"
"11",10,"1170","85","11","871","203"
"12",1,"985","177","70","543","195"
"12",2,"1469","303","146","670","350"
"12",3,"1539","360","148","703","328"
"12",4,"1405","272","99","694","340"
"12",5,"1094","183","54","639","218"
"12",6,"666","137","32","387","110"
"12",7,"471","70","13","289","99"
"12",8,"279","47","15","185","32"
"12",9,"102","12","0","79","11"
"12",10,"1753","546","117","851","239"
"13",1,"167","25","14","4","124"
"13",2,"884","52","3","719","110"
"13",3,"807","52","22","650","83"
"13",4,"780","103","0","590","87"
"13",5,"495","7","15","405","68"
"13",6,"385","57","18","254","56"
"13",7,"253","37","7","170","39"
"13",8,"157","23","9","116","9"
"13",9,"206","24","3","153","26"
"13",10,"8529","552","134","5512","2331"
"14",1,"NSS","NSS","NSS","NSS","NSS"
"14",2,"NSS","NSS","NSS","NSS","NSS"
"14",3,"NSS","NSS","NSS","NSS","NSS"
"14",4,"NSS","NSS","NSS","NSS","NSS"
"14",5,"NSS","NSS","NSS","NSS","NSS"
"14",6,"NSS","NSS","NSS","NSS","NSS"
"14",7,"NSS","NSS","NSS","NSS","NSS"
"14",8,"NSS","NSS","NSS","NSS","NSS"
"14",9,"NSS","NSS","NSS","NSS","NSS"
"14",10,"2163","602","853","200","508"
"15",1,"13182","NA","NA","10032","3150"
"15",2,"17246","NA","NA","12414","4832"
"15",3,"10933","NA","NA","7574","3359"
"15",4,"10700","NA","NA","7846","2854"
"15",5,"6598","NA","NA","4771","1827"
"15",6,"4288","NA","NA","2692","1596"
"15",7,"2024","NA","NA","1668","356"
"15",8,"1535","NA","NA","1278","257"
"15",9,"1023","NA","NA","890","133"
"15",10,"153231","NA","NA","93979","59252"
"16",1,"NSS","NSS","NSS","NSS","NSS"
"16",2,"NSS","NSS","NSS","NSS","NSS"
"16",3,"NSS","NSS","NSS","NSS","NSS"
"16",4,"NSS","NSS","NSS","NSS","NSS"
"16",5,"NSS","NSS","NSS","NSS","NSS"
"16",6,"NSS","NSS","NSS","NSS","NSS"
"16",7,"NSS","NSS","NSS","NSS","NSS"
"16",8,"NSS","NSS","NSS","NSS","NSS"
"16",9,"NSS","NSS","NSS","NSS","NSS"
"16",10,"NSS","NSS","NSS","NSS","NSS"
"17",1,"NSS","NA","NA","NSS","NSS"
"17",2,"NSS","NA","NA","NSS","NSS"
"17",3,"NSS","NA","NA","NSS","NSS"
"17",4,"NSS","NA","NA","NSS","NSS"
"17",5,"NSS","NA","NA","NSS","NSS"
"17",6,"NSS","NA","NA","NSS","NSS"
"17",7,"NSS","NA","NA","NSS","NSS"
"17",8,"NSS","NA","NA","NSS","NSS"
"17",9,"NSS","NA","NA","NSS","NSS"
"17",10,"NSS","NA","NA","NSS","NSS"
"18",1,"456","180","17","223","36"
"18",2,"315","129","20","153","13"
"18",3,"315","136","25","143","11"
"18",4,"263","120","13","122","8"
"18",5,"218","108","16","87","7"
"18",6,"137","70","13","53","1"
"18",7,"74","42","10","21","1"
"18",8,"66","37","11","18","NSS"
"18",9,"93","66","13","14","NSS"
"18",10,"1943","900","180","798","65"
"19",1,"15301","7","0","12528","2766"
"19",2,"14337","62","20","11659","2596"
"19",3,"12990","3","2","10479","2506"
"19",4,"13896","15","0","11364","2517"
"19",5,"7191","8","0","5813","1370"
