entidad,gdo_estu,avcahmtt,avcahm1,avcahm2,avcahm4,avcahm5
"01",1,"128","101","11","14","2"
"01",2,"210","56","10","131","13"
"01",3,"501","180","32","267","22"
"01",4,"182","59","15","93","15"
"01",5,"81","44","8","21","8"
"01",6,"104","40","12","50","2"
"01",7,"3","1","0","1","1"
"01",8,"2","0","0","2","0"
"01",9,"7729","2703","563","4032","431"
"02",1,"256","136","21","92","7"
"02",2,"1748","799","88","780","81"
"02",3,"2395","1166","178","933","118"
"02",4,"1499","869","135","436","59"
"02",5,"143","52","30","43","18"
"02",6,"692","358","106","178","50"
"02",7,"34","16","4","7","7"
"02",8,"8","5","1","2","0"
"02",9,"21641","1487","304","18183","1667"
"03",1,"NSS","NSS","NSS","NSS","NSS"
"03",2,"NSS","NSS","NSS","NSS","NSS"
"03",3,"NSS","NSS","NSS","NSS","NSS"
"03",4,"NSS","NSS","NSS","NSS","NSS"
"03",5,"NSS","NSS","NSS","NSS","NSS"
"03",6,"NSS","NSS","NSS","NSS","NSS"
"03",7,"NSS","NSS","NSS","NSS","NSS"
"03",8,"NSS","NSS","NSS","NSS","NSS"
"03",9,"9895","2219","360","5895","1421"
"04",1,"90","16","0","74","0"
"04",2,"267","47","18","173","29"
"04",3,"153","1","0","126","26"
"04",4,"51","1","0","41","9"
"04",5,"62","24","7","26","5"
"04",6,"12","0","0","9","3"
"04",7,"2","0","0","2","0"
"04",8,"1","0","0","1","0"
"04",9,"445","154","30","244","17"
"05",1,"454","352","21","68","13"
"05",2,"1522","396","50","1007","69"
"05",3,"4021","126","28","3529","338"
"05",4,"1349","198","12","1031","108"
"05",5,"344","29","121","175","19"
"05",6,"703","102","39","508","54"
"05",7,"36","0","0","29","7"
"05",8,"11","0","0","8","3"
"05",9,"38686","279","0","35657","2750"
"06",1,"NSS","NSS","NSS","NSS","NSS"
"06",2,"NSS","NSS","NSS","NSS","NSS"
"06",3,"NSS","NSS","NSS","NSS","NSS"
"06",4,"NSS","NSS","NSS","NSS","NSS"
"06",5,"NSS","NSS","NSS","NSS","NSS"
"06",6,"NSS","NSS","NSS","NSS","NSS"
"06",7,"NSS","NSS","NSS","NSS","NSS"
"06",8,"NSS","NSS","NSS","NSS","NSS"
"06",9,"3101","728","312","1440","621"
"07",1,"279","70","9","177","23"
"07",2,"1583","222","20","1208","133"
"07",3,"1135","269","24","765","77"
"07",4,"869","70","5","705","89"
"07",5,"20","0","0","16","4"
"07",6,"582","37","2","459","84"
"07",7,"25","0","0","23","2"
"07",8,"9","1","0","6","2"
"07",9,"7607","630","79","6079","819"
"08",1,"NSS","NA","NA","NSS","NSS"
"08",2,"NSS","NA","NA","NSS","NSS"
"08",3,"NSS","NA","NA","NSS","NSS"
"08",4,"NSS","NA","NA","NSS","NSS"
