entidad,nacional,avcahmtt,avcahm1,avcahm2,avcahm4,avcahm5
"01",1,"8819","3086","640","4600","493"
"01",2,"NSS","NSS","NSS","NSS","NSS"
"01",3,"NSS","NSS","NSS","NSS","NSS"
"01",4,"NSS","NSS","NSS","NSS","NSS"
"01",5,"NSS","NSS","NSS","NSS","NSS"
"01",6,"NSS","NSS","NSS","NSS","NSS"
"01",7,"2","1","1","0","0"
"01",8,"NSS","NSS","NSS","NSS","NSS"
"01",9,"NSS","NSS","NSS","NSS","NSS"
"01",10,"2","0","0","2","0"
"01",11,"NSS","NSS","NSS","NSS","NSS"
"01",12,"NSS","NSS","NSS","NSS","NSS"
"01",13,"2","0","0","2","0"
"01",14,"4","0","0","4","0"
"01",15,"NSS","NSS","NSS","NSS","NSS"
"01",16,"NSS","NSS","NSS","NSS","NSS"
"01",17,"1","0","0","1","0"
"01",18,"2","0","0","2","0"
"01",19,"1","0","0","0","1"
"01",20,"107","97","10","0","0"
"02",1,"26829","3735","634","20475","1985"
"02",2,"270","95","10","146","19"
"02",3,"1","1","0","0","0"
"02",4,"0","0","0","0","0"
"02",5,"1","0","0","0","1"
"02",6,"2","1","1","0","0"
"02",7,"16","2","0","14","0"
"02",8,"14","10","3","0","1"
"02",9,"1","1","0","0","0"
"02",10,"4","3","0","0","1"
"02",11,"1","1","0","0","0"
"02",12,"0","0","0","0","0"
"02",13,"1","0","0","1","0"
"02",14,"3","0","0","3","0"
"02",15,"4","2","0","2","0"
"02",16,"5","3","1","1","0"
"02",17,"13","5","0","8","0"
"02",18,"2","0","0","2","0"
"02",19,"0","0","0","0","0"
"02",20,"1249","1029","218","2","0"
"03",1,"NSS","NSS","NSS","NSS","NSS"
"03",2,"NSS","NSS","NSS","NSS","NSS"
"03",3,"NSS","NSS","NSS","NSS","NSS"
"03",4,"NSS","NSS","NSS","NSS","NSS"
"03",5,"NSS","NSS","NSS","NSS","NSS"
"03",6,"NSS","NSS","NSS","NSS","NSS"
"03",7,"NSS","NSS","NSS","NSS","NSS"
"03",8,"NSS","NSS","NSS","NSS","NSS"
"03",9,"NSS","NSS","NSS","NSS","NSS"
"03",10,"NSS","NSS","NSS","NSS","NSS"
"03",11,"NSS","NSS","NSS","NSS","NSS"
"03",12,"NSS","NSS","NSS","NSS","NSS"
"03",13,"NSS","NSS","NSS","NSS","NSS"
"03",14,"NSS","NSS","NSS","NSS","NSS"
"03",15,"NSS","NSS","NSS","NSS","NSS"
"03",16,"NSS","NSS","NSS","NSS","NSS"
"03",17,"NSS","NSS","NSS","NSS","NSS"
"03",18,"NSS","NSS","NSS","NSS","NSS"
"03",19,"NSS","NSS","NSS","NSS","NSS"
"03",20,"9895","2219","360","5895","1421"
"04",1,"773","117","35","547","74"
"04",2,"1","0","0","1","0"
"04",3,"NSS","NSS","NSS","NSS","NSS"
"04",4,"NSS","NSS","NSS","NSS","NSS"
"04",5,"2","0","0","2","0"
"04",6,"NSS","NSS","NSS","NSS","NSS"
"04",7,"NSS","NSS","NSS","NSS","NSS"
"04",8,"NSS","NSS","NSS","NSS","NSS"
"04",9,"NSS","NSS","NSS","NSS","NSS"
"04",10,"NSS","NSS","NSS","NSS","NSS"
"04",11,"NSS","NSS","NSS","NSS","NSS"
"04",12,"NSS","NSS","NSS","NSS","NSS"
"04",13,"NSS","NSS","NSS","NSS","NSS"
"04",14,"NSS","NSS","NSS","NSS","NSS"
"04",15,"1","0","0","1","0"
"04",16,"1","0","0","0","1"
"04",17,"NSS","NSS","NSS","NSS","NSS"
"04",18,"NSS","NSS","NSS","NSS","NSS"
"04",19,"NSS","NSS","NSS","NSS","NSS"
"04",20,"305","126","20","145","14"
"05",1,"46547","942","271","41986","3348"
"05",2,"34","NSS","0","21","13"
"05",3,"NSS","NSS","0","0","0"
"05",4,"NSS","NSS","0","0","0"
"05",5,"NSS","NSS","0","0","0"
"05",6,"NSS","NSS","0","0","0"
"05",7,"NSS","NSS","0","0","0"
"05",8,"NSS","NSS","0","0","0"
"05",9,"NSS","NSS","0","0","0"
"05",10,"NSS","NSS","0","0","0"
"05",11,"NSS","NSS","0","0","0"
"05",12,"NSS","NSS","0","0","0"
"05",13,"1","NSS","0","1","0"
"05",14,"1","NSS","0","1","0"
"05",15,"NSS","NSS","0","0","0"
"05",16,"3","NSS","0","3","0"
"05",17,"NSS","NSS","0","0","0"
"05",18,"NSS","NSS","0","0","0"
"05",19,"NSS","NSS","0","0","0"
"05",20,"540","540","0","0","0"
"06",1,"NSS","NSS","NSS","NSS","NSS"
"06",2,"NSS","NSS","NSS","NSS","NSS"
"06",3,"NSS","NSS","NSS","NSS","NSS"
"06",4,"NSS","NSS","NSS","NSS","NSS"
"06",5,"NSS","NSS","NSS","NSS","NSS"
"06",6,"NSS","NSS","NSS","NSS","NSS"
"06",7,"NSS","NSS","NSS","NSS","NSS"
"06",8,"NSS","NSS","NSS","NSS","NSS"
"06",9,"NSS","NSS","NSS","NSS","NSS"
"06",10,"NSS","NSS","NSS","NSS","NSS"
"06",11,"NSS","NSS","NSS","NSS","NSS"
"06",12,"NSS","NSS","NSS","NSS","NSS"
"06",13,"NSS","NSS","NSS","NSS","NSS"
"06",14,"NSS","NSS","NSS","NSS","NSS"
"06",15,"NSS","NSS","NSS","NSS","NSS"
"06",16,"NSS","NSS","NSS","NSS","NSS"
"06",17,"NSS","NSS","NSS","NSS","NSS"
"06",18,"NSS","NSS","NSS","NSS","NSS"
"06",19,"NSS","NSS","NSS","NSS","NSS"
"06",20,"3101","728","312","1440","621"
"07",1,"11505","977","87","9238","1203"
"07",2,"1","0","0","1","0"
"07",3,"0","0","0","0","0"
"07",4,"0","0","0","0","0"
"07",5,"0","0","0","0","0"
"07",6,"73","4","2","60","7"
"07",7,"82","2","0","62","18"
"07",8,"6","1","0","5","0"
"07",9,"0","0","0","0","0"
"07",10,"64","2","0","58","4"
