entidad,ocupacio,avcahmtt,avcahm1,avcahm2,avcahm4,avcahm5
"01",1,"NSS","NSS","NSS","NSS","NSS"
"01",2,"NSS","NSS","NSS","NSS","NSS"
"01",3,"NSS","NSS","NSS","NSS","NSS"
"01",4,"NSS","NSS","NSS","NSS","NSS"
"01",5,"NSS","NSS","NSS","NSS","NSS"
"01",6,"NSS","NSS","NSS","NSS","NSS"
"01",7,"NSS","NSS","NSS","NSS","NSS"
"01",8,"NSS","NSS","NSS","NSS","NSS"
"01",9,"NSS","NSS","NSS","NSS","NSS"
"01",10,"NSS","NSS","NSS","NSS","NSS"
"01",11,"8940","3184","651","4611","494"
"02",1,"76","12","8","40","16"
"02",2,"1897","389","52","1341","115"
"02",3,"110","21","15","52","22"
"02",4,"1412","308","56","908","140"
"02",5,"952","165","17","673","97"
"02",6,"262","43","0","213","6"
"02",7,"3376","446","9","2917","4"
"02",8,"1424","451","12","945","16"
"02",9,"596","56","6","518","16"
"02",10,"6566","588","252","5036","690"
"02",11,"11745","2409","440","8011","885"
"03",1,"NSS","NSS","NSS","NSS","NSS"
"03",2,"NSS","NSS","NSS","NSS","NSS"
"03",3,"NSS","NSS","NSS","NSS","NSS"
"03",4,"NSS","NSS","NSS","NSS","NSS"
"03",5,"NSS","NSS","NSS","NSS","NSS"
"03",6,"NSS","NSS","NSS","NSS","NSS"
"03",7,"NSS","NSS","NSS","NSS","NSS"
"03",8,"NSS","NSS","NSS","NSS","NSS"
"03",9,"NSS","NSS","NSS","NSS","NSS"
"03",10,"NSS","NSS","NSS","NSS","NSS"
"03",11,"9895","2219","360","5895","1421"
"04",1,"1","0","0","1","0"
"04",2,"38","2","0","30","6"
"04",3,"46","0","0","38","8"
"04",4,"133","1","0","109","23"
"04",5,"44","2","0","42","0"
"04",6,"76","3","2","69","2"
"04",7,"29","0","0","29","0"
"04",8,"23","0","0","23","0"
"04",9,"88","5","15","48","20"
"04",10,"253","150","25","63","15"
"04",11,"352","80","13","244","15"
"05",1,"3","0","0","3","0"
"05",2,"627","245","12","344","26"
"05",3,"38","21","16","1","0"
"05",4,"619","178","54","320","67"
"05",5,"146","16","0","96","34"
"05",6,"239","0","0","233","6"
"05",7,"407","3","0","397","7"
"05",8,"2747","345","76","2202","124"
"05",9,"373","34","0","335","4"
"05",10,"1240","45","11","839","345"
"05",11,"40687","595","102","37242","2748"
"06",1,"NSS","NSS","NSS","NSS","NSS"
"06",2,"NSS","NSS","NSS","NSS","NSS"
"06",3,"NSS","NSS","NSS","NSS","NSS"
"06",4,"NSS","NSS","NSS","NSS","NSS"
"06",5,"NSS","NSS","NSS","NSS","NSS"
"06",6,"NSS","NSS","NSS","NSS","NSS"
"06",7,"NSS","NSS","NSS","NSS","NSS"
"06",8,"NSS","NSS","NSS","NSS","NSS"
"06",9,"NSS","NSS","NSS","NSS","NSS"
"06",10,"NSS","NSS","NSS","NSS","NSS"
"06",11,"3101","728","312","1440","621"
"07",1,"202","25","1","155","21"
"07",2,"731","102","15","540","74"
"07",3,"1","0","0","1","0"
"07",4,"698","169","15","416","98"
"07",5,"132","11","0","113","8"
"07",6,"1242","201","2","1023","16"
"07",7,"60","5","0","51","4"
"07",8,"587","38","1","541","7"
"07",9,"2266","175","28","1670","393"
"07",10,"959","48","3","840","68"
"07",11,"5231","525","74","4088","544"
"08",1,"NSS","NA","NA","NSS","NSS"
"08",2,"NSS","NA","NA","NSS","NSS"
"08",3,"NSS","NA","NA","NSS","NSS"
"08",4,"NSS","NA","NA","NSS","NSS"
"08",5,"NSS","NA","NA","NSS","NSS"
"08",6,"NSS","NA","NA","NSS","NSS"
"08",7,"NSS","NA","NA","NSS","NSS"
"08",8,"NSS","NA","NA","NSS","NSS"
"08",9,"NSS","NA","NA","NSS","NSS"
"08",10,"NSS","NA","NA","NSS","NSS"
"08",11,"56225","NA","NA","49215","7010"
"09",1,"NSS","NSS","NSS","NSS","NSS"
"09",2,"NSS","NSS","NSS","NSS","NSS"
"09",3,"NSS","NSS","NSS","NSS","NSS"
"09",4,"NSS","NSS","NSS","NSS","NSS"
"09",5,"NSS","NSS","NSS","NSS","NSS"
"09",6,"NSS","NSS","NSS","NSS","NSS"
"09",7,"NSS","NSS","NSS","NSS","NSS"
"09",8,"NSS","NSS","NSS","NSS","NSS"
"09",9,"NSS","NSS","NSS","NSS","NSS"
"09",10,"NSS","NSS","NSS","NSS","NSS"
"09",11,"105501","18064","5440","59671","22326"
"10",1,"183","NSS","NSS","151","32"
"10",2,"1617","NSS","NSS","1320","297"
"10",3,"2882","NSS","NSS","2232","650"
"10",4,"4268","NSS","NSS","3504","764"
"10",5,"826","NSS","NSS","678","148"
"10",6,"738","NSS","NSS","719","19"
"10",7,"385","NSS","NSS","324","61"
"10",8,"4504","NSS","NSS","3524","980"
"10",9,"715","NSS","NSS","574","141"
"10",10,"3186","NSS","NSS","2376","810"
"10",11,"2450","NSS","NSS","2036","414"
"11",1,"43","1","NSS","32","10"
"11",2,"610","15","2","483","110"
"11",3,"14","NSS","NSS","10","4"
"11",4,"1311","19","6","1082","204"
"11",5,"318","1","NSS","299","18"
"11",6,"163","3","NSS","152","8"
"11",7,"215","5","1","207","2"
"11",8,"492","12","NSS","474","6"
"11",9,"9985","140","21","8276","1548"
"11",10,"1944","25","4","1765","150"
"11",11,"43888","11570","1278","26013","5027"
"12",1,"51","5","2","41","3"
"12",2,"450","61","30","300","59"
"12",3,"667","113","59","293","202"
"12",4,"1273","271","135","521","346"
"12",5,"349","89","44","177","39"
"12",6,"746","162","34","477","73"
"12",7,"430","76","25","195","134"
"12",8,"353","114","22","167","50"
"12",9,"1072","108","53","696","215"
"12",10,"1416","222","66","848","280"
"12",11,"2956","886","224","1325","521"
"13",1,"100","12","3","74","11"
"13",2,"119","20","8","70","21"
"13",3,"581","169","31","358","23"
"13",4,"474","66","19","302","87"
"13",5,"274","17","3","247","7"
"13",6,"126","41","8","77","0"
"13",7,"3","2","0","1","0"
"13",8,"288","4","3","278","3"
"13",9,"520","195","52","244","29"
"13",10,"649","219","65","270","95"
"13",11,"9529","187","33","6652","2657"
"14",1,"NSS","NSS","NSS","NSS","NSS"
"14",2,"NSS","NSS","NSS","NSS","NSS"
"14",3,"NSS","NSS","NSS","NSS","NSS"
"14",4,"NSS","NSS","NSS","NSS","NSS"
"14",5,"NSS","NSS","NSS","NSS","NSS"
"14",6,"NSS","NSS","NSS","NSS","NSS"
"14",7,"NSS","NSS","NSS","NSS","NSS"
"14",8,"NSS","NSS","NSS","NSS","NSS"
"14",9,"NSS","NSS","NSS","NSS","NSS"
"14",10,"NSS","NSS","NSS","NSS","NSS"
"14",11,"2163","602","853","200","508"
"15",1,"3744","NA","NA","3143","601"
"15",2,"5903","NA","NA","3789","2114"
"15",3,"4300","NA","NA","2834","1466"
"15",4,"14172","NA","NA","10267","3905"
"15",5,"3749","NA","NA","2203","1546"
"15",6,"523","NA","NA","368","155"
"15",7,"84","NA","NA","54","30"
"15",8,"6502","NA","NA","5179","1323"
"15",9,"1452","NA","NA","967","485"
"15",10,"19516","NA","NA","16106","3410"
"15",11,"160815","NA","NA","98234","62581"
"16",1,"NSS","NSS","NSS","NSS","NSS"
"16",2,"NSS","NSS","NSS","NSS","NSS"
"16",3,"NSS","NSS","NSS","NSS","NSS"
"16",4,"NSS","NSS","NSS","NSS","NSS"
"16",5,"NSS","NSS","NSS","NSS","NSS"
"16",6,"NSS","NSS","NSS","NSS","NSS"
"16",7,"NSS","NSS","NSS","NSS","NSS"
"16",8,"NSS","NSS","NSS","NSS","NSS"
"16",9,"NSS","NSS","NSS","NSS","NSS"
"16",10,"NSS","NSS","NSS","NSS","NSS"
"16",11,"NSS","NSS","NSS","NSS","NSS"
"17",1,"NSS","NA","NA","NSS","NSS"
"17",2,"NSS","NA","NA","NSS","NSS"
"17",3,"NSS","NA","NA","NSS","NSS"
"17",4,"NSS","NA","NA","NSS","NSS"
"17",5,"NSS","NA","NA","NSS","NSS"
"17",6,"NSS","NA","NA","NSS","NSS"
"17",7,"NSS","NA","NA","NSS","NSS"
"17",8,"NSS","NA","NA","NSS","NSS"
"17",9,"NSS","NA","NA","NSS","NSS"
"17",10,"NSS","NA","NA","NSS","NSS"
"17",11,"NSS","NA","NA","NSS","NSS"
"18",1,"NSS","NSS","NSS","NSS","NSS"
"18",2,"NSS","NSS","NSS","NSS","NSS"
"18",3,"NSS","NSS","NSS","NSS","NSS"
"18",4,"NSS","NSS","NSS","NSS","NSS"
"18",5,"NSS","NSS","NSS","NSS","NSS"
"18",6,"NSS","NSS","NSS","NSS","NSS"
"18",7,"NSS","NSS","NSS","NSS","NSS"
"18",8,"NSS","NSS","NSS","NSS","NSS"
"18",9,"NSS","NSS","NSS","NSS","NSS"
"18",10,"NSS","NSS","NSS","NSS","NSS"
"18",11,"3880","1788","318","1632","142"
"19",1,"213","0","0","188","25"
"19",2,"4750","11","0","4046","693"
"19",3,"5823","39","20","4668","1096"
"19",4,"21622","41","2","18260","3319"
"19",5,"6881","0","9","3831","3041"
"19",6,"165","0","0","156","9"
"19",7,"4742","1","0","3730","1011"
"19",8,"6893","2","0","6775","116"
"19",9,"19552","24","0","15818","3710"
"19",10,"11354","7","1","9765","1581"
"19",11,"0","0","0","0","0"
"20",1,"NSS","NSS","NSS","NSS","NSS"
"20",2,"NSS","NSS","NSS","NSS","NSS"
"20",3,"NSS","NSS","NSS","NSS","NSS"
"20",4,"NSS","NSS","NSS","NSS","NSS"
"20",5,"NSS","NSS","NSS","NSS","NSS"
"20",6,"NSS","NSS","NSS","NSS","NSS"
"20",7,"NSS","NSS","NSS","NSS","NSS"
"20",8,"NSS","NSS","NSS","NSS","NSS"
"20",9,"NSS","NSS","NSS","NSS","NSS"
"20",10,"NSS","NSS","NSS","NSS","NSS"
"20",11,"NSS","NSS","NSS","NSS","NSS"
"21",1,"NSS","NSS","NSS","NSS","NSS"
"21",2,"NSS","NSS","NSS","NSS","NSS"
"21",3,"NSS","NSS","NSS","NSS","NSS"
"21",4,"NSS","NSS","NSS","NSS","NSS"
"21",5,"NSS","NSS","NSS","NSS","NSS"
"21",6,"NSS","NSS","NSS","NSS","NSS"
"21",7,"NSS","NSS","NSS","NSS","NSS"
"21",8,"NSS","NSS","NSS","NSS","NSS"
"21",9,"NSS","NSS","NSS","NSS","NSS"
"21",10,"NSS","NSS","NSS","NSS","NSS"
"21",11,"4176","2038","226","1746","166"
"22",1,"NSS","NSS","NSS","NSS","NSS"
"22",2,"127","81","18","16","12"
"22",3,"1093","605","170","271","47"
"22",4,"330","183","56","78","13"
"22",5,"2","0","2","NSS","NSS"
"22",6,"88","34","1","52","1"
"22",7,"145","81","NSS","63","1"
"22",8,"124","74","5","43","2"
"22",9,"229","4","158","7","60"
"22",10,"335","194","36","86","19"
"22",11,"19914","1450","306","13508","4650"
"23",1,"NSS","NSS","NSS","NSS","NSS"
"23",2,"NSS","NSS","NSS","NSS","NSS"
"23",3,"NSS","NSS","NSS","NSS","NSS"
"23",4,"NSS","NSS","NSS","NSS","NSS"
"23",5,"NSS","NSS","NSS","NSS","NSS"
"23",6,"NSS","NSS","NSS","NSS","NSS"
"23",7,"NSS","NSS","NSS","NSS","NSS"
"23",8,"NSS","NSS","NSS","NSS","NSS"
"23",9,"NSS","NSS","NSS","NSS","NSS"
"23",10,"NSS","NSS","NSS","NSS","NSS"
"23",11,"15506","1253","653","9748","3852"
"24",1,"NSS","NSS","NSS","NSS","NSS"
"24",2,"NSS","NSS","NSS","NSS","NSS"
"24",3,"NSS","NSS","NSS","NSS","NSS"
"24",4,"NSS","NSS","NSS","NSS","NSS"
"24",5,"NSS","NSS","NSS","NSS","NSS"
"24",6,"NSS","NSS","NSS","NSS","NSS"
"24",7,"NSS","NSS","NSS","NSS","NSS"
"24",8,"NSS","NSS","NSS","NSS","NSS"
"24",9,"NSS","NSS","NSS","NSS","NSS"
