entidad,averaini,sexoidtt,sexoid1,sexoid2,sexoid3,sexoid4
"01",1,"7946","3184","651","4111","0"
"01",2,"14896","4611","494","9791","0"
"02",1,"27135","4888","867","21380","0"
"02",2,"80923","20654","2007","58262","0"
"03",1,"5202","2219","360","2620","3"
"03",2,"20081","5895","1421","12762","3"
"04",1,"333","243","55","35","0"
"04",2,"1701","696","89","916","0"
"05",1,"4565","1482","271","2812","0"
"05",2,"48528","42012","3361","3155","0"
"06",1,"2435","728","312","331","1064"
"06",2,"8442","1440","621","576","5805"
"07",1,"1775","1299","139","336","1"
"07",2,"22475","9438","1233","11770","34"
"08",1,"NA","NA","NA","NA","NA"
"08",2,"68004","49215","7010","11779","0"
"09",1,"40515","18064","5440","262","16749"
"09",2,"139205","59671","22326","957","56251"
"10",1,"370","NSS","NSS","370","0"
"10",2,"31929","17438","4316","10175","0"
"11",1,"14835","11791","1312","1732","0"
"11",2,"95309","38793","7087","49429","0"
"12",1,"8531","2107","694","5730","0"
"12",2,"18797","5040","1922","11835","0"
"13",1,"2649","932","225","1492","0"
"13",2,"25167","8573","2933","13661","0"
"14",1,"36511","602","853","35056","0"
"14",2,"70198","200","508","69490","0"
"15",1,"NA","NA","NA","NA","NA"
"15",2,"221760","143144","77616","1000","0"
"16",1,"2636","NSS","NSS","2636","NSS"
"16",2,"34009","NSS","NSS","34009","NSS"
"17",1,"NA","NA","NA","NA","NA"
"17",2,"50191","NSS","NSS","50191","NSS"
"18",1,"2259","1788","318","153","0"
"18",2,"1950","1632","142","176","0"
"19",1,"225","125","32","68","0"
"19",2,"95371","67237","14601","13533","0"
"20",1,"NSS","NSS","NSS","NSS","NSS"
"20",2,"NSS","NSS","NSS","NSS","NSS"
"21",1,"22988","2038","226","20724","0"
"21",2,"28073","1746","166","26161","0"
"22",1,"14657","2706","752","11004","195"
"22",2,"34350","14124","4805","15286","135"
"23",1,"2021","1253","653","115","NSS"
"23",2,"16400","9748","3852","2800","NSS"
"24",1,"5028","2591","629","696","1112"
"24",2,"23475","9111","2384","11716","264"
"25",1,"8800","3465","921","4402","12"
"25",2,"15872","5712","1171","8953","36"
"26",1,"12782","11741","1041","NSS","NSS"
"26",2,"28744","26424","2266","54","NSS"
"27",1,"19029","16035","1948","1046","0"
"27",2,"83050","65389","5137","12524","0"
"28",1,"14034","4620","1108","8263","43"
"28",2,"39213","17478","6297","15424","14"
"29",1,"3139","646","115","2378","0"
"29",2,"3411","415","51","2945","0"
"30",1,"9234","5485","1037","2703","9"
"30",2,"46828","23522","4783","18442","81"
"31",1,"NA","NA","NA","NA","NA"
"31",2,"34289","21166","751","12372","0"
"32",1,"531","311","57","163","0"
"32",2,"17697","5861","1271","10565","0"
