entidad,carinvtt,carinv1,carinv2,carinv3,carinv4,carinv5,carinv6,carinvne
"01","546","233","0","275","0","38","0",""
"02","4902","4181","0","721","0","0","0",""
"03","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"04","208","75","18","19","53","43","0",""
"05","13051","NSS","19","6468","0","NSS","96","6468"
"06","7382","450","20","120","266","80","6446",""
"07","608","448","25","9","33","0","93",""
"08","12193","3341","716","521","1233","294","6088",""
"09","6158","0","0","6158","0","0","0",""
"10","4553","2187","94","333","111","142","1686",""
"11","41638","2309","35343","1098","445","126","2317",""
"12","935","103","3","642","7","29","151",""
"13","2425","198","81","793","36","41","1276",""
"14","1099","86","46","557","107","48","255",""
"15","9245","5098","1092","1488","59","1508","0",""
"16","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"17","7106","781","4608","1316","323","78","0",""
"18","943","56","79","157","183","468","0",""
"19","47922","38277","27","963","1578","0","7077",""
"20","1511","1033","208","110","81","79","0",""
"21","NSS","NSS","NSS","NSS","NSS","NSS","0",""
"22","3020","166","1117","1435","256","46","0",""
"23","1443","279","101","767","11","2","283",""
"24","166","39","10","10","42","12","53",""
"25","741","38","193","53","303","133","21",""
"26","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"27","527","232","37","124","108","26","0",""
"28","483","NSS","40","NSS","NSS","NSS","0","443"
"29","166","72","30","34","18","10","2",""
"30","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"31","430","117","44","70","62","24","113",""
"32","273","1","94","84","61","16","17",""
