entidad,actoscon,totalca1
"01",1,"0"
"01",2,"0"
"01",3,"0"
"01",4,"0"
"01",5,"0"
"01",6,"0"
"01",9,""
"02",1,"NSS"
"02",2,"NSS"
"02",3,"NSS"
"02",4,"NSS"
"02",5,"NSS"
"02",6,"NSS"
"02",9,""
"03",1,"NSS"
"03",2,"NSS"
"03",3,"NSS"
"03",4,"NSS"
"03",5,"NSS"
"03",6,"0"
"03",9,""
"04",1,"NSS"
"04",2,"NSS"
"04",3,"NSS"
"04",4,"NSS"
"04",5,"NSS"
"04",6,"NSS"
"04",9,""
"05",1,"0"
"05",2,"0"
"05",3,"0"
"05",4,"0"
"05",5,"0"
"05",6,"0"
"05",9,""
"06",1,"0"
"06",2,"86"
"06",3,"5"
"06",4,"1775"
"06",5,"0"
"06",6,"0"
"06",9,""
"07",1,"NSS"
"07",2,"NSS"
"07",3,"NSS"
"07",4,"NSS"
"07",5,"NSS"
"07",6,"NSS"
"07",9,""
"08",1,"NSS"
"08",2,"NSS"
"08",3,"NSS"
"08",4,"NSS"
"08",5,"NSS"
"08",6,"0"
"08",9,""
"09",1,"NSS"
"09",2,"NSS"
"09",3,"NSS"
"09",4,"NSS"
"09",5,"NSS"
"09",6,"NSS"
"09",9,""
"10",1,"1"
"10",2,"78"
"10",3,"0"
"10",4,"61"
"10",5,"0"
"10",6,"0"
"10",9,""
"11",1,"NSS"
"11",2,"NSS"
"11",3,"NSS"
"11",4,"NSS"
"11",5,"NSS"
"11",6,"NSS"
"11",9,""
"12",1,"0"
"12",2,"3"
"12",3,"1"
"12",4,"6"
"12",5,"34"
"12",6,"2"
"12",9,""
"13",1,"0"
"13",2,"15"
"13",3,"5"
"13",4,"12"
"13",5,"0"
"13",6,"0"
"13",9,""
"14",1,"1"
"14",2,"44"
"14",3,"2"
"14",4,"42"
"14",5,"0"
"14",6,"0"
"14",9,""
"15",1,"3"
"15",2,"99"
"15",3,"1"
"15",4,"15"
"15",5,"0"
"15",6,"0"
"15",9,""
"16",1,"NSS"
"16",2,"NSS"
"16",3,"NSS"
"16",4,"NSS"
"16",5,"NSS"
"16",6,"NSS"
"16",9,""
"17",1,"1"
"17",2,"79"
"17",3,"3"
"17",4,"9"
"17",5,"0"
"17",6,"98"
"17",9,""
"18",1,"NSS"
"18",2,"NSS"
"18",3,"NSS"
"18",4,"NSS"
"18",5,"NSS"
"18",6,"0"
"18",9,""
"19",1,"0"
"19",2,"0"
"19",3,"0"
"19",4,"0"
"19",5,"0"
"19",6,"0"
"19",9,""
"20",1,"0"
"20",2,"0"
"20",3,"0"
"20",4,"0"
"20",5,"0"
"20",6,"0"
"20",9,""
"21",1,"NSS"
"21",2,"NSS"
"21",3,"NSS"
"21",4,"NSS"
"21",5,"NSS"
"21",6,"0"
"21",9,""
"22",1,"0"
"22",2,"29"
"22",3,"3"
"22",4,"9"
"22",5,"2"
"22",6,"26"
"22",9,""
"23",1,"NSS"
"23",2,"NSS"
"23",3,"NSS"
"23",4,"NSS"
"23",5,"NSS"
"23",6,"0"
"23",9,""
"24",1,"0"
"24",2,"17"
"24",3,"1"
"24",4,"36"
"24",5,"0"
"24",6,"0"
"24",9,""
"25",1,"0"
"25",2,"2"
"25",3,"6"
"25",4,"7"
"25",5,"0"
"25",6,"11"
"25",9,""
"26",1,"NSS"
"26",2,"NSS"
"26",3,"NSS"
"26",4,"NSS"
"26",5,"NSS"
"26",6,"NSS"
"26",9,""
"27",1,"3"
"27",2,"4"
"27",3,"18"
"27",4,"20"
"27",5,"0"
"27",6,"0"
"27",9,""
"28",1,"NSS"
"28",2,"NSS"
"28",3,"NSS"
"28",4,"NSS"
"28",5,"NSS"
"28",6,"0"
"28",9,""
"29",1,"0"
"29",2,"4"
"29",3,"0"
"29",4,"1"
"29",5,"0"
"29",6,"0"
"29",9,""
"30",1,"NSS"
"30",2,"NSS"
"30",3,"NSS"
"30",4,"NSS"
"30",5,"NSS"
"30",6,"NSS"
"30",9,""
"31",1,"NSS"
"31",2,"NSS"
"31",3,"NSS"
"31",4,"NSS"
"31",5,"NSS"
"31",6,"0"
"31",9,""
"32",1,"NSS"
"32",2,"NSS"
"32",3,"NSS"
"32",4,"NSS"
"32",5,"NSS"
"32",6,"0"
"32",9,""
