entidad,carpinpe,totalca1
"01",1,"176"
"01",2,"0"
"01",3,"0"
"01",4,"0"
"01",9,""
"02",1,"397"
"02",2,"75"
"02",3,"1"
"02",4,"2"
"02",9,""
"03",1,"5"
"03",2,"0"
"03",3,"0"
"03",4,"1"
"03",9,""
"04",1,"35"
"04",2,"0"
"04",3,"0"
"04",4,"0"
"04",9,""
"05",1,"850"
"05",2,"2"
"05",3,"0"
"05",4,"0"
"05",9,""
"07",1,"45"
"07",2,"46"
"07",3,"0"
"07",4,"0"
"07",9,""
"08",1,"688"
"08",2,"86"
"08",3,"46"
"08",4,"12"
"08",9,""
"09",1,"4077"
"09",2,"6"
"09",3,"0"
"09",4,"0"
"09",9,""
"10",1,"0"
"10",2,"129"
"10",3,"10"
"10",4,"22"
"10",9,""
"11",1,"70"
"11",2,"51"
"11",3,"50"
"11",4,"0"
"11",9,""
"12",1,"128"
"12",2,"10"
"12",3,"0"
"12",4,"0"
"12",9,""
"13",1,"136"
"13",2,"0"
"13",3,"0"
"13",4,"0"
"13",9,""
"14",1,"411"
"14",2,"99"
"14",3,"0"
"14",4,"10"
"14",9,""
"15",1,"571"
"15",2,"45"
"15",3,"2"
"15",4,"0"
"15",9,""
"16",1,"NSS"
"16",2,"NSS"
"16",3,"NSS"
"16",4,"NSS"
"16",9,""
"17",1,"200"
"17",2,"0"
"17",3,"0"
"17",4,"0"
"17",9,""
"18",1,"4"
"18",2,"0"
"18",3,"0"
"18",4,"0"
"18",9,""
"19",1,"1044"
"19",2,"12"
"19",3,"9"
"19",4,"0"
"19",9,""
"20",1,"187"
"20",2,"0"
"20",3,"7"
"20",4,"31"
"20",9,""
"21",1,"193"
"21",2,"0"
"21",3,"0"
"21",4,"0"
"21",9,""
"22",1,"65"
"22",2,"0"
"22",3,"0"
"22",4,"0"
"22",9,""
"23",1,"195"
"23",2,"1"
"23",3,"0"
"23",4,"11"
"23",9,""
"24",1,"29"
"24",2,"0"
"24",3,"0"
"24",4,"0"
"24",9,""
"25",1,"725"
"25",2,"607"
"25",3,"15"
"25",4,"23"
"25",9,""
"26",1,"NSS"
"26",2,"NSS"
"26",3,"NSS"
"26",4,"NSS"
"26",9,""
"27",1,"339"
"27",2,"0"
"27",3,"0"
"27",4,"0"
"27",9,""
"28",1,"104"
"28",2,"0"
"28",3,"0"
"28",4,"7"
"28",9,""
"29",1,"15"
"29",2,"0"
"29",3,"0"
"29",4,"0"
"29",9,""
"30",1,"68"
"30",2,"0"
"30",3,"0"
"30",4,"0"
"30",9,""
"31",1,"77"
"31",2,"7"
"31",3,"0"
"31",4,"0"
"31",9,""
"32",1,"135"
"32",2,"76"
"32",3,"0"
"32",4,"0"
"32",9,""
