entidad,organos,juecestt,jueces1,jueces2,jueces3,juecesne,no_aplic
"01",1,"8","8","0","0","",""
"01",2,"NA","NA","NA","NA","","1"
"02",1,"3","3","0","0","",""
"02",2,"5","NSS","NSS","NSS","5",""
"03",1,"7","3","3","1","",""
"03",2,"NA","NA","NA","NA","","1"
"04",1,"0","0","0","0","",""
"04",2,"NA","NA","NA","NA","","1"
"05",1,"5","0","0","5","",""
"05",2,"NA","NA","NA","NA","","1"
"06",1,"3","0","2","1","",""
"06",2,"NA","NA","NA","NA","","1"
"07",1,"8","4","3","1","",""
"07",2,"NA","NA","NA","NA","","1"
"08",1,"11","NSS","NSS","NSS","11",""
"08",2,"2","NSS","NSS","NSS","2",""
"09",1,"92","92","0","0","",""
"09",2,"14","14","0","0","",""
"10",1,"11","11","0","0","",""
"10",2,"NA","NA","NA","NA","","1"
"11",1,"NA","NA","NA","NA","","1"
"11",2,"NA","NA","NA","NA","","1"
"12",1,"0","0","0","0","",""
"12",2,"0","0","0","0","",""
"13",1,"14","12","0","2","",""
"13",2,"NA","NA","NA","NA","","1"
"14",1,"0","0","0","0","",""
"14",2,"NA","NA","NA","NA","","1"
"15",1,"2","NSS","NSS","NSS","2",""
"15",2,"NA","NA","NA","NA","","1"
"16",1,"NA","NA","NA","NA","","1"
"16",2,"NA","NA","NA","NA","","1"
"17",1,"3","NSS","NSS","NSS","3",""
"17",2,"NA","NA","NA","NA","","1"
"18",1,"5","4","0","1","",""
"18",2,"NA","NA","NA","NA","","1"
"19",1,"2","0","0","2","",""
"19",2,"NA","NA","NA","NA","","1"
"20",1,"0","0","0","0","",""
"20",2,"4","0","0","4","",""
"21",1,"12","12","0","0","",""
"21",2,"NA","NA","NA","NA","","1"
"22",1,"6","6","0","0","",""
"22",2,"NA","NA","NA","NA","","1"
"23",1,"10","10","0","0","",""
"23",2,"NA","NA","NA","NA","","1"
"24",1,"0","0","0","0","",""
"24",2,"14","NSS","NSS","NSS","14",""
"25",1,"4","0","0","4","",""
"25",2,"0","0","0","0","",""
"26",1,"8","0","5","3","",""
"26",2,"0","0","0","0","",""
"27",1,"NA","NA","NA","NA","","1"
"27",2,"4","0","0","4","",""
"28",1,"9","5","3","1","",""
"28",2,"1","1","0","0","",""
"29",1,"2","0","1","0","1",""
"29",2,"NA","NA","NA","NA","","1"
"30",1,"0","0","0","0","",""
"30",2,"NA","NA","NA","NA","","1"
"31",1,"7","5","0","2","",""
"31",2,"2","0","0","2","",""
"32",1,"NA","NA","NA","NA","","1"
"32",2,"NA","NA","NA","NA","","1"
