entidad,rangedae,magjuett,magjue1,magjue2,magjue4,magjue5
"01",1,"0","0","0","0","0"
"01",2,"1","0","0","1","0"
"01",3,"0","0","0","0","0"
"01",4,"2","0","0","1","1"
"01",5,"13","0","0","8","5"
"01",6,"13","3","1","3","6"
"01",7,"7","2","1","3","1"
"01",8,"5","0","1","3","1"
"01",9,"3","1","0","2","0"
"01",99,"","","","",""
"02",1,"0","0","0","0","0"
"02",2,"0","0","0","0","0"
"02",3,"1","0","0","0","1"
"02",4,"0","0","0","0","0"
"02",5,"15","0","0","12","3"
"02",6,"21","1","0","9","11"
"02",7,"38","1","1","14","22"
"02",8,"20","2","1","8","9"
"02",9,"18","9","2","6","1"
"02",99,"","","","",""
"03",1,"0","0","0","0","0"
"03",2,"0","0","0","0","0"
"03",3,"3","0","0","1","2"
"03",4,"10","0","0","8","2"
"03",5,"13","1","0","5","7"
"03",6,"9","2","0","5","2"
"03",7,"7","1","0","3","3"
"03",8,"5","2","1","0","2"
"03",9,"4","0","0","1","3"
"03",99,"","","","",""
"04",1,"0","0","0","0","0"
"04",2,"0","0","0","0","0"
"04",3,"2","0","0","1","1"
"04",4,"10","0","1","3","6"
"04",5,"11","1","1","3","6"
"04",6,"29","1","1","10","17"
"04",7,"21","3","1","10","7"
"04",8,"14","1","1","7","5"
"04",9,"23","3","1","17","2"
"04",99,"","","","",""
"05",1,"0","0","0","0","0"
"05",2,"0","0","0","0","0"
"05",3,"3","0","0","1","2"
"05",4,"6","0","0","2","4"
"05",5,"17","0","0","11","6"
"05",6,"34","7","1","13","13"
"05",7,"13","2","0","10","1"
"05",8,"8","3","0","2","3"
"05",9,"7","4","1","0","2"
"05",99,"","","","",""
"06",1,"0","0","0","0","0"
"06",2,"0","0","0","0","0"
"06",3,"0","0","0","0","0"
"06",4,"5","0","0","1","4"
"06",5,"8","0","0","2","6"
"06",6,"12","2","0","8","2"
"06",7,"6","2","1","3","0"
"06",8,"4","1","1","1","1"
"06",9,"11","1","2","7","1"
"06",99,"","","","",""
"07",1,"0","0","0","0","0"
"07",2,"15","0","0","9","6"
"07",3,"14","0","0","8","6"
"07",4,"28","2","0","17","9"
"07",5,"27","3","0","16","8"
"07",6,"45","4","0","35","6"
"07",7,"27","3","2","17","5"
"07",8,"16","5","1","3","7"
"07",9,"30","10","0","19","1"
"07",99,"","","","",""
"08",1,"0","0","0","0","0"
"08",2,"3","0","0","3","0"
"08",3,"14","0","0","8","6"
"08",4,"30","0","0","22","8"
"08",5,"51","5","1","21","24"
"08",6,"51","4","1","26","20"
"08",7,"37","7","2","13","15"
"08",8,"15","2","1","7","5"
"08",9,"26","2","1","13","10"
"08",99,"","","","",""
"09",1,"0","0","0","0","0"
"09",2,"0","0","0","0","0"
"09",3,"12","0","0","6","6"
"09",4,"44","0","0","32","12"
"09",5,"73","2","1","36","34"
"09",6,"56","1","2","36","17"
"09",7,"54","4","4","27","19"
"09",8,"95","7","6","55","27"
"09",9,"110","25","18","42","25"
"09",99,"","","","",""
"10",1,"0","0","0","0","0"
"10",2,"0","0","0","0","0"
"10",3,"2","0","0","2","0"
"10",4,"9","2","0","4","3"
"10",5,"20","2","0","11","7"
"10",6,"12","1","1","6","4"
"10",7,"13","1","2","7","3"
"10",8,"12","3","1","7","1"
"10",9,"13","3","2","6","2"
"10",99,"","","","",""
"11",1,"0","0","0","0","0"
"11",2,"0","0","0","0","0"
"11",3,"6","0","0","3","3"
"11",4,"29","0","0","13","16"
"11",5,"63","2","1","28","32"
"11",6,"88","6","0","31","51"
"11",7,"54","6","4","21","23"
"11",8,"20","0","1","7","12"
"11",9,"23","0","0","9","14"
"11",99,"","","","",""
"12",1,"0","0","0","0","0"
"12",2,"1","0","0","1","0"
"12",3,"5","0","0","4","1"
"12",4,"9","0","0","5","4"
"12",5,"31","0","0","12","19"
"12",6,"40","0","0","24","16"
"12",7,"46","4","3","26","13"
"12",8,"22","6","1","13","2"
"12",9,"26","5","3","12","6"
"12",99,"","","","",""
"13",1,"0","0","0","0","0"
"13",2,"1","0","0","0","1"
"13",3,"8","0","0","4","4"
"13",4,"11","0","0","7","4"
"13",5,"11","0","1","4","6"
"13",6,"17","2","2","9","4"
"13",7,"9","0","1","3","5"
"13",8,"15","2","1","8","4"
"13",9,"10","1","1","6","2"
"13",99,"","","","",""
"14",1,"0","0","0","0","0"
"14",2,"12","0","0","8","4"
"14",3,"21","0","0","15","6"
"14",4,"35","1","0","21","13"
"14",5,"39","3","1","27","8"
"14",6,"44","1","1","30","12"
"14",7,"34","3","0","19","12"
"14",8,"51","4","2","30","15"
"14",9,"46","18","0","21","7"
"14",99,"","","","",""
"15",1,"0","0","0","0","0"
"15",2,"0","0","0","0","0"
"15",3,"10","0","0","4","6"
"15",4,"47","2","0","25","20"
"15",5,"98","3","2","51","42"
"15",6,"105","7","2","52","44"
"15",7,"102","11","5","60","26"
"15",8,"59","12","3","31","13"
"15",9,"32","6","2","21","3"
"15",99,"","","","",""
"16",1,"0","0","0","0","0"
"16",2,"0","0","0","0","0"
"16",3,"11","0","0","5","6"
"16",4,"31","0","0","23","8"
"16",5,"36","0","0","22","14"
"16",6,"33","2","0","18","13"
"16",7,"26","4","2","10","10"
"16",8,"15","5","1","7","2"
"16",9,"6","2","1","2","1"
"16",99,"","","","",""
"17",1,"0","0","0","0","0"
"17",2,"0","0","0","0","0"
"17",3,"0","0","0","0","0"
"17",4,"5","0","0","2","3"
"17",5,"18","1","0","7","10"
"17",6,"35","4","3","9","19"
"17",7,"14","1","2","2","9"
"17",8,"7","1","2","2","2"
"17",9,"4","3","0","1","0"
"17",99,"","","","",""
"18",1,"0","0","0","0","0"
"18",2,"0","0","0","0","0"
"18",3,"0","0","0","0","0"
"18",4,"2","1","1","0","0"
"18",5,"14","2","0","9","3"
"18",6,"10","2","1","6","1"
"18",7,"10","3","0","4","3"
"18",8,"5","0","1","1","3"
"18",9,"7","5","0","0","2"
"18",99,"","","","",""
"19",1,"0","0","0","0","0"
"19",2,"0","0","0","0","0"
"19",3,"6","0","0","4","2"
"19",4,"25","0","0","18","7"
"19",5,"27","0","0","15","12"
"19",6,"16","0","0","8","8"
"19",7,"18","1","0","11","6"
"19",8,"21","4","3","6","8"
"19",9,"17","6","0","8","3"
"19",99,"","","","",""
"20",1,"0","0","0","0","0"
"20",2,"0","0","0","0","0"
"20",3,"15","0","0","9","6"
"20",4,"31","1","0","17","13"
"20",5,"34","1","0","19","14"
"20",6,"32","1","0","18","13"
"20",7,"25","3","4","9","9"
"20",8,"13","4","1","4","4"
"20",9,"17","10","3","4","0"
"20",99,"","","","",""
"21",1,"0","0","0","0","0"
"21",2,"0","0","0","0","0"
"21",3,"2","0","0","2","0"
"21",4,"4","0","0","3","1"
"21",5,"8","2","1","4","1"
"21",6,"15","3","0","8","4"
"21",7,"23","2","3","10","8"
"21",8,"18","3","0","11","4"
"21",9,"21","6","0","11","4"
"21",99,"","","","",""
"22",1,"0","0","0","0","0"
"22",2,"0","0","0","0","0"
"22",3,"6","0","0","2","4"
"22",4,"11","0","0","6","5"
"22",5,"37","2","2","17","16"
"22",6,"21","1","2","11","7"
