entidad,gdoestue,magjuett,magjue1,magjue2,magjue4,magjue5
"01",1,"0","0","0","0","0"
"01",2,"0","0","0","0","0"
"01",3,"0","0","0","0","0"
"01",4,"0","0","0","0","0"
"01",5,"0","0","0","0","0"
"01",6,"16","0","0","12","4"
"01",7,"28","6","3","9","10"
"01",8,"0","0","0","0","0"
"01",9,"","","","",""
"02",1,"0","0","0","0","0"
"02",2,"0","0","0","0","0"
"02",3,"0","0","0","0","0"
"02",4,"0","0","0","0","0"
"02",5,"0","0","0","0","0"
"02",6,"47","7","3","18","19"
"02",7,"61","6","1","28","26"
"02",8,"5","0","0","3","2"
"02",9,"","","","",""
"03",1,"0","0","0","0","0"
"03",2,"0","0","0","0","0"
"03",3,"0","0","0","0","0"
"03",4,"0","0","0","0","0"
"03",5,"0","0","0","0","0"
"03",6,"49","5","1","23","20"
"03",7,"2","1","0","0","1"
"03",8,"0","0","0","0","0"
"03",9,"","","","",""
"04",1,"2","0","0","1","1"
"04",2,"11","0","0","11","0"
"04",3,"13","0","0","9","4"
"04",4,"7","0","0","6","1"
"04",5,"1","0","0","1","0"
"04",6,"52","7","3","18","24"
"04",7,"22","1","3","4","14"
"04",8,"2","1","0","1","0"
"04",9,"","","","",""
"05",1,"0","0","0","0","0"
"05",2,"0","0","0","0","0"
"05",3,"0","0","0","0","0"
"05",4,"0","0","0","0","0"
"05",5,"0","0","0","0","0"
"05",6,"59","10","0","28","21"
"05",7,"29","6","2","11","10"
"05",8,"0","0","0","0","0"
"05",9,"","","","",""
"06",1,"0","0","0","0","0"
"06",2,"1","0","0","1","0"
"06",3,"0","0","0","0","0"
"06",4,"0","0","0","0","0"
"06",5,"1","0","0","1","0"
"06",6,"29","0","2","17","10"
"06",7,"14","5","2","3","4"
"06",8,"1","1","0","0","0"
"06",9,"","","","",""
"07",1,"0","0","0","0","0"
"07",2,"7","0","0","7","0"
"07",3,"11","0","0","10","1"
"07",4,"15","0","0","9","6"
"07",5,"0","0","0","0","0"
"07",6,"103","11","0","55","37"
"07",7,"51","11","0","37","3"
"07",8,"15","5","3","6","1"
"07",9,"","","","",""
"08",1,"0","0","0","0","0"
"08",2,"0","0","0","0","0"
"08",3,"0","0","0","0","0"
"08",4,"0","0","0","0","0"
"08",5,"0","0","0","0","0"
"08",6,"89","4","0","53","32"
"08",7,"118","14","4","51","49"
"08",8,"20","2","2","9","7"
"08",9,"","","","",""
"09",1,"0","0","0","0","0"
"09",2,"0","0","0","0","0"
"09",3,"0","0","0","0","0"
"09",4,"0","0","0","0","0"
"09",5,"0","0","0","0","0"
"09",6,"358","29","27","193","109"
"09",7,"60","6","4","24","26"
"09",8,"26","4","0","17","5"
"09",9,"","","","",""
"10",1,"0","0","0","0","0"
"10",2,"0","0","0","0","0"
"10",3,"0","0","0","0","0"
"10",4,"0","0","0","0","0"
"10",5,"0","0","0","0","0"
"10",6,"61","9","5","30","17"
"10",7,"11","1","0","9","1"
"10",8,"9","2","1","4","2"
"10",9,"","","","",""
"11",1,"0","0","0","0","0"
"11",2,"0","0","0","0","0"
"11",3,"0","0","0","0","0"
"11",4,"0","0","0","0","0"
"11",5,"0","0","0","0","0"
"11",6,"143","1","1","56","85"
"11",7,"135","10","5","55","65"
"11",8,"5","3","0","1","1"
"11",9,"","","","",""
"12",1,"0","0","0","0","0"
"12",2,"0","0","0","0","0"
"12",3,"0","0","0","0","0"
"12",4,"0","0","0","0","0"
"12",5,"0","0","0","0","0"
