entidad,org_mate,magjuett,magjue1,magjue2,magjue4,magjue5,no_aplic
"01",1,"NA","NA","NA","NA","NA","1"
"01",2,"NA","NA","NA","NA","NA","1"
"01",3,"NA","NA","NA","NA","NA","1"
"01",4,"3","0","0","1","2",""
"01",5,"5","0","0","3","2",""
"01",6,"0","0","0","0","0",""
"01",7,"5","0","0","2","3",""
"01",8,"6","0","0","3","3",""
"01",9,"2","0","0","2","0",""
"01",10,"NA","NA","NA","NA","NA","1"
"01",11,"NA","NA","NA","NA","NA","1"
"01",12,"4","0","0","3","1",""
"01",13,"NA","NA","NA","NA","NA","1"
"01",14,"1","0","0","1","0",""
"01",15,"NA","NA","NA","NA","NA","1"
"01",16,"9","0","0","6","3",""
"01",17,"NA","NA","NA","NA","NA","1"
"01",18,"3","2","1","0","0",""
"01",19,"3","1","2","0","0",""
"01",20,"NA","NA","NA","NA","NA","1"
"01",21,"NA","NA","NA","NA","NA","1"
"01",22,"NA","NA","NA","NA","NA","1"
"01",23,"NA","NA","NA","NA","NA","1"
"01",24,"NA","NA","NA","NA","NA","1"
"01",25,"3","3","0","0","0",""
"01",26,"NA","NA","NA","NA","NA","1"
"01",27,"NA","NA","NA","NA","NA","1"
"01",28,"NA","NA","NA","NA","NA","1"
"01",99,"","","","","",""
"02",1,"NA","NA","NA","NA","NA","1"
"02",2,"NA","NA","NA","NA","NA","1"
"02",3,"NA","NA","NA","NA","NA","1"
"02",4,"24","0","0","16","8",""
"02",5,"19","0","0","8","11",""
"02",6,"NA","NA","NA","NA","NA","1"
"02",7,"8","0","0","2","6",""
"02",8,"2","0","0","1","1",""
"02",9,"3","0","0","2","1",""
"02",10,"NA","NA","NA","NA","NA","1"
"02",11,"NA","NA","NA","NA","NA","1"
"02",12,"3","0","0","3","0",""
"02",13,"37","0","0","17","20",""
"02",14,"NA","NA","NA","NA","NA","1"
"02",15,"NA","NA","NA","NA","NA","1"
"02",16,"NA","NA","NA","NA","NA","1"
"02",17,"NA","NA","NA","NA","NA","1"
"02",18,"6","4","2","0","0",""
"02",19,"10","8","2","0","0",""
"02",20,"NA","NA","NA","NA","NA","1"
"02",21,"NA","NA","NA","NA","NA","1"
"02",22,"NA","NA","NA","NA","NA","1"
"02",23,"1","1","0","0","0",""
"02",24,"NA","NA","NA","NA","NA","1"
"02",25,"NA","NA","NA","NA","NA","1"
"02",26,"NSS","NSS","NSS","NSS","NSS",""
"02",27,"NA","NA","NA","NA","NA","1"
"02",28,"NSS","NSS","NSS","NSS","NSS",""
"02",99,"","","","","",""
"03",1,"NA","NA","NA","NA","NA","1"
"03",2,"NA","NA","NA","NA","NA","1"
"03",3,"6","0","0","5","1",""
"03",4,"6","0","0","2","4",""
"03",5,"5","0","0","2","3",""
"03",6,"14","0","0","7","7",""
"03",7,"4","0","0","3","1",""
"03",8,"3","0","0","0","3",""
"03",9,"1","0","0","1","0",""
"03",10,"NA","NA","NA","NA","NA","1"
"03",11,"NA","NA","NA","NA","NA","1"
"03",12,"4","0","0","3","1",""
"03",13,"NA","NA","NA","NA","NA","1"
"03",14,"NA","NA","NA","NA","NA","1"
"03",15,"1","0","0","0","1",""
"03",16,"NA","NA","NA","NA","NA","1"
"03",17,"NA","NA","NA","NA","NA","1"
"03",18,"2","1","1","0","0",""
"03",19,"2","2","0","0","0",""
"03",20,"NA","NA","NA","NA","NA","1"
"03",21,"NA","NA","NA","NA","NA","1"
"03",22,"NA","NA","NA","NA","NA","1"
"03",23,"1","1","0","0","0",""
"03",24,"NA","NA","NA","NA","NA","1"
"03",25,"1","1","0","0","0",""
"03",26,"NA","NA","NA","NA","NA","1"
"03",27,"NA","NA","NA","NA","NA","1"
"03",28,"NA","NA","NA","NA","NA","1"
"03",99,"","","","","",""
"04",1,"3","0","0","1","2",""
"04",2,"2","0","0","1","1",""
"04",3,"3","0","0","0","3",""
"04",4,"3","0","0","1","2",""
"04",5,"6","0","0","1","5",""
"04",6,"NA","NA","NA","NA","NA","1"
"04",7,"12","0","0","2","10",""
"04",8,"5","0","0","1","4",""
"04",9,"2","0","0","2","0",""
"04",10,"44","0","0","35","9",""
"04",11,"NA","NA","NA","NA","NA","1"
"04",12,"4","0","0","3","1",""
"04",13,"7","0","0","3","4",""
"04",14,"NA","NA","NA","NA","NA","1"
"04",15,"NA","NA","NA","NA","NA","1"
"04",16,"4","0","0","1","3",""
"04",17,"NA","NA","NA","NA","NA","1"
"04",18,"3","1","2","0","0",""
"04",19,"3","2","1","0","0",""
"04",20,"NA","NA","NA","NA","NA","1"
"04",21,"NA","NA","NA","NA","NA","1"
"04",22,"NA","NA","NA","NA","NA","1"
"04",23,"1","0","1","0","0",""
"04",24,"3","2","1","0","0",""
"04",25,"5","4","1","0","0",""
"04",26,"NA","NA","NA","NA","NA","1"
"04",27,"NA","NA","NA","NA","NA","1"
"04",28,"NA","NA","NA","NA","NA","1"
"04",99,"","","","","",""
"05",1,"NA","NA","NA","NA","NA","1"
"05",2,"NA","NA","NA","NA","NA","1"
"05",3,"3","0","0","3","0",""
"05",4,"8","0","0","5","3",""
"05",5,"7","0","0","4","3",""
"05",6,"21","0","0","8","13",""
"05",7,"17","0","0","8","9",""
"05",8,"5","0","0","3","2",""
"05",9,"NA","NA","NA","NA","NA","1"
"05",10,"NA","NA","NA","NA","NA","1"
"05",11,"NA","NA","NA","NA","NA","1"
"05",12,"9","0","0","8","1",""
"05",13,"NA","NA","NA","NA","NA","1"
"05",14,"NA","NA","NA","NA","NA","1"
"05",15,"NA","NA","NA","NA","NA","1"
"05",16,"NA","NA","NA","NA","NA","1"
"05",17,"NA","NA","NA","NA","NA","1"
"05",18,"NA","NA","NA","NA","NA","1"
"05",19,"5","5","0","0","0",""
"05",20,"NA","NA","NA","NA","NA","1"
"05",21,"NA","NA","NA","NA","NA","1"
"05",22,"NA","NA","NA","NA","NA","1"
"05",23,"1","1","0","0","0",""
"05",24,"8","6","2","0","0",""
"05",25,"4","4","0","0","0",""
"05",26,"NA","NA","NA","NA","NA","1"
"05",27,"NA","NA","NA","NA","NA","1"
"05",28,"NA","NA","NA","NA","NA","1"
"05",99,"","","","","",""
"06",1,"NA","NA","NA","NA","NA","1"
"06",2,"NA","NA","NA","NA","NA","1"
"06",3,"6","0","0","6","0",""
"06",4,"NA","NA","NA","NA","NA","1"
"06",5,"6","0","0","4","2",""
"06",6,"8","0","0","3","5",""
"06",7,"4","0","0","1","3",""
"06",8,"2","0","0","1","1",""
"06",9,"1","0","0","1","0",""
"06",10,"NA","NA","NA","NA","NA","1"
"06",11,"NA","NA","NA","NA","NA","1"
"06",12,"8","0","0","5","3",""
"06",13,"NA","NA","NA","NA","NA","1"
"06",14,"NA","NA","NA","NA","NA","1"
"06",15,"NA","NA","NA","NA","NA","1"
"06",16,"1","0","0","1","0",""
"06",17,"NA","NA","NA","NA","NA","1"
"06",18,"NA","NA","NA","NA","NA","1"
"06",19,"NA","NA","NA","NA","NA","1"
"06",20,"NA","NA","NA","NA","NA","1"
"06",21,"NA","NA","NA","NA","NA","1"
"06",22,"NA","NA","NA","NA","NA","1"
"06",23,"NA","NA","NA","NA","NA","1"
"06",24,"3","1","2","0","0",""
"06",25,"6","4","2","0","0",""
"06",26,"NA","NA","NA","NA","NA","1"
"06",27,"NA","NA","NA","NA","NA","1"
"06",28,"NSS","NSS","NSS","NSS","NSS",""
"06",99,"","","","","",""
"07",1,"84","0","0","62","22",""
"07",2,"NA","NA","NA","NA","NA","1"
"07",3,"NA","NA","NA","NA","NA","1"
"07",4,"21","0","0","13","8",""
"07",5,"14","0","0","11","3",""
"07",6,"14","0","0","12","2",""
"07",7,"8","0","0","1","7",""
"07",8,"1","0","0","1","0",""
"07",9,"2","0","0","0","2",""
"07",10,"16","0","0","16","0",""
"07",11,"NA","NA","NA","NA","NA","1"
"07",12,"8","0","0","5","3",""
"07",13,"NA","NA","NA","NA","NA","1"
"07",14,"4","0","0","3","1",""
"07",15,"NA","NA","NA","NA","NA","1"
"07",16,"NA","NA","NA","NA","NA","1"
"07",17,"NA","NA","NA","NA","NA","1"
"07",18,"9","9","0","0","0",""
"07",19,"8","7","1","0","0",""
"07",20,"NA","NA","NA","NA","NA","1"
"07",21,"NA","NA","NA","NA","NA","1"
"07",22,"NA","NA","NA","NA","NA","1"
"07",23,"3","2","1","0","0",""
"07",24,"6","6","0","0","0",""
"07",25,"NA","NA","NA","NA","NA","1"
"07",26,"NA","NA","NA","NA","NA","1"
"07",27,"NA","NA","NA","NA","NA","1"
"07",28,"4","3","1","0","0",""
"07",99,"","","","","",""
"08",1,"NA","NA","NA","NA","NA","1"
"08",2,"NA","NA","NA","NA","NA","1"
"08",3,"NA","NA","NA","NA","NA","1"
"08",4,"42","0","0","23","19",""
"08",5,"NA","NA","NA","NA","NA","1"
"08",6,"NA","NA","NA","NA","NA","1"
"08",7,"25","0","0","10","15",""
"08",8,"NA","NA","NA","NA","NA","1"
"08",9,"13","0","0","8","5",""
"08",10,"NA","NA","NA","NA","NA","1"
"08",11,"NA","NA","NA","NA","NA","1"
"08",12,"10","0","0","5","5",""
"08",13,"64","0","0","42","22",""
"08",14,"1","0","0","1","0",""
"08",15,"13","0","0","10","3",""
"08",16,"NA","NA","NA","NA","NA","1"
"08",17,"NA","NA","NA","NA","NA","1"
"08",18,"10","6","4","0","0",""
"08",19,"11","10","1","0","0",""
"08",20,"NA","NA","NA","NA","NA","1"
"08",21,"NA","NA","NA","NA","NA","1"
"08",22,"2","1","1","0","0",""
"08",23,"1","1","0","0","0",""
"08",24,"2","2","0","0","0",""
"08",25,"NA","NA","NA","NA","NA","1"
"08",26,"33","0","0","14","19",""
"08",27,"NA","NA","NA","NA","NA","1"
"08",28,"NSS","NSS","NSS","NSS","NSS",""
"08",99,"","","","","",""
"09",1,"27","0","0","16","11",""
"09",2,"8","0","0","7","1",""
"09",3,"NA","NA","NA","NA","NA","1"
"09",4,"91","0","0","56","35",""
"09",5,"66","0","0","41","25",""
"09",6,"100","0","0","70","30",""
"09",7,"51","0","0","29","22",""
"09",8,"NA","NA","NA","NA","NA","1"
"09",9,"10","0","0","5","5",""
"09",10,"NA","NA","NA","NA","NA","1"
"09",11,"NA","NA","NA","NA","NA","1"
"09",12,"NA","NA","NA","NA","NA","1"
"09",13,"0","0","0","0","0",""
"09",14,"NA","NA","NA","NA","NA","1"
"09",15,"4","0","0","2","2",""
"09",16,"15","0","0","7","8",""
"09",17,"0","0","0","0","0",""
"09",18,"26","11","14","1","0",""
"09",19,"27","18","9","0","0",""
"09",20,"NA","NA","NA","NA","NA","1"
"09",21,"NA","NA","NA","NA","NA","1"
"09",22,"13","7","5","0","1",""
"09",23,"6","3","3","0","0",""
"09",24,"NA","NA","NA","NA","NA","1"
"09",25,"NA","NA","NA","NA","NA","1"
"09",26,"0","0","0","0","0",""
"09",27,"NA","NA","NA","NA","NA","1"
"09",28,"0","0","0","0","0",""
"09",99,"","","","","",""
"10",1,"NA","NA","NA","NA","NA","1"
"10",2,"NA","NA","NA","NA","NA","1"
"10",3,"2","0","0","0","2",""
"10",4,"5","0","0","2","3",""
"10",5,"5","0","0","4","1",""
"10",6,"24","0","0","17","7",""
"10",7,"6","0","0","4","2",""
"10",8,"4","0","0","4","0",""
"10",9,"NA","NA","NA","NA","NA","1"
"10",10,"NA","NA","NA","NA","NA","1"
"10",11,"NA","NA","NA","NA","NA","1"
"10",12,"13","0","0","11","2",""
"10",13,"NA","NA","NA","NA","NA","1"
"10",14,"NA","NA","NA","NA","NA","1"
"10",15,"NA","NA","NA","NA","NA","1"
"10",16,"3","0","0","1","2",""
"10",17,"1","0","0","0","1",""
"10",18,"6","3","3","0","0",""
"10",19,"6","4","2","0","0",""
"10",20,"NA","NA","NA","NA","NA","1"
"10",21,"3","2","1","0","0",""
"10",22,"NA","NA","NA","NA","NA","1"
"10",23,"NA","NA","NA","NA","NA","1"
"10",24,"3","3","0","0","0",""
"10",25,"NA","NA","NA","NA","NA","1"
"10",26,"NA","NA","NA","NA","NA","1"
"10",27,"NA","NA","NA","NA","NA","1"
"10",28,"NA","NA","NA","NA","NA","1"
"10",99,"","","","","",""
"11",1,"23","0","0","10","13",""
"11",2,"2","0","0","1","1",""
"11",3,"46","0","0","20","26",""
"11",4,"58","0","0","22","36",""
"11",5,"24","0","0","10","14",""
"11",6,"48","0","0","23","25",""
"11",7,"36","0","0","16","20",""
"11",8,"6","0","0","3","3",""
"11",9,"8","0","0","2","6",""
"11",10,"NA","NA","NA","NA","NA","1"
"11",11,"NA","NA","NA","NA","NA","1"
"11",12,"NA","NA","NA","NA","NA","1"
"11",13,"NA","NA","NA","NA","NA","1"
"11",14,"10","0","0","4","6",""
"11",15,"NA","NA","NA","NA","NA","1"
"11",16,"NA","NA","NA","NA","NA","1"
"11",17,"NA","NA","NA","NA","NA","1"
"11",18,"10","5","5","0","0",""
"11",19,"10","9","1","0","0",""
"11",20,"NA","NA","NA","NA","NA","1"
"11",21,"NA","NA","NA","NA","NA","1"
"11",22,"NA","NA","NA","NA","NA","1"
"11",23,"2","0","0","1","1",""
"11",24,"NA","NA","NA","NA","NA","1"
"11",25,"NA","NA","NA","NA","NA","1"
"11",26,"NA","NA","NA","NA","NA","1"
"11",27,"NA","NA","NA","NA","NA","1"
"11",28,"0","0","0","0","0",""
"11",99,"","","","","",""
"12",1,"1","0","0","0","1",""
"12",2,"2","0","0","1","1",""
"12",3,"72","0","0","45","27",""
"12",4,"19","0","0","13","6",""
"12",5,"22","0","0","14","8",""
"12",6,"NA","NA","NA","NA","NA","1"
"12",7,"8","0","0","2","6",""
"12",8,"NA","NA","NA","NA","NA","1"
"12",9,"4","0","0","1","3",""
"12",10,"NA","NA","NA","NA","NA","1"
"12",11,"NA","NA","NA","NA","NA","1"
"12",12,"7","0","0","5","2",""
"12",13,"22","0","0","16","6",""
"12",14,"NA","NA","NA","NA","NA","1"
"12",15,"NA","NA","NA","NA","NA","1"
"12",16,"1","0","0","0","1",""
"12",17,"NA","NA","NA","NA","NA","1"
"12",18,"3","2","1","0","0",""
"12",19,"NA","NA","NA","NA","NA","1"
"12",20,"12","11","1","0","0",""
"12",21,"1","1","0","0","0",""
"12",22,"3","1","2","0","0",""
"12",23,"2","0","2","0","0",""
"12",24,"NA","NA","NA","NA","NA","1"
"12",25,"1","0","1","0","0",""
"12",26,"NA","NA","NA","NA","NA","1"
"12",27,"NA","NA","NA","NA","NA","1"
"12",28,"NA","NA","NA","NA","NA","1"
"12",99,"","","","","",""
"13",1,"NA","NA","NA","NA","NA","1"
"13",2,"NA","NA","NA","NA","NA","1"
