entidad,sexo_vac,totalca1
"01",1,"4"
"01",2,"3"
"01",3,"0"
"01",4,"7"
"01",9,""
"02",1,"13"
"02",2,"4"
"02",3,"0"
"02",4,"17"
"02",9,""
"03",1,"6"
"03",2,"1"
"03",3,"0"
"03",4,"7"
"03",9,""
"04",1,"8"
"04",2,"6"
"04",3,"0"
"04",4,"14"
"04",9,""
"05",1,"9"
"05",2,"3"
"05",3,"0"
"05",4,"12"
"05",9,""
"06",1,"6"
"06",2,"4"
"06",3,"0"
"06",4,"10"
"06",9,""
"07",1,"4"
"07",2,"1"
"07",3,"0"
"07",4,"5"
"07",9,""
"08",1,"21"
"08",2,"6"
"08",3,"0"
"08",4,"27"
"08",9,""
"09",1,"40"
"09",2,"31"
"09",3,"8"
"09",4,"79"
"09",9,""
"10",1,"12"
"10",2,"7"
"10",3,"0"
"10",4,"19"
"10",9,""
"11",1,"15"
"11",2,"6"
"11",3,"0"
"11",4,"21"
"11",9,""
"12",1,"16"
"12",2,"7"
"12",3,"1"
"12",4,"24"
"12",9,""
"13",1,"5"
"13",2,"8"
"13",3,"0"
"13",4,"13"
"13",9,""
"14",1,"30"
"14",2,"4"
"14",3,"0"
"14",4,"34"
"14",9,""
"15",1,"42"
"15",2,"14"
"15",3,"1"
"15",4,"57"
"15",9,""
"16",1,"14"
"16",2,"4"
"16",3,"1"
"16",4,"19"
"16",9,""
"17",1,"11"
"17",2,"7"
"17",3,"2"
"17",4,"20"
"17",9,""
"18",1,"14"
"18",2,"3"
"18",3,"0"
"18",4,"17"
"18",9,""
"19",1,"12"
"19",2,"3"
"19",3,"0"
"19",4,"15"
"19",9,""
"20",1,"21"
"20",2,"7"
"20",3,"0"
"20",4,"28"
"20",9,""
"21",1,"21"
"21",2,"4"
"21",3,"0"
"21",4,"25"
"21",9,""
"22",1,"7"
"22",2,"6"
"22",3,"0"
"22",4,"13"
"22",9,""
"23",1,"8"
"23",2,"4"
"23",3,"0"
"23",4,"12"
"23",9,""
"24",1,"7"
"24",2,"9"
"24",3,"0"
"24",4,"16"
"24",9,""
"25",1,"7"
"25",2,"4"
"25",3,"0"
"25",4,"11"
"25",9,""
"26",1,"4"
"26",2,"3"
"26",3,"0"
"26",4,"7"
"26",9,""
"27",1,"14"
"27",2,"6"
"27",3,"0"
"27",4,"20"
"27",9,""
"28",1,"11"
"28",2,"3"
"28",3,"0"
"28",4,"14"
"28",9,""
"29",1,"4"
"29",2,"4"
"29",3,"0"
"29",4,"8"
"29",9,""
"30",1,"9"
"30",2,"1"
"30",3,"0"
"30",4,"10"
"30",9,""
"31",1,"6"
"31",2,"5"
"31",3,"0"
"31",4,"11"
"31",9,""
"32",1,"7"
"32",2,"6"
"32",3,"0"
"32",4,"13"
"32",9,""
