entidad,delicoan,totalca1
"01",1,"NA"
"01",2,"NA"
"01",3,"NA"
"01",9,""
"02",1,"15108"
"02",2,"0"
"02",3,"15108"
"02",9,""
"03",1,"NA"
"03",2,"NA"
"03",3,"NA"
"03",9,""
"04",1,"0"
"04",2,"0"
"04",3,"0"
"04",9,""
"05",1,"831"
"05",2,"0"
"05",3,"831"
"05",9,""
"06",1,"NA"
"06",2,"NA"
"06",3,"NA"
"06",9,""
"07",1,"NA"
"07",2,"NA"
"07",3,"NA"
"07",9,""
"08",1,"3153"
"08",2,"0"
"08",3,"3153"
"08",9,""
"09",1,"NA"
"09",2,"NA"
"09",3,"NA"
"09",9,""
"10",1,"NSS"
"10",2,"NSS"
"10",3,"NSS"
"10",9,""
"11",1,"19338"
"11",2,"NA"
"11",3,"19338"
"11",9,""
"12",1,"NA"
"12",2,"NA"
"12",3,"NA"
"12",9,""
"13",1,"2306"
"13",2,"41"
"13",3,"2347"
"13",9,""
"14",1,"145"
"14",2,"0"
"14",3,"145"
"14",9,""
"15",1,"NA"
"15",2,"NA"
"15",3,"NA"
"15",9,""
"16",1,"611"
"16",2,"0"
"16",3,"611"
"16",9,""
"17",1,"1481"
"17",2,"0"
"17",3,"1481"
"17",9,""
"18",1,"562"
"18",2,"0"
"18",3,"562"
"18",9,""
"19",1,"4174"
"19",2,"71"
"19",3,"4245"
"19",9,""
"20",1,"197"
"20",2,"25"
"20",3,"222"
"20",9,""
"21",1,"4288"
"21",2,"0"
"21",3,"4288"
"21",9,""
"22",1,"NA"
"22",2,"NA"
"22",3,"NA"
"22",9,""
"23",1,"398"
"23",2,"33"
"23",3,"431"
"23",9,""
"24",1,"626"
"24",2,"36"
"24",3,"662"
"24",9,""
"25",1,"1123"
"25",2,"15"
"25",3,"1138"
"25",9,""
"26",1,"NSS"
"26",2,"NSS"
"26",3,"NSS"
"26",9,""
"27",1,"NSS"
"27",2,"0"
"27",3,"NSS"
"27",9,""
"28",1,"NSS"
"28",2,"NSS"
"28",3,"NSS"
"28",9,""
"29",1,"NA"
"29",2,"NA"
"29",3,"NA"
"29",9,""
"30",1,"NA"
"30",2,"NA"
"30",3,"NA"
"30",9,""
"31",1,"525"
"31",2,"10"
"31",3,"535"
"31",9,""
"32",1,"NA"
"32",2,"NA"
"32",3,"NA"
"32",9,""
