entidad,tip_mate,sijusatt,sijusa1,sijusa2,sijusa3,sijusa4,sijusa5,sijusa6,no_aplic
"01",1,"1","1","0","0","0","0","0",""
"01",2,"1","1","0","0","0","0","0",""
"01",3,"NA","NA","NA","NA","NA","NA","NA","1"
"01",4,"NA","NA","NA","NA","NA","NA","NA","1"
"01",5,"1","1","0","0","0","0","0",""
"01",6,"NA","NA","NA","NA","NA","NA","NA","1"
"01",7,"1","1","0","0","0","0","0",""
"02",1,"NA","NA","NA","NA","NA","NA","NA","1"
"02",2,"3","0","0","0","0","0","3",""
"02",3,"NA","NA","NA","NA","NA","NA","NA","1"
"02",4,"5","0","0","0","0","5","0",""
"02",5,"4","0","0","0","0","3","1",""
"02",6,"NA","NA","NA","NA","NA","NA","NA","1"
"02",7,"NA","NA","NA","NA","NA","NA","NA","1"
"03",1,"5","5","0","0","0","0","0",""
"03",2,"5","5","0","0","0","0","0",""
"03",3,"5","5","0","0","0","0","0",""
"03",4,"5","5","0","0","0","0","0",""
"03",5,"NA","NA","NA","NA","NA","NA","NA","1"
"03",6,"NA","NA","NA","NA","NA","NA","NA","1"
"03",7,"NA","NA","NA","NA","NA","NA","NA","1"
"04",1,"5","4","1","0","0","0","0",""
"04",2,"1","0","0","0","0","0","1",""
"04",3,"5","4","0","0","0","0","1",""
"04",4,"5","4","0","0","0","0","1",""
"04",5,"NA","NA","NA","NA","NA","NA","NA","1"
"04",6,"NA","NA","NA","NA","NA","NA","NA","1"
"04",7,"NA","NA","NA","NA","NA","NA","NA","1"
"05",1,"NA","NA","NA","NA","NA","NA","NA","1"
"05",2,"NA","NA","NA","NA","NA","NA","NA","1"
"05",3,"NA","NA","NA","NA","NA","NA","NA","1"
"05",4,"NA","NA","NA","NA","NA","NA","NA","1"
"05",5,"NA","NA","NA","NA","NA","NA","NA","1"
"05",6,"NA","NA","NA","NA","NA","NA","NA","1"
"05",7,"11","0","0","0","0","9","2",""
"06",1,"8","7","1","0","0","0","0",""
"06",2,"NSS","NSS","NSS","0","0","0","0",""
"06",3,"1","0","0","0","0","0","1",""
"06",4,"NSS","NSS","NSS","0","0","0","0",""
"06",5,"NSS","NSS","NSS","0","0","0","0",""
"06",6,"NA","NA","NA","NA","NA","NA","NA","1"
"06",7,"NA","NA","NA","NA","NA","NA","NA","1"
"07",1,"10","8","2","0","0","0","0",""
"07",2,"10","8","0","0","0","0","2",""
