entidad,medcaute,totalca1
"01",1,"85"
"01",2,"0"
"01",3,"85"
"01",9,""
"02",1,"NSS"
"02",2,"NSS"
"02",3,"NSS"
"02",9,""
"03",1,"640"
"03",2,"NSS"
"03",3,"640"
"03",9,""
"04",1,"337"
"04",2,"10"
"04",3,"347"
"04",9,""
"05",1,"727"
"05",2,"0"
"05",3,"727"
"05",9,""
"06",1,"307"
"06",2,"0"
"06",3,"307"
"06",9,""
"07",1,"NSS"
"07",2,"NSS"
"07",3,"NSS"
"07",9,""
"08",1,"NSS"
"08",2,"NSS"
"08",3,"NSS"
"08",9,""
"09",1,"NSS"
"09",2,"NSS"
"09",3,"NSS"
"09",9,""
"10",1,"6088"
"10",2,"30"
"10",3,"6118"
"10",9,""
"11",1,"2287"
"11",2,"96"
"11",3,"2383"
"11",9,""
"12",1,"294"
"12",2,"116"
"12",3,"410"
"12",9,""
"13",1,"485"
"13",2,"5"
"13",3,"490"
"13",9,""
"14",1,"2543"
"14",2,"36"
"14",3,"2579"
"14",9,""
"15",1,"2025"
"15",2,"0"
"15",3,"2025"
"15",9,""
"16",1,"376"
"16",2,"12"
"16",3,"388"
"16",9,""
"17",1,"1190"
"17",2,"51"
"17",3,"1241"
"17",9,""
"18",1,"1373"
"18",2,"NSS"
"18",3,"1373"
"18",9,""
"19",1,"2390"
"19",2,"0"
"19",3,"2390"
"19",9,""
"20",1,"365"
"20",2,"3113"
"20",3,"3478"
"20",9,""
"21",1,"601"
"21",2,"31"
"21",3,"632"
"21",9,""
"22",1,"314"
"22",2,"0"
"22",3,"314"
"22",9,""
"23",1,"267"
"23",2,"9"
"23",3,"276"
"23",9,""
"24",1,"172"
"24",2,"10"
"24",3,"182"
"24",9,""
"25",1,"4977"
"25",2,"0"
"25",3,"4977"
"25",9,""
"26",1,"NSS"
"26",2,"NSS"
"26",3,"NSS"
"26",9,""
"27",1,"141"
"27",2,"15"
"27",3,"156"
"27",9,""
"28",1,"NSS"
"28",2,"NSS"
"28",3,"NSS"
"28",9,""
"29",1,"46"
"29",2,"5"
"29",3,"51"
"29",9,""
"30",1,"NSS"
"30",2,"NSS"
"30",3,"NSS"
"30",9,""
"31",1,"346"
"31",2,"15"
"31",3,"361"
"31",9,""
"32",1,"67"
"32",2,"NSS"
"32",3,"67"
"32",9,""
