entidad,sexoidtt,sexoid1,sexoid2,sexoid3
"01","NSS","NSS","NSS","NSS"
"02","NSS","NSS","NSS","NSS"
"03","646","584","62","0"
"04","NSS","NSS","NSS","NSS"
"05","1067","969","98","0"
"06","NSS","NSS","NSS","NSS"
"07","NSS","NSS","NSS","NSS"
"08","2573","2409","164","NSS"
"09","4344","NSS","NSS","4344"
"10","3678","3597","81","0"
"12","79","69","10","0"
"13","1090","948","131","11"
"14","NSS","NSS","NSS","NSS"
"15","NSS","NSS","NSS","NSS"
"16","NSS","NSS","NSS","NSS"
"17","2102","1797","305","0"
"18","NSS","NSS","NSS","NSS"
"19","NSS","NSS","NSS","NSS"
"20","NSS","NSS","NSS","NSS"
"21","NSS","NSS","NSS","NSS"
"22","792","717","75","0"
"23","NSS","NSS","NSS","NSS"
"24","NSS","NSS","NSS","NSS"
"25","976","943","33","0"
"26","1314","1253","61","0"
"27","597","520","54","23"
"28","172","158","11","3"
"29","138","129","9","0"
"30","NSS","NSS","NSS","NSS"
"31","1723","NSS","NSS","1723"
"32","NSS","NSS","NSS","NSS"
