entidad,sexoidtt,sexoid1,sexoid2,sexoid3
"01","85","70","15","0"
"02","NSS","NSS","NSS","NSS"
"03","640","569","71","0"
"04","591","529","35","27"
"05","727","651","76","0"
"06","307","278","29","0"
"07","NSS","NSS","NSS","NSS"
"08","NSS","NSS","NSS","NSS"
"09","NSS","NSS","NSS","NSS"
"10","6088","5532","556","0"
"11","2721","2466","255","0"
"12","376","341","35","0"
"13","485","427","58","0"
"14","2543","2228","315","0"
"15","2017","1768","245","4"
"16","508","487","21","0"
"17","1727","1436","291","0"
"18","2473","821","60","1592"
"19","2958","2618","316","24"
"20","NSS","NSS","NSS","NSS"
"21","601","567","34","0"
"22","459","408","51","0"
"23","336","333","3","0"
"24","189","182","7","0"
"25","4977","4573","404","0"
"26","NSS","NSS","NSS","NSS"
"27","141","109","11","21"
"28","NSS","NSS","NSS","NSS"
"29","46","42","4","0"
"30","NSS","NSS","NSS","NSS"
"31","NSS","NSS","NSS","NSS"
"32","NSS","NSS","NSS","NSS"
