entidad,medidaca,sexoidtt,sexoid1,sexoid2,sexoid3
"01",1,"45","40","5","0"
"01",2,"15","12","3","0"
"01",3,"0","0","0","0"
"01",4,"11","9","2","0"
"01",5,"5","4","1","0"
"01",6,"9","5","4","0"
"01",9,"","","",""
"02",1,"NSS","NSS","NSS","NSS"
"02",2,"NSS","NSS","NSS","NSS"
"02",3,"NSS","NSS","NSS","NSS"
"02",4,"NSS","NSS","NSS","NSS"
"02",5,"NSS","NSS","NSS","NSS"
"02",6,"NSS","NSS","NSS","NSS"
"02",9,"","","",""
"03",1,"2","1","1","0"
"03",2,"6","6","0","0"
"03",3,"1","1","0","0"
"03",4,"189","166","23","0"
"03",5,"3","2","1","0"
"03",6,"439","393","46","0"
"03",9,"","","",""
"04",1,"NSS","NSS","NSS","NSS"
"04",2,"NSS","NSS","NSS","NSS"
"04",3,"NSS","NSS","NSS","NSS"
"04",4,"NSS","NSS","NSS","NSS"
"04",5,"NSS","NSS","NSS","NSS"
"04",6,"NSS","NSS","NSS","NSS"
"04",9,"591","529","35","27"
"05",1,"302","281","21","0"
"05",2,"6","6","0","0"
"05",3,"0","0","0","0"
"05",4,"19","16","3","0"
"05",5,"0","0","0","0"
"05",6,"400","348","52","0"
"05",9,"","","",""
"06",1,"210","NSS","NSS","0"
"06",2,"15","NSS","NSS","0"
"06",3,"2","NSS","NSS","0"
"06",4,"NSS","NSS","NSS","0"
"06",5,"NSS","NSS","NSS","0"
"06",6,"80","NSS","NSS","0"
"06",9,"","278","29",""
"07",1,"NSS","NSS","NSS","NSS"
"07",2,"NSS","NSS","NSS","NSS"
"07",3,"NSS","NSS","NSS","NSS"
"07",4,"NSS","NSS","NSS","NSS"
"07",5,"NSS","NSS","NSS","NSS"
"07",6,"NSS","NSS","NSS","NSS"
"07",9,"","","",""
"08",1,"NSS","NSS","NSS","NSS"
"08",2,"NSS","NSS","NSS","NSS"
"08",3,"NSS","NSS","NSS","NSS"
"08",4,"NSS","NSS","NSS","NSS"
"08",5,"NSS","NSS","NSS","NSS"
"08",6,"NSS","NSS","NSS","NSS"
"08",9,"","","",""
"09",1,"NSS","NSS","NSS","NSS"
"09",2,"NSS","NSS","NSS","NSS"
"09",3,"NSS","NSS","NSS","NSS"
"09",4,"NSS","NSS","NSS","NSS"
"09",5,"NSS","NSS","NSS","NSS"
"09",6,"NSS","NSS","NSS","NSS"
"09",9,"","","",""
"10",1,"2848","2727","121","0"
"10",2,"1696","1456","240","0"
"10",3,"1","1","0","0"
"10",4,"1062","919","143","0"
"10",5,"6","6","0","0"
"10",6,"475","423","52","0"
"10",9,"","","",""
"11",1,"602","565","37","0"
"11",2,"245","209","36","0"
"11",3,"2","2","0","0"
"11",4,"169","135","34","0"
"11",5,"438","378","60","0"
"11",6,"1265","1177","88","0"
"11",9,"","","",""
"12",1,"96","92","4","0"
"12",2,"106","98","8","0"
"12",3,"0","0","0","0"
"12",4,"14","12","2","0"
"12",5,"47","38","9","0"
"12",6,"113","101","12","0"
"12",9,"","","",""
"13",1,"236","207","29","0"
"13",2,"42","33","9","0"
"13",3,"0","0","0","0"
"13",4,"19","15","4","0"
"13",5,"4","4","0","0"
"13",6,"184","168","16","0"
"13",9,"","","",""
"14",1,"806","644","162","0"
"14",2,"332","314","18","0"
"14",3,"205","179","26","0"
"14",4,"358","347","11","0"
"14",5,"75","63","12","0"
"14",6,"767","681","86","0"
"14",9,"","","",""
"15",1,"1220","1153","67","0"
"15",2,"176","145","31","0"
"15",3,"0","0","0","0"
"15",4,"2","2","0","0"
"15",5,"0","0","0","0"
"15",6,"619","468","147","4"
"15",9,"","","",""
"16",1,"235","227","8","0"
"16",2,"44","41","3","0"
"16",3,"0","0","0","0"
"16",4,"65","59","6","0"
"16",5,"26","26","0","0"
"16",6,"138","134","4","0"
"16",9,"","","",""
"17",1,"NSS","NSS","NSS","0"
"17",2,"NSS","NSS","NSS","0"
"17",3,"NSS","NSS","NSS","0"
"17",4,"NSS","NSS","NSS","0"
"17",5,"NSS","NSS","NSS","0"
"17",6,"NSS","NSS","NSS","0"
"17",9,"1727","1436","291",""
"18",1,"NSS","NSS","NSS","NSS"
"18",2,"NSS","NSS","NSS","NSS"
"18",3,"NSS","NSS","NSS","NSS"
"18",4,"NSS","NSS","NSS","NSS"
"18",5,"NSS","NSS","NSS","NSS"
"18",6,"NSS","NSS","NSS","NSS"
"18",9,"2473","821","60","1592"
"19",1,"510","453","39","18"
"19",2,"32","29","3","0"
"19",3,"0","0","0","0"
"19",4,"1418","1253","163","2"
"19",5,"220","199","21","0"
"19",6,"778","684","90","4"
"19",9,"","","",""
"20",1,"NSS","NSS","NSS","NSS"
"20",2,"0","0","0","0"
"20",3,"0","0","0","0"
"20",4,"0","0","0","0"
"20",5,"0","0","0","0"
"20",6,"0","0","0","0"
"20",9,"","","",""
"21",1,"230","NSS","NSS","230"
"21",2,"246","NSS","NSS","246"
"21",3,"0","0","0","0"
"21",4,"121","NSS","NSS","121"
"21",5,"4","NSS","NSS","4"
"21",6,"0","0","0","0"
"21",9,"","","",""
"22",1,"238","218","20","0"
"22",2,"58","55","3","0"
"22",3,"0","0","0","0"
"22",4,"2","2","0","0"
"22",5,"54","44","10","0"
"22",6,"107","89","18","0"
"22",9,"","","",""
"23",1,"217","214","3","0"
"23",2,"18","18","0","0"
"23",3,"0","0","0","0"
"23",4,"8","8","0","0"
"23",5,"2","2","0","0"
"23",6,"91","91","0","0"
"23",9,"","","",""
"24",1,"123","119","4","0"
"24",2,"1","1","0","0"
"24",3,"0","0","0","0"
"24",4,"4","3","1","0"
"24",5,"0","0","0","0"
"24",6,"61","59","2","0"
"24",9,"","","",""
"25",1,"313","303","10","0"
"25",2,"36","31","5","0"
"25",3,"0","0","0","0"
"25",4,"415","367","48","0"
"25",5,"837","770","67","0"
"25",6,"3376","3102","274","0"
"25",9,"","","",""
"26",1,"NSS","NSS","NSS","NSS"
"26",2,"NSS","NSS","NSS","NSS"
"26",3,"NSS","NSS","NSS","NSS"
"26",4,"NSS","NSS","NSS","NSS"
"26",5,"NSS","NSS","NSS","NSS"
"26",6,"NSS","NSS","NSS","NSS"
"26",9,"","","",""
"27",1,"90","87","3","0"
"27",2,"9","9","0","0"
"27",3,"0","0","0","0"
"27",4,"1","1","0","0"
"27",5,"0","0","0","0"
"27",6,"41","12","8","21"
"27",9,"","","",""
"28",1,"NSS","NSS","NSS","NSS"
"28",2,"NSS","NSS","NSS","NSS"
"28",3,"NSS","NSS","NSS","NSS"
"28",4,"NSS","NSS","NSS","NSS"
"28",5,"NSS","NSS","NSS","NSS"
"28",6,"NSS","NSS","NSS","NSS"
"28",9,"","","",""
"29",1,"10","10","0","0"
"29",2,"1","1","0","0"
"29",3,"0","0","0","0"
"29",4,"0","0","0","0"
"29",5,"0","0","0","0"
"29",6,"35","31","4","0"
"29",9,"","","",""
"30",1,"NSS","NSS","NSS","NSS"
"30",2,"NSS","NSS","NSS","NSS"
"30",3,"NSS","NSS","NSS","NSS"
"30",4,"NSS","NSS","NSS","NSS"
"30",5,"NSS","NSS","NSS","NSS"
"30",6,"NSS","NSS","NSS","NSS"
"30",9,"","","",""
"31",1,"NSS","NSS","NSS","NSS"
"31",2,"NSS","NSS","NSS","NSS"
"31",3,"NSS","NSS","NSS","NSS"
"31",4,"NSS","NSS","NSS","NSS"
"31",5,"NSS","NSS","NSS","NSS"
"31",6,"NSS","NSS","NSS","NSS"
"31",9,"","","",""
"32",1,"NSS","NSS","NSS","NSS"
"32",2,"NSS","NSS","NSS","NSS"
"32",3,"NSS","NSS","NSS","NSS"
"32",4,"NSS","NSS","NSS","NSS"
"32",5,"NSS","NSS","NSS","NSS"
"32",6,"NSS","NSS","NSS","NSS"
"32",9,"","","",""
