entidad,medidaca,totalca1
"01",1,"45"
"01",2,"15"
"01",3,"0"
"01",4,"11"
"01",5,"5"
"01",6,"9"
"02",1,"NSS"
"02",2,"NSS"
"02",3,"NSS"
"02",4,"NSS"
"02",5,"NSS"
"02",6,"NSS"
"03",1,"2"
"03",2,"6"
"03",3,"1"
"03",4,"189"
"03",5,"3"
"03",6,"439"
"04",1,"79"
"04",2,"42"
"04",3,"0"
"04",4,"13"
"04",5,"0"
"04",6,"203"
"05",1,"329"
"05",2,"47"
"05",3,"0"
"05",4,"18"
"05",5,"16"
"05",6,"317"
"06",1,"210"
"06",2,"15"
"06",3,"2"
"06",4,"0"
"06",5,"0"
"06",6,"80"
"07",1,"NSS"
"07",2,"NSS"
"07",3,"NSS"
"07",4,"NSS"
"07",5,"NSS"
"07",6,"NSS"
"08",1,"NSS"
"08",2,"NSS"
"08",3,"NSS"
"08",4,"NSS"
"08",5,"NSS"
"08",6,"NSS"
"09",1,"NSS"
"09",2,"NSS"
"09",3,"NSS"
"09",4,"NSS"
"09",5,"NSS"
"09",6,"NSS"
"10",1,"2848"
"10",2,"1696"
"10",3,"1"
"10",4,"1062"
"10",5,"6"
"10",6,"475"
"11",1,"573"
"11",2,"211"
"11",3,"2"
"11",4,"84"
"11",5,"390"
"11",6,"1027"
"12",1,"71"
"12",2,"107"
"12",3,"0"
"12",4,"12"
"12",5,"48"
"12",6,"56"
"13",1,"217"
"13",2,"31"
"13",3,"0"
"13",4,"22"
"13",5,"1"
"13",6,"214"
"14",1,"1058"
"14",2,"521"
"14",3,"1"
"14",4,"456"
"14",5,"22"
"14",6,"485"
"15",1,"1220"
"15",2,"176"
"15",3,"0"
"15",4,"2"
"15",5,"0"
"15",6,"627"
"16",1,"209"
"16",2,"16"
"16",3,"0"
"16",4,"47"
"16",5,"7"
"16",6,"97"
"17",1,"469"
"17",2,"130"
"17",3,"5"
"17",4,"191"
"17",5,"2"
"17",6,"393"
"18",1,"140"
"18",2,"498"
"18",3,"79"
"18",4,"8"
"18",5,"6"
"18",6,"642"
"19",1,"375"
"19",2,"24"
"19",3,"0"
"19",4,"1233"
"19",5,"157"
"19",6,"601"
"20",1,"365"
"20",2,"0"
"20",3,"0"
"20",4,"0"
"20",5,"0"
"20",6,"0"
"21",1,"230"
"21",2,"246"
"21",3,"0"
"21",4,"121"
"21",5,"4"
"21",6,"0"
"22",1,"218"
"22",2,"8"
"22",3,"0"
"22",4,"2"
"22",5,"35"
"22",6,"51"
"23",1,"173"
"23",2,"24"
"23",3,"0"
"23",4,"2"
"23",5,"17"
"23",6,"51"
"24",1,"117"
"24",2,"1"
"24",3,"0"
"24",4,"4"
"24",5,"1"
"24",6,"49"
"25",1,"313"
"25",2,"36"
"25",3,"0"
"25",4,"415"
"25",5,"837"
"25",6,"3376"
"26",1,"NSS"
"26",2,"NSS"
"26",3,"NSS"
"26",4,"NSS"
"26",5,"NSS"
"26",6,"NSS"
"27",1,"90"
"27",2,"9"
"27",3,"0"
"27",4,"1"
"27",5,"0"
"27",6,"41"
"28",1,"NSS"
"28",2,"NSS"
"28",3,"NSS"
"28",4,"NSS"
"28",5,"NSS"
"28",6,"NSS"
"29",1,"8"
"29",2,"6"
"29",3,"0"
"29",4,"0"
"29",5,"0"
"29",6,"32"
"30",1,"NSS"
"30",2,"NSS"
"30",3,"NSS"
"30",4,"NSS"
"30",5,"NSS"
"30",6,"NSS"
"31",1,"NSS"
"31",2,"NSS"
"31",3,"NSS"
"31",4,"NSS"
"31",5,"NSS"
"31",6,"NSS"
"31",9,"346"
"32",1,"32"
"32",2,"3"
"32",3,"0"
"32",4,"5"
"32",5,"2"
"32",6,"25"
