entidad,modalcur,totalca1,no_reali
"01",1,"NA","1"
"01",2,"NA","1"
"01",3,"2",""
"01",4,"9",""
"01",5,"7",""
"01",6,"NA","1"
"02",1,"NA","1"
"02",2,"NA","1"
"02",3,"NA","1"
"02",4,"9",""
"02",5,"1",""
"02",6,"NA","1"
"03",1,"NA","1"
"03",2,"NA","1"
"03",3,"NA","1"
"03",4,"22",""
"03",5,"9",""
"03",6,"11",""
"04",1,"NA","1"
"04",2,"NA","1"
"04",3,"NA","1"
"04",4,"27",""
"04",5,"6",""
"04",6,"13",""
"05",1,"NA","1"
"05",2,"NA","1"
"05",3,"NA","1"
"05",4,"9",""
"05",5,"NA","1"
"05",6,"NA","1"
"06",1,"NA","1"
"06",2,"NA","1"
"06",3,"NA","1"
"06",4,"4",""
"06",5,"1",""
"06",6,"NA","1"
"07",1,"NA","1"
"07",2,"NA","1"
"07",3,"NA","1"
"07",4,"1",""
"07",5,"1",""
"07",6,"3",""
"08",1,"2",""
"08",2,"2",""
"08",3,"2",""
"08",4,"8",""
"08",5,"4",""
"08",6,"4",""
"09",1,"NA","1"
"09",2,"NA","1"
"09",3,"1",""
"09",4,"17",""
"09",5,"8",""
"09",6,"NA","1"
"10",1,"NA","1"
"10",2,"NA","1"
"10",3,"NA","1"
"10",4,"1",""
"10",5,"NA","1"
"10",6,"4",""
"11",1,"NA","1"
"11",2,"1",""
"11",3,"NA","1"
"11",4,"23",""
"11",5,"6",""
"11",6,"3",""
"12",1,"NA","1"
"12",2,"NA","1"
"12",3,"2",""
"12",4,"22",""
"12",5,"9",""
"12",6,"11",""
"13",1,"NA","1"
"13",2,"NA","1"
"13",3,"NA","1"
"13",4,"NA","1"
"13",5,"NA","1"
"13",6,"1",""
"14",1,"NA","1"
"14",2,"NA","1"
"14",3,"NA","1"
"14",4,"NA","1"
"14",5,"NA","1"
"14",6,"NA","1"
"15",1,"2",""
"15",2,"3",""
"15",3,"2",""
"15",4,"21",""
"15",5,"NA","1"
"15",6,"2",""
"16",1,"NA","1"
"16",2,"NA","1"
"16",3,"NA","1"
"16",4,"1",""
"16",5,"NA","1"
"16",6,"NA","1"
"17",1,"NA","1"
"17",2,"NA","1"
"17",3,"NA","1"
"17",4,"NA","1"
"17",5,"NA","1"
"17",6,"NA","1"
"18",1,"NA","1"
"18",2,"NA","1"
"18",3,"1",""
"18",4,"11",""
"18",5,"6",""
"18",6,"5",""
"19",1,"NA","1"
"19",2,"NA","1"
"19",3,"NA","1"
"19",4,"NA","1"
"19",5,"NA","1"
"19",6,"NA","1"
"20",1,"NA","1"
"20",2,"NA","1"
"20",3,"NA","1"
"20",4,"5",""
"20",5,"14",""
"20",6,"3",""
"21",1,"NA","1"
"21",2,"NA","1"
"21",3,"NA","1"
"21",4,"20",""
"21",5,"8",""
"21",6,"NA","1"
"22",1,"NA","1"
"22",2,"NA","1"
"22",3,"NA","1"
"22",4,"NA","1"
"22",5,"NA","1"
"22",6,"NA","1"
"23",1,"NA","1"
"23",2,"NA","1"
"23",3,"NA","1"
"23",4,"NA","1"
"23",5,"NA","1"
"23",6,"NA","1"
"24",1,"NA","1"
"24",2,"NA","1"
"24",3,"NA","1"
"24",4,"2",""
"24",5,"NA","1"
"24",6,"NA","1"
"25",1,"NA","1"
"25",2,"NA","1"
"25",3,"1",""
"25",4,"NA","1"
"25",5,"6",""
"25",6,"26",""
"26",1,"NSS",""
"26",2,"NSS",""
"26",3,"NSS",""
"26",4,"NSS",""
"26",5,"NSS",""
"26",6,"NSS",""
"27",1,"NA","1"
"27",2,"NA","1"
"27",3,"NA","1"
"27",4,"NA","1"
"27",5,"NA","1"
"27",6,"NA","1"
"28",1,"NA","1"
"28",2,"1",""
"28",3,"3",""
"28",4,"13",""
"28",5,"4",""
"28",6,"1",""
"29",1,"NA","1"
"29",2,"NA","1"
"29",3,"1",""
"29",4,"8",""
"29",5,"10",""
"29",6,"9",""
"30",1,"NA","1"
"30",2,"NA","1"
"30",3,"2",""
"30",4,"8",""
"30",5,"1",""
"30",6,"24",""
"31",1,"NA","1"
"31",2,"NA","1"
"31",3,"NA","1"
"31",4,"2",""
"31",5,"NA","1"
"31",6,"2",""
"32",1,"NA","1"
"32",2,"NA","1"
"32",3,"NA","1"
"32",4,"NA","1"
"32",5,"NA","1"
"32",6,"NA","1"
