entidad,modalcur,totalca1,no_reali
"01",1,"NA","1"
"01",2,"NA","1"
"01",3,"12",""
"01",4,"27",""
"01",5,"32",""
"01",6,"NA","1"
"02",1,"NA","1"
"02",2,"NA","1"
"02",3,"2",""
"02",4,"34",""
"02",5,"1",""
"02",6,"16",""
"03",1,"NA","1"
"03",2,"NA","1"
"03",3,"NA","1"
"03",4,"22",""
"03",5,"9",""
"03",6,"11",""
"04",1,"NA","1"
"04",2,"NA","1"
"04",3,"NA","1"
"04",4,"27",""
"04",5,"6",""
"04",6,"13",""
"05",1,"NA","1"
"05",2,"NA","1"
"05",3,"1",""
"05",4,"26",""
"05",5,"NA","1"
"05",6,"NA","1"
"06",1,"NA","1"
"06",2,"NA","1"
"06",3,"NA","1"
"06",4,"4",""
"06",5,"NA","1"
"06",6,"14",""
"07",1,"NA","1"
"07",2,"NA","1"
"07",3,"2",""
"07",4,"5",""
"07",5,"4",""
"07",6,"5",""
"08",1,"2",""
"08",2,"2",""
"08",3,"9",""
"08",4,"16",""
"08",5,"4",""
"08",6,"4",""
"09",1,"NA","1"
"09",2,"NA","1"
"09",3,"2",""
"09",4,"35",""
"09",5,"13",""
"09",6,"4",""
"10",1,"NA","1"
"10",2,"NA","1"
"10",3,"NA","1"
"10",4,"1",""
"10",5,"NA","1"
"10",6,"4",""
"11",1,"NA","1"
"11",2,"1",""
"11",3,"NA","1"
"11",4,"86",""
"11",5,"20",""
"11",6,"9",""
"12",1,"NA","1"
"12",2,"NA","1"
"12",3,"2",""
"12",4,"22",""
"12",5,"9",""
"12",6,"11",""
"13",1,"NA","1"
"13",2,"2",""
"13",3,"NA","1"
"13",4,"2",""
"13",5,"4",""
"13",6,"1",""
"14",1,"NA","1"
"14",2,"NA","1"
"14",3,"NA","1"
"14",4,"NA","1"
"14",5,"NA","1"
"14",6,"NA","1"
"15",1,"2",""
"15",2,"3",""
"15",3,"NA","1"
"15",4,"26",""
"15",5,"22",""
"15",6,"1",""
"16",1,"NA","1"
"16",2,"NA","1"
"16",3,"1",""
"16",4,"21",""
"16",5,"14",""
"16",6,"16",""
"17",1,"NA","1"
"17",2,"NA","1"
"17",3,"NA","1"
"17",4,"NA","1"
"17",5,"NA","1"
"17",6,"NA","1"
"18",1,"NA","1"
"18",2,"NA","1"
"18",3,"1",""
"18",4,"11",""
"18",5,"6",""
"18",6,"5",""
"19",1,"NA","1"
"19",2,"NA","1"
"19",3,"NA","1"
"19",4,"169",""
"19",5,"10",""
"19",6,"11",""
"20",1,"NA","1"
"20",2,"NA","1"
"20",3,"NA","1"
"20",4,"7",""
"20",5,"15",""
"20",6,"5",""
"21",1,"NA","1"
"21",2,"1",""
"21",3,"3",""
"21",4,"20",""
"21",5,"8",""
"21",6,"3",""
"22",1,"NA","1"
"22",2,"1",""
"22",3,"NA","1"
"22",4,"12",""
"22",5,"6",""
"22",6,"1",""
"23",1,"NA","1"
"23",2,"NA","1"
"23",3,"NA","1"
"23",4,"NA","1"
"23",5,"NA","1"
"23",6,"NA","1"
"24",1,"NA","1"
"24",2,"NA","1"
"24",3,"NA","1"
"24",4,"3",""
"24",5,"3",""
"24",6,"NA","1"
"25",1,"NA","1"
"25",2,"NA","1"
"25",3,"2",""
"25",4,"16",""
"25",5,"9",""
"25",6,"29",""
"26",1,"0",""
"26",2,"5",""
"26",3,"0",""
"26",4,"13",""
"26",5,"30",""
"26",6,"1",""
"27",1,"NA","1"
"27",2,"1",""
"27",3,"NA","1"
"27",4,"2",""
"27",5,"3",""
"27",6,"NA","1"
"28",1,"NA","1"
"28",2,"1",""
"28",3,"3",""
"28",4,"13",""
"28",5,"4",""
"28",6,"1",""
"29",1,"NA","1"
"29",2,"NA","1"
"29",3,"1",""
"29",4,"8",""
"29",5,"10",""
"29",6,"9",""
"30",1,"NA","1"
"30",2,"NA","1"
"30",3,"2",""
"30",4,"16",""
"30",5,"2",""
"30",6,"32",""
"31",1,"NA","1"
"31",2,"NA","1"
"31",3,"NA","1"
"31",4,"11",""
"31",5,"6",""
"31",6,"5",""
"32",1,"NA","1"
"32",2,"NA","1"
"32",3,"1",""
"32",4,"4",""
"32",5,"NA","1"
"32",6,"NA","1"
