entidad,sexo,totalca1
"01",1,"152"
"01",2,"127"
"01",9,""
"02",1,"266"
"02",2,"218"
"02",9,""
"03",1,"62"
"03",2,"66"
"03",9,""
"04",1,"134"
"04",2,"122"
"04",9,""
"05",1,"197"
"05",2,"293"
"05",9,""
"06",1,"36"
"06",2,"34"
"06",9,""
"07",1,"522"
"07",2,"407"
"07",9,""
"08",1,"368"
"08",2,"332"
"08",9,""
"09",1,"1741"
"09",2,"1920"
"09",9,""
"10",1,"186"
"10",2,"203"
"10",9,""
"11",1,"330"
"11",2,"223"
"11",9,""
"12",1,"179"
"12",2,"154"
"12",9,""
"13",1,"155"
"13",2,"149"
"13",9,""
"14",1,"325"
"14",2,"380"
"14",9,""
"15",1,"567"
"15",2,"471"
"15",9,""
"16",1,"192"
"16",2,"188"
"16",9,""
"17",1,"180"
"17",2,"170"
"17",9,""
"18",1,"84"
"18",2,"86"
"18",9,""
"19",1,"655"
"19",2,"683"
"19",9,""
"20",1,"410"
"20",2,"440"
"20",9,""
"21",1,"187"
"21",2,"159"
"21",9,""
"22",1,"125"
"22",2,"183"
"22",9,""
"23",1,"166"
"23",2,"195"
"23",9,""
"24",1,"120"
"24",2,"143"
"24",9,""
"25",1,"108"
"25",2,"60"
"25",9,""
"26",1,"134"
"26",2,"177"
"26",9,""
"27",1,"193"
"27",2,"156"
"27",9,""
"28",1,"275"
"28",2,"287"
"28",9,""
"29",1,"61"
"29",2,"59"
"29",9,""
"30",1,"222"
"30",2,"167"
"30",9,""
"31",1,"211"
"31",2,"176"
"31",9,""
"32",1,"77"
"32",2,"58"
"32",9,""
