entidad,nom_orga
"01","NO APLICA"
"02","NO APLICA"
"03","NO APLICA"
"04","SALA ADMINISTRATIVA"
"05","TRIBUNAL DE CONCILIACIÓN Y ARBITRAJE."
"06","NO APLICA"
"07","TRIBUNAL DEL TRABAJO BUROCRÁTICO"
"08","NO APLICA"
"09","NO APLICA"
"10","NO APLICA"
"11","NO APLICA"
"12","NO APLICA"
"13","NO APLICA"
"14","NO APLICA"
"15","NO APLICA"
"16","NO APLICA"
"17","NO APLICA"
"18","JUNTA LABORAL LOCAL"
"18","JUZGADOS DE DISTRITO"
"18","TRIBUNAL COLEGIADO DE CIRCUITO"
"18","TRIBUNAL DE CONCILIACIÓN Y ARBITRAJE"
"18","TRIBUNAL DE JUSTICIA ADMINISTRATIVA DEL ESTADO DE NAYARIT"
"18","TRIBUNAL ESTATAL ELECTORAL"
"18","TRIBUNAL UNITARIO"
"18","TRIBUNAL UNITARIO AGRARIO"
"19","NO APLICA"
"20","TRIBUNAL DE LO CONTENCIOSO ADMINISTRATIVO Y DE CUENTAS"
"20","TRIBUNAL ESTATAL ELECTORAL"
"21","NO APLICA"
"22","NO APLICA"
"23","NO APLICA"
"24","NO APLICA"
"25","NO APLICA"
"26","NO APLICA"
"27","JUNTA LOCAL DE CONCILIACIÓN Y ARBITRAJE DE TABASCO"
"27","TRIBUNAL DE CONCILIACIÓN Y ARBITRAJE DEL ESTADO DE TABASCO"
"27","TRIBUNAL DE LO CONTENCIOSO ADMINISTRATIVO DE TABASCO"
"27","TRIBUNAL ELECTORAL DE TABASCO"
"28","NO APLICA"
"29","NO APLICA"
"30","TRIBUNAL DE CONCILIACIÓN Y ARBITRAJE."
"30","TRIBUNAL DE LO CONTENCIOSO ADMINISTRATIVO."
"31","NO APLICA"
"32","TRIBUNAL DE LO CONTENCIOSO Y ADMINISTRATIVO DEL ESTADO Y MUNICIPIOS DE ZACATECAS"
"32","TRIBUNAL ESPECIALIZADO EN JUSTICIA PARA ADOLESCENTES"
