entidad,org_juad,totalca1
"01",1,"35"
"01",2,"21"
"01",3,"56"
"01",9,""
"02",1,"107"
"02",2,"20"
"02",3,"127"
"02",9,""
"03",1,"44"
"03",2,"20"
"03",3,"64"
"03",9,""
"04",1,"98"
"04",2,"31"
"04",3,"129"
"04",9,""
"05",1,"62"
"05",2,"49"
"05",3,"111"
"05",9,""
"06",1,"36"
"06",2,"16"
"06",3,"52"
"06",9,""
"07",1,"181"
"07",2,"25"
"07",3,"206"
"07",9,""
"08",1,"140"
"08",2,"55"
"08",3,"195"
"08",9,""
"09",1,"507"
"09",2,"101"
"09",3,"608"
"09",9,""
"10",1,"58"
"10",2,"24"
"10",3,"82"
"10",9,""
"11",1,"227"
"11",2,"40"
"11",3,"267"
"11",9,""
"12",1,"172"
"12",2,"27"
"12",3,"199"
"12",9,""
"13",1,"74"
"13",2,"23"
"13",3,"97"
"13",9,""
"14",1,"219"
"14",2,"43"
"14",3,"262"
"14",9,""
"15",1,"258"
"15",2,"175"
"15",3,"433"
"15",9,""
"16",1,"150"
"16",2,"65"
"16",3,"215"
"16",9,""
"17",1,"49"
"17",2,"26"
"17",3,"75"
"17",9,""
"18",1,"55"
"18",2,"21"
"18",3,"76"
"18",9,""
"19",1,"101"
"19",2,"52"
"19",3,"153"
"19",9,""
"20",1,"113"
"20",2,"24"
"20",3,"137"
"20",9,""
"21",1,"745"
"21",2,"29"
"21",3,"774"
"21",9,""
"22",1,"79"
"22",2,"23"
"22",3,"102"
"22",9,""
"23",1,"80"
"23",2,"71"
"23",3,"151"
"23",9,""
"24",1,"69"
"24",2,"20"
"24",3,"89"
"24",9,""
"25",1,"154"
"25",2,"23"
"25",3,"177"
"25",9,""
"26",1,"83"
"26",2,"17"
"26",3,"100"
"26",9,""
"27",1,"115"
"27",2,"30"
"27",3,"145"
"27",9,""
"28",1,"120"
"28",2,"30"
"28",3,"150"
"28",9,""
"29",1,"28"
"29",2,"18"
"29",3,"46"
"29",9,""
"30",1,"313"
"30",2,"27"
"30",3,"340"
"30",9,""
"31",1,"47"
"31",2,"39"
"31",3,"86"
"31",9,""
"32",1,"70"
"32",2,"19"
"32",3,"89"
"32",9,""
