entidad,fun_oadm,totalca1,no_aplic
"01",1,"1",""
"01",10,"1",""
"01",11,"1",""
"01",12,"1",""
"01",13,"1",""
"01",14,"1",""
"01",15,"1",""
"01",16,"1",""
"01",17,"1",""
"01",18,"1",""
"01",19,"NA","1"
"01",2,"1",""
"01",20,"1",""
"01",21,"4",""
"01",3,"1",""
"01",4,"1",""
"01",5,"NA","1"
"01",6,"NA","1"
"01",7,"1",""
"01",8,"1",""
"01",9,"1",""
"01",99,"",""
"02",1,"1",""
"02",10,"1",""
"02",11,"1",""
"02",12,"1",""
"02",13,"NA","1"
"02",14,"1",""
"02",15,"1",""
"02",16,"1",""
"02",17,"1",""
"02",18,"1",""
"02",19,"1",""
"02",2,"1",""
"02",20,"1",""
"02",21,"1",""
"02",3,"1",""
"02",4,"1",""
"02",5,"1",""
"02",6,"1",""
"02",7,"1",""
"02",8,"1",""
"02",9,"1",""
"02",99,"",""
"03",1,"1",""
"03",10,"1",""
"03",11,"1",""
"03",12,"NA","1"
"03",13,"1",""
"03",14,"1",""
"03",15,"1",""
"03",16,"NA","1"
"03",17,"1",""
"03",18,"1",""
"03",19,"NA","1"
"03",2,"1",""
"03",20,"1",""
"03",21,"5",""
"03",3,"NA","1"
"03",4,"1",""
"03",5,"1",""
"03",6,"NA","1"
"03",7,"1",""
"03",8,"1",""
"03",9,"1",""
"03",99,"",""
"04",1,"4",""
"04",10,"2",""
"04",11,"1",""
"04",12,"1",""
"04",13,"1",""
"04",14,"1",""
"04",15,"2",""
"04",16,"NA","1"
"04",17,"1",""
"04",18,"1",""
"04",19,"1",""
"04",2,"1",""
"04",20,"1",""
"04",21,"9",""
"04",3,"NA","1"
"04",4,"2",""
"04",5,"NA","1"
"04",6,"NA","1"
"04",7,"NA","1"
"04",8,"1",""
"04",9,"2",""
"04",99,"",""
"05",1,"1",""
"05",10,"7",""
"05",11,"1",""
"05",12,"1",""
"05",13,"1",""
"05",14,"NA","1"
"05",15,"1",""
"05",16,"1",""
"05",17,"1",""
"05",18,"NA","1"
"05",19,"NA","1"
"05",2,"1",""
"05",20,"1",""
"05",21,"23",""
"05",3,"1",""
"05",4,"1",""
"05",5,"1",""
"05",6,"NA","1"
"05",7,"NA","1"
"05",8,"1",""
"05",9,"6",""
"05",99,"",""
"06",1,"1",""
"06",10,"1",""
"06",11,"1",""
"06",12,"1",""
"06",13,"NA","1"
"06",14,"1",""
"06",15,"1",""
"06",16,"NA","1"
"06",17,"1",""
"06",18,"1",""
"06",19,"1",""
"06",2,"1",""
"06",20,"1",""
"06",21,"3",""
"06",3,"NA","1"
"06",4,"1",""
"06",5,"NA","1"
"06",6,"NA","1"
"06",7,"NA","1"
"06",8,"NA","1"
"06",9,"1",""
"06",99,"",""
"07",1,"1",""
"07",10,"1",""
"07",11,"1",""
"07",12,"1",""
"07",13,"1",""
"07",14,"NA","1"
"07",15,"1",""
"07",16,"1",""
"07",17,"1",""
"07",18,"1",""
"07",19,"NA","1"
"07",2,"1",""
"07",20,"1",""
"07",21,"9",""
"07",3,"1",""
"07",4,"1",""
"07",5,"1",""
"07",6,"NA","1"
"07",7,"1",""
"07",8,"NA","1"
"07",9,"1",""
"07",99,"",""
"08",1,"1",""
"08",10,"1",""
"08",11,"1",""
"08",12,"1",""
"08",13,"1",""
"08",14,"1",""
"08",15,"1",""
"08",16,"1",""
"08",17,"1",""
"08",18,"1",""
"08",19,"NA","1"
"08",2,"1",""
"08",20,"1",""
"08",21,"38",""
"08",3,"NA","1"
"08",4,"1",""
"08",5,"1",""
"08",6,"NA","1"
"08",7,"1",""
"08",8,"1",""
"08",9,"1",""
"08",99,"",""
"09",1,"6",""
"09",10,"3",""
"09",11,"5",""
"09",12,"2",""
"09",13,"1",""
"09",14,"2",""
"09",15,"4",""
"09",16,"1",""
"09",17,"1",""
"09",18,"1",""
"09",19,"1",""
"09",2,"3",""
"09",20,"2",""
"09",21,"56",""
"09",3,"6",""
"09",4,"1",""
"09",5,"2",""
"09",6,"2",""
"09",7,"NA","1"
"09",8,"NA","1"
"09",9,"2",""
"09",99,"",""
"10",1,"1",""
"10",10,"1",""
"10",11,"1",""
"10",12,"1",""
"10",13,"1",""
"10",14,"NA","1"
"10",15,"1",""
"10",16,"NA","1"
"10",17,"1",""
"10",18,"NA","1"
"10",19,"NA","1"
"10",2,"6",""
"10",20,"1",""
"10",21,"5",""
"10",3,"1",""
"10",4,"1",""
"10",5,"1",""
"10",6,"NA","1"
"10",7,"1",""
"10",8,"NA","1"
"10",9,"1",""
"10",99,"",""
"11",1,"1",""
"11",10,"1",""
"11",11,"1",""
"11",12,"1",""
"11",13,"NA","1"
"11",14,"1",""
"11",15,"1",""
"11",16,"1",""
"11",17,"1",""
"11",18,"1",""
"11",19,"1",""
"11",2,"2",""
"11",20,"1",""
"11",21,"21",""
"11",3,"1",""
"11",4,"1",""
"11",5,"1",""
"11",6,"NA","1"
"11",7,"1",""
"11",8,"1",""
"11",9,"1",""
"11",99,"",""
"12",1,"1",""
"12",10,"4",""
"12",11,"1",""
"12",12,"1",""
"12",13,"1",""
"12",14,"1",""
"12",15,"1",""
"12",16,"1",""
"12",17,"1",""
"12",18,"1",""
"12",19,"1",""
"12",2,"1",""
"12",20,"1",""
"12",21,"5",""
"12",3,"1",""
"12",4,"1",""
"12",5,"1",""
"12",6,"1",""
"12",7,"1",""
"12",8,"NA","1"
"12",9,"1",""
"12",99,"",""
"13",1,"1",""
"13",10,"1",""
"13",11,"1",""
"13",12,"1",""
"13",13,"NA","1"
"13",14,"1",""
"13",15,"1",""
"13",16,"1",""
"13",17,"1",""
"13",18,"1",""
"13",19,"1",""
"13",2,"1",""
"13",20,"1",""
"13",21,"5",""
"13",3,"1",""
"13",4,"1",""
"13",5,"1",""
"13",6,"NA","1"
"13",7,"1",""
"13",8,"1",""
"13",9,"1",""
"13",99,"",""
"14",1,"2",""
"14",10,"4",""
"14",11,"2",""
"14",12,"1",""
"14",13,"3",""
"14",14,"2",""
"14",15,"2",""
"14",16,"NA","1"
"14",17,"4",""
"14",18,"3",""
"14",19,"2",""
"14",2,"2",""
"14",20,"2",""
"14",21,"3",""
"14",3,"1",""
"14",4,"6",""
"14",5,"1",""
"14",6,"NA","1"
"14",7,"NA","1"
"14",8,"1",""
"14",9,"2",""
"14",99,"",""
"15",1,"2",""
"15",10,"20",""
"15",11,"10",""
"15",12,"8",""
"15",13,"2",""
"15",14,"2",""
"15",15,"18",""
"15",16,"5",""
"15",17,"9",""
"15",18,"5",""
"15",19,"7",""
"15",2,"7",""
"15",20,"3",""
"15",21,"31",""
"15",3,"1",""
"15",4,"30",""
"15",5,"NA","1"
"15",6,"5",""
"15",7,"3",""
"15",8,"1",""
"15",9,"6",""
"15",99,"",""
"16",1,"1",""
"16",10,"1",""
"16",11,"1",""
"16",12,"1",""
"16",13,"1",""
"16",14,"1",""
"16",15,"5",""
"16",16,"NA","1"
"16",17,"1",""
"16",18,"1",""
"16",19,"NA","1"
"16",2,"1",""
"16",20,"1",""
"16",21,"46",""
"16",3,"NA","1"
"16",4,"1",""
"16",5,"NA","1"
"16",6,"NA","1"
"16",7,"NA","1"
"16",8,"1",""
"16",9,"2",""
"16",99,"",""
"17",1,"1",""
"17",10,"2",""
"17",11,"1",""
"17",12,"1",""
"17",13,"1",""
"17",14,"NA","1"
"17",15,"1",""
"17",16,"1",""
"17",17,"1",""
"17",18,"1",""
"17",19,"NA","1"
"17",2,"2",""
"17",20,"2",""
"17",21,"6",""
"17",3,"1",""
"17",4,"1",""
"17",5,"1",""
"17",6,"NA","1"
"17",7,"1",""
"17",8,"1",""
"17",9,"1",""
"17",99,"",""
"18",1,"1",""
"18",10,"1",""
"18",11,"1",""
"18",12,"1",""
"18",13,"1",""
"18",14,"1",""
"18",15,"1",""
"18",16,"NA","1"
"18",17,"1",""
"18",18,"1",""
"18",19,"2",""
"18",2,"1",""
"18",20,"NA","1"
"18",21,"3",""
"18",3,"1",""
"18",4,"1",""
"18",5,"1",""
"18",6,"NA","1"
"18",7,"1",""
"18",8,"1",""
"18",9,"1",""
"18",99,"",""
"19",1,"1",""
"19",10,"1",""
"19",11,"1",""
"19",12,"1",""
"19",13,"1",""
"19",14,"1",""
"19",15,"1",""
"19",16,"1",""
"19",17,"1",""
"19",18,"NA","1"
"19",19,"1",""
"19",2,"2",""
"19",20,"1",""
"19",21,"35",""
"19",3,"1",""
"19",4,"1",""
"19",5,"1",""
"19",6,"NA","1"
"19",7,"NA","1"
"19",8,"NA","1"
"19",9,"1",""
"19",99,"",""
"20",1,"4",""
"20",10,"1",""
"20",11,"1",""
"20",12,"NSS",""
"20",13,"1",""
"20",14,"NSS",""
"20",15,"NSS",""
"20",16,"NSS",""
"20",17,"1",""
"20",18,"1",""
"20",19,"1",""
"20",2,"1",""
"20",20,"1",""
"20",21,"7",""
"20",3,"NA","1"
"20",4,"1",""
"20",5,"1",""
"20",6,"1",""
"20",7,"1",""
"20",8,"NSS",""
"20",9,"1",""
"20",99,"",""
"21",1,"1",""
"21",10,"1",""
"21",11,"1",""
"21",12,"1",""
"21",13,"1",""
"21",14,"1",""
"21",15,"1",""
"21",16,"NA","1"
"21",17,"1",""
"21",18,"1",""
"21",19,"1",""
"21",2,"1",""
"21",20,"1",""
"21",21,"11",""
"21",3,"NA","1"
"21",4,"1",""
"21",5,"1",""
"21",6,"1",""
"21",7,"1",""
"21",8,"1",""
"21",9,"1",""
"21",99,"",""
"22",1,"1",""
"22",10,"1",""
"22",11,"1",""
"22",12,"1",""
"22",13,"1",""
"22",14,"1",""
"22",15,"1",""
"22",16,"1",""
"22",17,"1",""
"22",18,"1",""
"22",19,"1",""
"22",2,"1",""
"22",20,"1",""
"22",21,"5",""
"22",3,"1",""
"22",4,"1",""
"22",5,"1",""
"22",6,"NA","1"
"22",7,"NA","1"
"22",8,"1",""
"22",9,"1",""
"22",99,"",""
"23",1,"1",""
"23",10,"2",""
"23",11,"4",""
"23",12,"5",""
"23",13,"5",""
"23",14,"3",""
"23",15,"16",""
"23",16,"NA","1"
"23",17,"1",""
"23",18,"1",""
"23",19,"1",""
"23",2,"1",""
"23",20,"2",""
"23",21,"17",""
"23",3,"3",""
"23",4,"4",""
"23",5,"1",""
"23",6,"NA","1"
"23",7,"3",""
"23",8,"NA","1"
"23",9,"1",""
"23",99,"",""
"24",1,"1",""
"24",10,"1",""
"24",11,"1",""
"24",12,"1",""
"24",13,"1",""
"24",14,"NA","1"
"24",15,"1",""
"24",16,"1",""
"24",17,"1",""
"24",18,"NA","1"
"24",19,"1",""
"24",2,"1",""
"24",20,"1",""
"24",21,"3",""
"24",3,"1",""
"24",4,"1",""
"24",5,"1",""
"24",6,"NA","1"
"24",7,"1",""
"24",8,"1",""
"24",9,"1",""
"24",99,"",""
"25",1,"1",""
"25",10,"1",""
"25",11,"1",""
"25",12,"1",""
"25",13,"1",""
"25",14,"1",""
"25",15,"1",""
"25",16,"NA","1"
"25",17,"NA","1"
"25",18,"NA","1"
"25",19,"1",""
"25",2,"1",""
"25",20,"1",""
"25",21,"6",""
"25",3,"NA","1"
"25",4,"1",""
"25",5,"1",""
"25",6,"NA","1"
"25",7,"1",""
"25",8,"1",""
"25",9,"3",""
"25",99,"",""
"26",1,"2",""
"26",10,"2",""
"26",11,"NA","1"
"26",12,"NA","1"
"26",13,"NA","1"
"26",14,"NA","1"
"26",15,"1",""
"26",16,"NA","1"
"26",17,"NA","1"
"26",18,"1",""
"26",19,"NA","1"
"26",2,"1",""
"26",20,"3",""
"26",21,"2",""
"26",3,"1",""
"26",4,"NA","1"
"26",5,"1",""
"26",6,"NA","1"
"26",7,"1",""
"26",8,"NA","1"
"26",9,"2",""
"26",99,"",""
"27",1,"1",""
"27",10,"1",""
"27",11,"1",""
"27",12,"1",""
"27",13,"1",""
"27",14,"1",""
"27",15,"1",""
"27",16,"1",""
"27",17,"1",""
"27",18,"1",""
"27",19,"NA","1"
"27",2,"1",""
"27",20,"1",""
"27",21,"13",""
"27",3,"1",""
"27",4,"1",""
"27",5,"1",""
"27",6,"NA","1"
"27",7,"NA","1"
"27",8,"1",""
"27",9,"1",""
"27",99,"",""
"28",1,"1",""
"28",10,"1",""
"28",11,"1",""
"28",12,"1",""
"28",13,"1",""
"28",14,"1",""
"28",15,"1",""
"28",16,"1",""
"28",17,"1",""
"28",18,"NA","1"
"28",19,"1",""
"28",2,"1",""
"28",20,"1",""
"28",21,"7",""
"28",3,"1",""
"28",4,"1",""
"28",5,"1",""
"28",6,"NA","1"
"28",7,"1",""
"28",8,"1",""
"28",9,"6",""
"28",99,"",""
"29",1,"1",""
"29",10,"1",""
"29",11,"1",""
"29",12,"1",""
"29",13,"1",""
"29",14,"1",""
"29",15,"1",""
"29",16,"1",""
"29",17,"1",""
"29",18,"1",""
"29",19,"NA","1"
"29",2,"1",""
"29",20,"1",""
"29",21,"2",""
"29",3,"1",""
"29",4,"1",""
"29",5,"NA","1"
"29",6,"NA","1"
"29",7,"NA","1"
"29",8,"1",""
