entidad,org_mate,totalca1,no_aplic
"01",1,"NA","1"
"01",2,"NA","1"
"01",3,"NA","1"
"01",4,"3",""
"01",5,"5",""
"01",6,"4",""
"01",7,"5",""
"01",8,"6",""
"01",9,"3",""
"01",10,"NA","1"
"01",11,"NA","1"
"01",12,"4",""
"01",13,"NA","1"
"01",14,"1",""
"01",15,"NA","1"
"01",16,"1",""
"01",17,"NA","1"
"01",18,"1",""
"01",19,"1",""
"01",20,"NA","1"
"01",21,"NA","1"
"01",22,"NA","1"
"01",23,"NA","1"
"01",24,"NA","1"
"01",25,"1",""
"01",26,"NA","1"
"01",27,"NA","1"
"01",28,"NA","1"
"01",99,"",""
"02",1,"NA","1"
"02",2,"NA","1"
"02",3,"NA","1"
"02",4,"21",""
"02",5,"18",""
"02",6,"NA","1"
"02",7,"8",""
"02",8,"5",""
"02",9,"3",""
"02",10,"NA","1"
"02",11,"NA","1"
"02",12,"3",""
"02",13,"37",""
"02",14,"NA","1"
"02",15,"NA","1"
"02",16,"NA","1"
"02",17,"NA","1"
"02",18,"2",""
"02",19,"3",""
"02",20,"NA","1"
"02",21,"NA","1"
"02",22,"NA","1"
"02",23,"1",""
"02",24,"NA","1"
"02",25,"NA","1"
"02",26,"5",""
"02",27,"NA","1"
"02",28,"1",""
"02",99,"",""
"03",1,"NA","1"
"03",2,"NA","1"
"03",3,"6",""
"03",4,"6",""
"03",5,"5",""
"03",6,"7",""
"03",7,"4",""
"03",8,"3",""
"03",9,"1",""
"03",10,"NA","1"
"03",11,"NA","1"
"03",12,"5",""
"03",13,"NA","1"
"03",14,"NA","1"
"03",15,"1",""
"03",16,"NA","1"
"03",17,"NA","1"
"03",18,"2",""
"03",19,"2",""
"03",20,"NA","1"
"03",21,"NA","1"
"03",22,"NA","1"
"03",23,"1",""
"03",24,"NA","1"
"03",25,"1",""
"03",26,"NA","1"
"03",27,"NA","1"
"03",28,"NA","1"
"03",99,"",""
"04",1,"3",""
"04",2,"2",""
"04",3,"3",""
"04",4,"5",""
"04",5,"6",""
"04",6,"NA","1"
"04",7,"14",""
"04",8,"5",""
"04",9,"2",""
"04",10,"45",""
"04",11,"NA","1"
"04",12,"4",""
"04",13,"2",""
"04",14,"NA","1"
"04",15,"NA","1"
"04",16,"2",""
"04",17,"NA","1"
"04",18,"1",""
"04",19,"1",""
"04",20,"NA","1"
"04",21,"NA","1"
"04",22,"NA","1"
"04",23,"1",""
"04",24,"1",""
"04",25,"1",""
"04",26,"NA","1"
"04",27,"NA","1"
"04",28,"NA","1"
"04",99,"",""
"05",1,"NA","1"
"05",2,"NA","1"
"05",3,"3",""
"05",4,"8",""
"05",5,"7",""
"05",6,"5",""
"05",7,"17",""
"05",8,"5",""
"05",9,"NA","1"
"05",10,"NA","1"
"05",11,"NA","1"
"05",12,"9",""
"05",13,"NA","1"
"05",14,"NA","1"
"05",15,"NA","1"
"05",16,"NA","1"
