entidad,sexo,totalca1
"01",1,"153"
"01",2,"387"
"01",9,""
"02",1,"452"
"02",2,"1020"
"02",9,""
"03",1,"224"
"03",2,"376"
"03",9,""
"04",1,"190"
"04",2,"398"
"04",9,""
"05",1,"305"
"05",2,"607"
"05",9,""
"06",1,"144"
"06",2,"248"
"06",9,""
"07",1,"732"
"07",2,"974"
"07",9,""
"08",1,"747"
"08",2,"1311"
"08",9,""
"09",1,"2923"
"09",2,"3863"
"09",9,""
"10",1,"195"
"10",2,"431"
"10",9,""
"11",1,"808"
"11",2,"1851"
"11",9,""
"12",1,"506"
"12",2,"989"
"12",9,""
"13",1,"319"
"13",2,"809"
"13",9,""
"14",1,"1120"
"14",2,"1347"
"14",9,""
"15",1,"1614"
"15",2,"2456"
"15",9,""
"16",1,"645"
"16",2,"1071"
"16",9,""
"17",1,"428"
"17",2,"812"
"17",9,""
"18",1,"182"
"18",2,"499"
"18",9,""
"19",1,"469"
"19",2,"626"
"19",9,""
"20",1,"722"
"20",2,"964"
"20",9,""
"21",1,"485"
"21",2,"915"
"21",9,""
"22",1,"311"
"22",2,"688"
"22",9,""
"23",1,"294"
"23",2,"602"
"23",9,""
"24",1,"409"
"24",2,"831"
"24",9,""
"25",1,"436"
"25",2,"828"
"25",9,""
"26",1,"519"
"26",2,"961"
"26",9,""
"27",1,"339"
"27",2,"931"
"27",9,""
"28",1,"369"
"28",2,"594"
"28",9,""
"29",1,"144"
"29",2,"317"
"29",9,""
"30",1,"809"
"30",2,"1242"
"30",9,""
"31",1,"243"
"31",2,"421"
"31",9,""
"32",1,"285"
"32",2,"501"
"32",9,""
