entidad,org_mate,siteomtt,siteom1,siteom2,siteom3,siteomne,no_aplic
"01",1,"NA","NA","NA","NA","","1"
"01",2,"NA","NA","NA","NA","","1"
"01",3,"NA","NA","NA","NA","","1"
"01",4,"3","3","0","0","",""
"01",5,"5","5","0","0","",""
"01",6,"4","0","4","0","",""
"01",7,"5","5","0","0","",""
"01",8,"6","6","0","0","",""
"01",9,"3","1","2","0","",""
"01",10,"NA","NA","NA","NA","","1"
"01",11,"NA","NA","NA","NA","","1"
"01",12,"4","4","0","0","",""
"01",13,"NA","NA","NA","NA","","1"
"01",14,"1","0","1","0","",""
"01",15,"NA","NA","NA","NA","","1"
"01",16,"1","0","1","0","",""
"01",17,"NA","NA","NA","NA","","1"
"01",18,"1","1","0","0","",""
"01",19,"1","1","0","0","",""
"01",20,"NA","NA","NA","NA","","1"
"01",21,"NA","NA","NA","NA","","1"
"01",22,"NA","NA","NA","NA","","1"
"01",23,"NA","NA","NA","NA","","1"
"01",24,"NA","NA","NA","NA","","1"
"01",25,"1","1","0","0","",""
"01",26,"NA","NA","NA","NA","","1"
"01",27,"NA","NA","NA","NA","","1"
"01",28,"NA","NA","NA","NA","","1"
"01",99,"","","","","",""
"02",1,"NA","NA","NA","NA","","1"
"02",2,"NA","NA","NA","NA","","1"
"02",3,"NA","NA","NA","NA","","1"
"02",4,"21","21","0","0","",""
"02",5,"18","18","0","0","",""
"02",6,"NA","NA","NA","NA","","1"
"02",7,"8","8","0","0","",""
"02",8,"5","0","0","5","",""
"02",9,"3","0","0","3","",""
"02",10,"NA","NA","NA","NA","","1"
"02",11,"NA","NA","NA","NA","","1"
"02",12,"3","3","0","0","",""
"02",13,"37","0","37","0","",""
"02",14,"NA","NA","NA","NA","","1"
"02",15,"NA","NA","NA","NA","","1"
"02",16,"NA","NA","NA","NA","","1"
"02",17,"NA","NA","NA","NA","","1"
"02",18,"2","2","0","0","",""
"02",19,"3","0","0","3","",""
"02",20,"NA","NA","NA","NA","","1"
"02",21,"NA","NA","NA","NA","","1"
"02",22,"NA","NA","NA","NA","","1"
"02",23,"1","0","0","1","",""
"02",24,"NA","NA","NA","NA","","1"
"02",25,"NA","NA","NA","NA","","1"
"02",26,"5","0","5","0","",""
"02",27,"NA","NA","NA","NA","","1"
"02",28,"1","1","0","0","",""
"02",99,"","","","","",""
"03",1,"NA","NA","NA","NA","","1"
"03",2,"NA","NA","NA","NA","","1"
"03",3,"6","6","0","0","",""
"03",4,"6","6","0","0","",""
"03",5,"5","5","0","0","",""
"03",6,"7","0","7","0","",""
"03",7,"4","4","0","0","",""
"03",8,"3","3","0","0","",""
"03",9,"1","0","0","1","",""
"03",10,"NA","NA","NA","NA","","1"
"03",11,"NA","NA","NA","NA","","1"
"03",12,"5","5","0","0","",""
"03",13,"NA","NA","NA","NA","","1"
"03",14,"NA","NA","NA","NA","","1"
"03",15,"1","1","0","0","",""
"03",16,"NA","NA","NA","NA","","1"
"03",17,"NA","NA","NA","NA","","1"
"03",18,"2","2","0","0","",""
"03",19,"2","0","0","2","",""
"03",20,"NA","NA","NA","NA","","1"
"03",21,"NA","NA","NA","NA","","1"
"03",22,"NA","NA","NA","NA","","1"
"03",23,"1","0","0","1","",""
"03",24,"NA","NA","NA","NA","","1"
"03",25,"1","1","0","0","",""
"03",26,"NA","NA","NA","NA","","1"
"03",27,"NA","NA","NA","NA","","1"
"03",28,"NA","NA","NA","NA","","1"
"03",99,"","","","","",""
"04",1,"3","3","0","0","",""
"04",2,"2","2","0","0","",""
"04",3,"3","3","0","0","",""
"04",4,"5","5","0","0","",""
"04",5,"6","6","0","0","",""
"04",6,"NA","NA","NA","NA","","1"
"04",7,"14","8","6","0","",""
"04",8,"5","3","1","1","",""
"04",9,"2","0","2","0","",""
"04",10,"45","45","0","0","",""
"04",11,"NA","NA","NA","NA","","1"
"04",12,"4","4","0","0","",""
"04",13,"2","0","2","0","",""
"04",14,"NA","NA","NA","NA","","1"
"04",15,"NA","NA","NA","NA","","1"
"04",16,"2","0","2","0","",""
"04",17,"NA","NA","NA","NA","","1"
"04",18,"1","0","0","1","",""
"04",19,"1","0","0","1","",""
"04",20,"NA","NA","NA","NA","","1"
"04",21,"NA","NA","NA","NA","","1"
"04",22,"NA","NA","NA","NA","","1"
"04",23,"1","0","1","0","",""
"04",24,"1","0","0","1","",""
"04",25,"1","1","0","0","",""
"04",26,"NA","NA","NA","NA","","1"
"04",27,"NA","NA","NA","NA","","1"
"04",28,"NA","NA","NA","NA","","1"
"04",99,"","","","","",""
"05",1,"NA","NA","NA","NA","","1"
"05",2,"NA","NA","NA","NA","","1"
"05",3,"3","0","0","3","",""
"05",4,"8","8","0","0","",""
"05",5,"7","7","0","0","",""
"05",6,"5","0","5","0","",""
"05",7,"17","0","0","17","",""
"05",8,"5","0","0","5","",""
"05",9,"NA","NA","NA","NA","","1"
"05",10,"NA","NA","NA","NA","","1"
"05",11,"NA","NA","NA","NA","","1"
"05",12,"9","0","0","9","",""
"05",13,"NA","NA","NA","NA","","1"
"05",14,"NA","NA","NA","NA","","1"
"05",15,"NA","NA","NA","NA","","1"
"05",16,"NA","NA","NA","NA","","1"
"05",17,"NA","NA","NA","NA","","1"
"05",18,"NA","NA","NA","NA","","1"
"05",19,"1","1","0","0","",""
"05",20,"NA","NA","NA","NA","","1"
"05",21,"NA","NA","NA","NA","","1"
"05",22,"NA","NA","NA","NA","","1"
"05",23,"1","1","0","0","",""
"05",24,"2","2","0","0","",""
"05",25,"4","4","0","0","",""
"05",26,"NA","NA","NA","NA","","1"
"05",27,"NA","NA","NA","NA","","1"
"05",28,"NA","NA","NA","NA","","1"
"05",99,"","","","","",""
"06",1,"NA","NA","NA","NA","","1"
"06",2,"NA","NA","NA","NA","","1"
"06",3,"7","7","0","0","",""
"06",4,"NA","NA","NA","NA","","1"
"06",5,"6","6","0","0","",""
"06",6,"3","0","3","0","",""
"06",7,"4","0","0","4","",""
"06",8,"3","0","0","3","",""
"06",9,"1","0","0","1","",""
"06",10,"NA","NA","NA","NA","","1"
"06",11,"NA","NA","NA","NA","","1"
"06",12,"8","8","0","0","",""
"06",13,"NA","NA","NA","NA","","1"
"06",14,"NA","NA","NA","NA","","1"
"06",15,"NA","NA","NA","NA","","1"
"06",16,"1","0","1","0","",""
"06",17,"NA","NA","NA","NA","","1"
"06",18,"NA","NA","NA","NA","","1"
"06",19,"NA","NA","NA","NA","","1"
"06",20,"NA","NA","NA","NA","","1"
"06",21,"NA","NA","NA","NA","","1"
"06",22,"NA","NA","NA","NA","","1"
"06",23,"NA","NA","NA","NA","","1"
"06",24,"1","0","0","1","",""
"06",25,"2","0","0","2","",""
"06",26,"NA","NA","NA","NA","","1"
"06",27,"NA","NA","NA","NA","","1"
"06",28,"NSS","NSS","NSS","NSS","",""
"06",99,"","","","","",""
"07",1,"89","89","0","0","",""
"07",2,"NA","NA","NA","NA","","1"
"07",3,"NA","NA","NA","NA","","1"
"07",4,"21","21","0","0","",""
"07",5,"14","14","0","0","",""
"07",6,"8","0","8","0","",""
"07",7,"8","8","0","0","",""
"07",8,"1","0","1","0","",""
"07",9,"2","0","0","2","",""
"07",10,"16","16","0","0","",""
"07",11,"NA","NA","NA","NA","","1"
"07",12,"8","8","0","0","",""
"07",13,"NA","NA","NA","NA","","1"
"07",14,"4","0","4","0","",""
"07",15,"NA","NA","NA","NA","","1"
"07",16,"NA","NA","NA","NA","","1"
"07",17,"NA","NA","NA","NA","","1"
