entidad,coansele,aicotett,aicote1,aicote2,aicote4,aicote5
"01",1,"0","0","0","0","0"
"01",2,"0","0","0","0","0"
"01",3,"0","0","0","0","0"
"01",4,"16","0","0","0","16"
"01",5,"0","0","0","0","0"
"01",6,"0","0","0","0","0"
"01",7,"0","0","0","0","0"
"01",8,"0","0","0","0","0"
"01",9,"0","0","0","0","0"
"01",10,"0","0","0","0","0"
"01",11,"8","0","0","0","8"
"01",12,"0","0","0","0","0"
"01",13,"0","0","0","0","0"
"01",14,"0","0","0","0","0"
"01",15,"1","0","0","0","1"
"02",1,"9","1","5","1","4"
"02",2,"0","0","0","0","0"
"02",3,"0","0","0","0","0"
"02",4,"0","0","0","0","0"
"02",5,"0","0","0","0","0"
"02",6,"0","0","0","0","0"
"02",7,"0","0","0","0","0"
"02",8,"0","0","0","0","0"
"02",9,"0","0","0","0","0"
"02",10,"0","0","0","0","0"
"02",11,"86","0","31","0","55"
"02",12,"0","0","0","0","0"
"02",13,"0","0","0","0","0"
"02",14,"0","0","0","0","0"
"02",15,"5","4","3","3","2"
"03",1,"0","0","0","0","0"
"03",2,"0","0","0","0","0"
"03",3,"0","0","0","0","0"
"03",4,"0","0","0","0","0"
"03",5,"0","0","0","0","0"
"03",6,"0","0","0","0","0"
"03",7,"0","0","0","0","0"
"03",8,"0","0","0","0","0"
"03",9,"0","0","0","0","0"
"03",10,"0","0","0","0","0"
"03",11,"0","0","0","0","0"
"03",12,"0","0","0","0","0"
"03",13,"0","0","0","0","0"
"03",14,"0","0","0","0","0"
"03",15,"0","0","0","0","0"
"04",1,"0","0","0","0","0"
"04",2,"0","0","0","0","0"
"04",3,"0","0","0","0","0"
"04",4,"0","0","0","0","0"
"04",5,"0","0","0","0","0"
"04",6,"0","0","0","0","0"
"04",7,"0","0","0","0","0"
"04",8,"0","0","0","0","0"
"04",9,"0","0","0","0","0"
"04",10,"0","0","0","0","0"
"04",11,"0","0","0","0","0"
"04",12,"0","0","0","0","0"
"04",13,"0","0","0","0","0"
"04",14,"0","0","0","0","0"
"04",15,"0","0","0","0","0"
"05",1,"NSS","0","NSS","0","NSS"
"05",2,"NSS","0","NSS","0","NSS"
"05",3,"NSS","0","NSS","0","NSS"
"05",4,"NSS","0","NSS","0","NSS"
"05",5,"NSS","0","NSS","0","NSS"
"05",6,"NSS","0","NSS","0","NSS"
"05",7,"NSS","0","NSS","0","NSS"
"05",8,"NSS","0","NSS","0","NSS"
"05",9,"NSS","0","NSS","0","NSS"
"05",10,"NSS","0","NSS","0","NSS"
"05",11,"NSS","0","NSS","0","NSS"
"05",12,"NSS","0","NSS","0","NSS"
"05",13,"NSS","0","NSS","0","NSS"
"05",14,"NSS","0","NSS","0","NSS"
"05",15,"NSS","0","NSS","0","NSS"
"07",1,"2","0","2","0","0"
"07",2,"8","1","3","1","5"
"07",3,"3","0","1","0","2"
"07",4,"13","1","1","0","12"
"07",5,"1","0","0","0","1"
"07",6,"0","0","0","0","0"
"07",7,"0","0","0","0","0"
"07",8,"0","0","0","0","0"
"07",9,"0","0","0","0","0"
"07",10,"0","0","0","0","0"
"07",11,"7","0","1","0","6"
"07",12,"0","0","0","0","0"
"07",13,"0","0","0","0","0"
"07",14,"0","0","0","0","0"
"07",15,"2","0","0","0","2"
"08",1,"12","0","0","0","12"
"08",2,"9","1","0","0","9"
"08",3,"3","0","0","0","3"
"08",4,"5","1","0","0","5"
"08",5,"0","0","0","0","0"
"08",6,"0","0","0","0","0"
