entidad,conducan,avinpctt,avinpc1,avinpc2
"01",1,"260","84","176"
"01",2,"0","0","0"
"01",3,"0","0","0"
"02",1,"990","521","469"
"02",2,"16","10","6"
"02",3,"0","0","0"
"03",1,"149","142","7"
"03",2,"3","3","0"
"03",3,"NSS","NSS","0"
"04",1,"35","0","35"
"04",2,"0","0","0"
"04",3,"0","0","0"
"05",1,"1562","710","852"
"05",2,"0","0","0"
"05",3,"0","0","0"
"07",1,"119","23","96"
"07",2,"6","1","5"
"07",3,"0","0","0"
"08",1,"818","0","818"
"08",2,"14","0","14"
"08",3,"0","0","0"
"09",1,"4628","551","4077"
"09",2,"16","10","6"
"09",3,"0","0","0"
"10",1,"161","0","161"
"10",2,"0","0","0"
"10",3,"0","0","0"
"11",1,"263","83","180"
"11",2,"0","0","0"
"11",3,"0","0","0"
"12",1,"119","0","119"
"12",2,"0","0","0"
"12",3,"0","0","0"
"13",1,"464","330","134"
"13",2,"7","5","2"
"13",3,"0","0","0"
"14",1,"828","319","509"
"14",2,"16","5","11"
"14",3,"0","0","0"
"15",1,"1430","812","618"
"15",2,"0","0","0"
"15",3,"0","0","0"
"16",1,"NSS","NSS","NSS"
"16",2,"NSS","NSS","NSS"
"16",3,"NSS","NSS","NSS"
"17",1,"193","0","193"
"17",2,"7","0","7"
"17",3,"0","0","0"
"18",1,"49","45","4"
"18",2,"2","2","0"
"18",3,"0","0","0"
"19",1,"1079","0","1079"
"19",2,"0","0","0"
"19",3,"0","0","0"
"20",1,"223","0","223"
"20",2,"2","0","2"
"20",3,"0","0","0"
"21",1,"347","154","193"
"21",2,"2","2","0"
"21",3,"0","0","0"
"22",1,"65","0","65"
"22",2,"0","0","0"
"22",3,"0","0","0"
"23",1,"342","132","210"
"23",2,"6","4","2"
"23",3,"0","0","0"
"24",1,"97","68","29"
"24",2,"0","0","0"
"24",3,"0","0","0"
"25",1,"1262","0","1262"
"25",2,"27","0","27"
"25",3,"0","0","0"
"26",1,"NSS","NSS","NSS"
"26",2,"NSS","NSS","NSS"
"26",3,"NSS","NSS","NSS"
"27",1,"339","0","339"
"27",2,"0","0","0"
"27",3,"0","0","0"
"28",1,"535","425","110"
"28",2,"8","7","1"
"28",3,"0","0","0"
"29",1,"34","19","15"
"29",2,"0","0","0"
"29",3,"0","0","0"
"30",1,"66","4","62"
"30",2,"2","0","2"
"30",3,"7","0","7"
"31",1,"84","0","84"
"31",2,"0","0","0"
"31",3,"0","0","0"
"32",1,"207","0","207"
"32",2,"4","0","4"
"32",3,"0","0","0"
