ENTIDAD,sexo,totalca1
1,1,103
1,2,183
1,3,286
1,9,
2,1,939
2,2,665
2,3,1604
2,9,
3,1,523
3,2,417
3,3,940
3,9,
4,1,236
4,2,152
4,3,388
4,9,
5,1,529
5,2,360
5,3,889
5,9,
6,1,127
6,2,259
6,3,386
6,9,
7,1,1947
7,2,1176
7,3,3123
7,9,
8,1,452
8,2,675
8,3,1127
8,9,
9,1,3542
9,2,2063
9,3,5605
9,9,
10,1,495
10,2,414
10,3,909
10,9,
11,1,717
11,2,1144
11,3,1861
11,9,
12,1,1253
12,2,568
12,3,1821
12,9,
13,1,845
13,2,624
13,3,1469
13,9,
14,1,1693
14,2,920
14,3,2613
14,9,
15,1,1140
15,2,790
15,3,1930
15,9,
16,1,1225
16,2,913
16,3,2138
16,9,
17,1,243
17,2,230
17,3,473
17,9,
18,1,428
18,2,286
18,3,714
18,9,
19,1,308
19,2,335
19,3,643
19,9,
20,1,532
20,2,465
20,3,997
20,9,
21,1,180
21,2,332
21,3,512
21,9,
22,1,563
22,2,344
22,3,907
22,9,
23,1,298
23,2,320
23,3,618
23,9,
24,1,707
24,2,576
24,3,1283
24,9,
25,1,223
25,2,398
25,3,621
25,9,
26,1,192
26,2,207
26,3,399
26,9,
27,1,1036
27,2,526
27,3,1562
27,9,
28,1,604
28,2,558
28,3,1162
28,9,
29,1,73
29,2,161
29,3,234
29,9,
30,1,532
30,2,730
30,3,1262
30,9,
31,1,158
31,2,171
31,3,329
31,9,
32,1,569
32,2,525
32,3,1094
32,9,
