entidad,modalcur,sexostt,sexos1,sexos2,no_reali
"01",1,"","","","1"
"01",2,"","","","1"
"01",3,"16","4","12",""
"01",4,"27","6","21",""
"01",5,"30","11","19",""
"01",6,"","","","1"
"02",1,"","","","1"
"02",2,"","","","1"
"02",3,"","","","1"
"02",4,"123","63","60",""
"02",5,"16","6","10",""
"02",6,"","","","1"
"03",1,"","","","1"
"03",2,"","","","1"
"03",3,"","","","1"
"03",4,"78","31","47",""
"03",5,"62","13","49",""
"03",6,"133","43","90",""
"04",1,"","","","1"
"04",2,"","","","1"
"04",3,"","","","1"
"04",4,"44","24","20",""
"04",5,"8","3","5",""
"04",6,"129","53","76",""
"05",1,"","","","1"
"05",2,"","","","1"
"05",3,"","","","1"
"05",4,"174","27","147",""
"05",5,"","","","1"
"05",6,"","","","1"
"06",1,"","","","1"
"06",2,"","","","1"
"06",3,"","","","1"
"06",4,"50","9","41",""
"06",5,"11","2","9",""
"06",6,"","","","1"
"07",1,"","","","1"
"07",2,"","","","1"
"07",3,"","","","1"
"07",4,"137","75","62",""
"07",5,"547","236","311",""
"07",6,"90","64","26",""
"08",1,"8","4","4",""
"08",2,"6","2","4",""
"08",3,"44","15","29",""
"08",4,"115","45","70",""
"08",5,"74","28","46",""
"08",6,"119","8","111",""
"09",1,"","","","1"
"09",2,"","","","1"
"09",3,"19","6","13",""
"09",4,"427","158","269",""
"09",5,"165","71","94",""
"09",6,"","","","1"
"10",1,"","","","1"
"10",2,"","","","1"
"10",3,"","","","1"
"10",4,"2","2","0",""
"10",5,"","","","1"
"10",6,"22","10","12",""
"11",1,"","","","1"
"11",2,"1","0","1",""
"11",3,"","","","1"
"11",4,"520","179","341",""
"11",5,"133","30","103",""
"11",6,"29","12","17",""
"12",1,"","","","1"
"12",2,"","","","1"
"12",3,"4","1","3",""
"12",4,"135","52","83",""
"12",5,"0","0","0",""
"12",6,"4","2","2",""
"13",1,"","","","1"
"13",2,"","","","1"
"13",3,"","","","1"
"13",4,"","","","1"
"13",5,"","","","1"
"13",6,"21","8","13",""
"14",1,"","","","1"
"14",2,"","","","1"
"14",3,"","","","1"
"14",4,"","","","1"
"14",5,"","","","1"
"14",6,"","","","1"
"15",1,"NSS","NSS","NSS",""
"15",2,"NSS","NSS","NSS",""
"15",3,"10","8","2",""
"15",4,"183","86","97",""
"15",5,"","","","1"
"15",6,"800","NSS","NSS",""
"16",1,"","","","1"
"16",2,"","","","1"
"16",3,"","","","1"
"16",4,"18","18","0",""
"16",5,"","","","1"
"16",6,"","","","1"
"17",1,"","","","1"
"17",2,"","","","1"
"17",3,"","","","1"
"17",4,"","","","1"
"17",5,"","","","1"
"17",6,"","","","1"
"18",1,"","","","1"
"18",2,"","","","1"
"18",3,"2","1","1",""
"18",4,"14","6","8",""
"18",5,"9","3","6",""
"18",6,"8","3","5",""
"19",1,"","","","1"
"19",2,"","","","1"
"19",3,"","","","1"
"19",4,"","","","1"
"19",5,"","","","1"
"19",6,"","","","1"
"20",1,"","","","1"
"20",2,"","","","1"
"20",3,"","","","1"
"20",4,"45","21","24",""
"20",5,"26","9","17",""
"20",6,"24","12","12",""
"21",1,"","","","1"
"21",2,"","","","1"
"21",3,"","","","1"
"21",4,"119","54","65",""
"21",5,"35","19","16",""
"21",6,"","","","1"
"22",1,"","","","1"
"22",2,"","","","1"
"22",3,"","","","1"
"22",4,"","","","1"
"22",5,"","","","1"
"22",6,"","","","1"
"23",1,"","","","1"
"23",2,"","","","1"
"23",3,"","","","1"
"23",4,"","","","1"
"23",5,"","","","1"
"23",6,"","","","1"
"24",1,"","","","1"
"24",2,"","","","1"
"24",3,"","","","1"
"24",4,"31","3","28",""
"24",5,"","","","1"
"24",6,"","","","1"
"25",1,"","","","1"
"25",2,"","","","1"
"25",3,"13","0","13",""
"25",4,"","","","1"
"25",5,"91","42","49",""
"25",6,"275","79","196",""
"26",1,"NSS","NSS","NSS",""
"26",2,"NSS","NSS","NSS",""
"26",3,"NSS","NSS","NSS",""
"26",4,"NSS","NSS","NSS",""
"26",5,"NSS","NSS","NSS",""
"26",6,"NSS","NSS","NSS",""
"27",1,"","","","1"
"27",2,"","","","1"
"27",3,"","","","1"
"27",4,"","","","1"
"27",5,"","","","1"
"27",6,"","","","1"
"28",1,"","","","1"
"28",2,"4","3","1",""
"28",3,"52","23","29",""
"28",4,"215","106","109",""
"28",5,"29","15","14",""
"28",6,"1","1","0",""
"29",1,"","","","1"
"29",2,"","","","1"
"29",3,"2","0","2",""
"29",4,"6","0","6",""
"29",5,"5","0","5",""
"29",6,"12","6","6",""
"30",1,"","","","1"
"30",2,"","","","1"
"30",3,"25","10","15",""
"30",4,"78","28","50",""
"30",5,"1","0","1",""
"30",6,"92","36","56",""
"31",1,"","","","1"
"31",2,"","","","1"
"31",3,"","","","1"
"31",4,"345","179","166",""
"31",5,"","","","1"
"31",6,"42","16","26",""
"32",1,"","","","1"
"32",2,"","","","1"
"32",3,"","","","1"
"32",4,"","","","1"
"32",5,"","","","1"
"32",6,"","","","1"
