entidad,rangedae,sexostt,sexos1,sexos2
"01",1,"19","14","5"
"01",2,"30","19","11"
"01",3,"36","20","16"
"01",4,"45","16","29"
"01",5,"48","29","19"
"01",6,"32","12","20"
"01",7,"31","16","15"
"01",8,"25","17","8"
"01",9,"13","9","4"
"01",99,"","",""
"02",1,"6","3","3"
"02",2,"34","21","13"
"02",3,"56","28","28"
"02",4,"68","38","30"
"02",5,"85","37","48"
"02",6,"87","46","41"
"02",7,"69","40","29"
"02",8,"40","26","14"
"02",9,"39","27","12"
"02",99,"","",""
"03",1,"7","3","4"
"03",2,"17","9","8"
"03",3,"21","13","8"
"03",4,"24","10","14"
"03",5,"19","8","11"
"03",6,"16","7","9"
"03",7,"14","6","8"
"03",8,"4","3","1"
"03",9,"6","3","3"
"03",99,"","",""
"04",1,"3","2","1"
"04",2,"22","14","8"
"04",3,"43","19","24"
"04",4,"45","28","17"
"04",5,"39","18","21"
"04",6,"44","23","21"
"04",7,"26","11","15"
"04",8,"20","11","9"
"04",9,"14","8","6"
"04",99,"","",""
"05",1,"13","4","9"
"05",2,"44","16","28"
"05",3,"67","26","41"
"05",4,"100","40","60"
"05",5,"75","24","51"
"05",6,"68","29","39"
"05",7,"53","20","33"
"05",8,"27","12","15"
"05",9,"43","26","17"
"05",99,"","",""
"06",1,"3","2","1"
"06",2,"12","6","6"
"06",3,"9","6","3"
"06",4,"10","4","6"
"06",5,"13","6","7"
"06",6,"4","2","2"
"06",7,"12","7","5"
"06",8,"4","1","3"
"06",9,"3","2","1"
"06",99,"","",""
"07",1,"17","13","4"
"07",2,"79","30","49"
"07",3,"166","88","78"
"07",4,"184","90","94"
"07",5,"182","103","79"
"07",6,"135","79","56"
"07",7,"68","46","22"
"07",8,"45","32","13"
"07",9,"53","41","12"
"07",99,"","",""
"08",1,"42","12","30"
"08",2,"111","54","57"
"08",3,"85","45","40"
"08",4,"102","52","50"
"08",5,"110","65","45"
"08",6,"100","55","45"
"08",7,"49","25","24"
"08",8,"47","24","23"
"08",9,"54","36","18"
"08",99,"","",""
"09",1,"126","59","67"
"09",2,"340","172","168"
"09",3,"484","232","252"
"09",4,"545","254","291"
"09",5,"679","301","378"
"09",6,"505","233","272"
"09",7,"380","188","192"
"09",8,"310","145","165"
"09",9,"292","157","135"
"09",99,"","",""
"10",1,"14","5","9"
"10",2,"35","16","19"
"10",3,"44","23","21"
"10",4,"50","16","34"
"10",5,"76","33","43"
"10",6,"64","36","28"
"10",7,"44","20","24"
"10",8,"32","14","18"
"10",9,"30","23","7"
"10",99,"","",""
"11",1,"19","13","6"
"11",2,"73","40","33"
"11",3,"86","61","25"
"11",4,"78","46","32"
"11",5,"91","55","36"
"11",6,"103","50","53"
"11",7,"56","33","23"
"11",8,"27","14","13"
"11",9,"20","18","2"
"11",99,"","",""
"12",1,"9","6","3"
"12",2,"31","19","12"
"12",3,"41","20","21"
"12",4,"77","42","35"
"12",5,"76","40","36"
"12",6,"41","16","25"
"12",7,"20","8","12"
"12",8,"25","18","7"
"12",9,"13","10","3"
"12",99,"","",""
"13",1,"19","9","10"
"13",2,"41","17","24"
"13",3,"42","17","25"
"13",4,"57","33","24"
"13",5,"43","28","15"
"13",6,"21","7","14"
"13",7,"30","15","15"
"13",8,"21","8","13"
"13",9,"30","21","9"
"13",99,"","",""
"14",1,"48","21","27"
"14",2,"88","41","47"
"14",3,"125","66","59"
"14",4,"115","55","60"
"14",5,"109","40","69"
"14",6,"74","36","38"
"14",7,"73","35","38"
"14",8,"35","18","17"
"14",9,"38","13","25"
"14",99,"","",""
"15",1,"8","4","4"
"15",2,"92","40","52"
"15",3,"191","91","100"
"15",4,"168","83","85"
"15",5,"204","123","81"
"15",6,"150","82","68"
"15",7,"104","57","47"
"15",8,"73","52","21"
"15",9,"48","35","13"
"15",99,"","",""
"16",1,"6","1","5"
"16",2,"35","21","14"
"16",3,"63","28","35"
"16",4,"53","29","24"
"16",5,"74","39","35"
"16",6,"69","32","37"
"16",7,"46","19","27"
"16",8,"23","14","9"
"16",9,"11","9","2"
"16",99,"","",""
"17",1,"17","7","10"
"17",2,"23","8","15"
"17",3,"51","19","32"
"17",4,"67","40","27"
"17",5,"75","45","30"
"17",6,"58","28","30"
"17",7,"38","19","19"
"17",8,"15","11","4"
"17",9,"6","3","3"
"17",99,"","",""
"18",1,"3","2","1"
"18",2,"18","7","11"
"18",3,"14","9","5"
"18",4,"33","15","18"
"18",5,"40","25","15"
"18",6,"28","10","18"
"18",7,"15","10","5"
"18",8,"7","1","6"
"18",9,"12","5","7"
"18",99,"","",""
"19",1,"107","50","57"
"19",2,"258","137","121"
"19",3,"233","124","109"
"19",4,"258","129","129"
"19",5,"194","91","103"
"19",6,"114","44","70"
"19",7,"83","36","47"
"19",8,"44","23","21"
"19",9,"47","21","26"
"19",99,"","",""
"20",1,"52","31","21"
"20",2,"127","65","62"
"20",3,"143","66","77"
"20",4,"128","52","76"
"20",5,"148","62","86"
"20",6,"114","52","62"
"20",7,"61","32","29"
"20",8,"24","13","11"
"20",9,"53","37","16"
"20",99,"","",""
"21",1,"14","6","8"
"21",2,"43","21","22"
"21",3,"36","22","14"
"21",4,"34","19","15"
"21",5,"49","22","27"
"21",6,"49","20","29"
"21",7,"29","14","15"
"21",8,"36","23","13"
"21",9,"56","40","16"
"21",99,"","",""
"22",1,"8","6","2"
"22",2,"27","8","19"
"22",3,"36","11","25"
"22",4,"45","17","28"
"22",5,"67","24","43"
"22",6,"48","27","21"
"22",7,"41","17","24"
"22",8,"26","11","15"
"22",9,"10","4","6"
