entidad,gdoestue,sexostt,sexos1,sexos2
"01",1,"2","2","0"
"01",2,"19","11","8"
"01",3,"30","24","6"
"01",4,"60","42","18"
"01",5,"15","3","12"
"01",6,"139","63","76"
"01",7,"13","7","6"
"01",8,"1","0","1"
"01",9,"","",""
"02",1,"0","0","0"
"02",2,"0","0","0"
"02",3,"50","48","2"
"02",4,"182","79","103"
"02",5,"0","0","0"
"02",6,"250","138","112"
"02",7,"2","1","1"
"02",8,"0","0","0"
"02",9,"","",""
"03",1,"0","0","0"
"03",2,"0","0","0"
"03",3,"13","7","6"
"03",4,"45","29","16"
"03",5,"11","0","11"
"03",6,"59","26","33"
"03",7,"0","0","0"
"03",8,"0","0","0"
"03",9,"","",""
"04",1,"3","3","0"
"04",2,"24","21","3"
"04",3,"48","27","21"
"04",4,"61","36","25"
"04",5,"9","5","4"
"04",6,"97","37","60"
"04",7,"12","4","8"
"04",8,"2","1","1"
"04",9,"","",""
"05",1,"1","1","0"
"05",2,"12","7","5"
"05",3,"25","19","6"
"05",4,"70","36","34"
"05",5,"85","18","67"
"05",6,"272","112","160"
"05",7,"24","4","20"
"05",8,"1","0","1"
"05",9,"","",""
"06",1,"8","8","0"
"06",2,"0","0","0"
"06",3,"5","4","1"
"06",4,"7","4","3"
"06",5,"5","3","2"
"06",6,"43","16","27"
"06",7,"1","1","0"
"06",8,"1","0","1"
"06",9,"","",""
"07",1,"0","0","0"
"07",2,"61","36","25"
"07",3,"24","24","0"
"07",4,"57","27","30"
"07",5,"229","108","121"
"07",6,"462","277","185"
"07",7,"84","43","41"
"07",8,"12","7","5"
"07",9,"","",""
"08",1,"0","0","0"
"08",2,"12","7","5"
"08",3,"50","23","27"
"08",4,"256","143","113"
"08",5,"59","25","34"
"08",6,"277","145","132"
"08",7,"42","23","19"
"08",8,"4","2","2"
"08",9,"","",""
"09",1,"419","362","57"
"09",2,"5","3","2"
"09",3,"39","29","10"
"09",4,"1931","791","1140"
"09",5,"76","26","50"
"09",6,"1164","519","645"
"09",7,"23","9","14"
"09",8,"4","2","2"
"09",9,"","",""
"10",1,"1","1","0"
"10",2,"6","4","2"
"10",3,"34","22","12"
"10",4,"33","19","14"
"10",5,"37","4","33"
"10",6,"252","123","129"
"10",7,"21","10","11"
"10",8,"5","3","2"
"10",9,"","",""
"11",1,"0","0","0"
"11",2,"31","23","8"
"11",3,"105","79","26"
"11",4,"81","52","29"
"11",5,"47","17","30"
"11",6,"223","119","104"
"11",7,"62","37","25"
"11",8,"4","3","1"
"11",9,"","",""
"12",1,"57","35","22"
"12",2,"5","4","1"
"12",3,"17","13","4"
"12",4,"56","27","29"
"12",5,"21","5","16"
"12",6,"159","82","77"
"12",7,"14","9","5"
"12",8,"4","4","0"
"12",9,"","",""
"13",1,"0","0","0"
"13",2,"16","9","7"
"13",3,"36","23","13"
"13",4,"41","26","15"
"13",5,"33","8","25"
"13",6,"156","77","79"
"13",7,"21","11","10"
"13",8,"1","1","0"
"13",9,"","",""
"14",1,"0","0","0"
"14",2,"0","0","0"
"14",3,"40","22","18"
"14",4,"0","0","0"
"14",5,"349","158","191"
"14",6,"234","107","127"
"14",7,"65","34","31"
"14",8,"17","4","13"
"14",9,"","",""
"15",1,"9","7","2"
"15",2,"40","28","12"
"15",3,"98","87","11"
"15",4,"96","70","26"
"15",5,"86","44","42"
"15",6,"594","272","322"
"15",7,"104","52","52"
"15",8,"11","7","4"
"15",9,"","",""
"16",1,"11","6","5"
"16",2,"18","16","2"
"16",3,"24","19","5"
"16",4,"71","45","26"
"16",5,"50","18","32"
"16",6,"187","77","110"
"16",7,"19","11","8"
"16",8,"0","0","0"
"16",9,"","",""
"17",1,"NSS","NSS","NSS"
"17",2,"NSS","NSS","NSS"
"17",3,"NSS","NSS","NSS"
"17",4,"NSS","NSS","NSS"
"17",5,"NSS","NSS","NSS"
"17",6,"NSS","NSS","NSS"
"17",7,"NSS","NSS","NSS"
"17",8,"NSS","NSS","NSS"
"17",9,"350","180","170"
"18",1,"0","0","0"
"18",2,"6","2","4"
"18",3,"22","11","11"
"18",4,"29","16","13"
"18",5,"9","1","8"
"18",6,"84","41","43"
"18",7,"15","8","7"
"18",8,"5","5","0"
"18",9,"","",""
"19",1,"0","0","0"
"19",2,"131","22","109"
"19",3,"70","46","24"
"19",4,"171","147","24"
"19",5,"115","37","78"
"19",6,"798","379","419"
"19",7,"50","23","27"
"19",8,"3","1","2"
"19",9,"","",""
"20",1,"NSS","NSS","NSS"
"20",2,"13","8","5"
"20",3,"77","49","28"
"20",4,"109","52","57"
"20",5,"59","21","38"
"20",6,"476","231","245"
"20",7,"9","5","4"
"20",8,"1","1","0"
"20",9,"106","43","63"
"21",1,"27","13","14"
"21",2,"22","12","10"
"21",3,"38","23","15"
"21",4,"20","15","5"
"21",5,"26","11","15"
"21",6,"194","104","90"
"21",7,"18","8","10"
