entidad,ran_ingr,sexostt,sexos1,sexos2
"01",1,"0","0","0"
"01",2,"0","0","0"
"01",3,"0","0","0"
"01",4,"135","77","58"
"01",5,"110","61","49"
"01",6,"20","6","14"
"01",7,"0","0","0"
"01",8,"0","0","0"
"01",9,"6","4","2"
"01",10,"0","0","0"
"01",11,"2","1","1"
"01",12,"1","1","0"
"01",13,"0","0","0"
"01",14,"0","0","0"
"01",15,"1","0","1"
"01",16,"4","2","2"
"01",99,"","",""
"02",1,"0","0","0"
"02",2,"0","0","0"
"02",3,"57","39","18"
"02",4,"32","11","21"
"02",5,"39","17","22"
"02",6,"155","96","59"
"02",7,"99","55","44"
"02",8,"43","17","26"
"02",9,"22","10","12"
"02",10,"12","8","4"
"02",11,"12","4","8"
"02",12,"2","2","0"
"02",13,"1","0","1"
"02",14,"4","2","2"
"02",15,"2","1","1"
"02",16,"4","4","0"
"02",99,"","",""
"03",1,"0","0","0"
"03",2,"0","0","0"
"03",3,"30","14","16"
"03",4,"12","3","9"
"03",5,"42","23","19"
"03",6,"21","9","12"
"03",7,"4","2","2"
"03",8,"3","3","0"
"03",9,"9","3","6"
"03",10,"1","0","1"
"03",11,"3","3","0"
"03",12,"1","1","0"
"03",13,"2","1","1"
"03",14,"0","0","0"
"03",15,"0","0","0"
"03",16,"0","0","0"
"03",99,"","",""
"04",1,"0","0","0"
"04",2,"0","0","0"
"04",3,"165","99","66"
"04",4,"44","19","25"
"04",5,"18","7","11"
"04",6,"6","2","4"
"04",7,"19","5","14"
"04",8,"0","0","0"
"04",9,"0","0","0"
"04",10,"0","0","0"
"04",11,"2","0","2"
"04",12,"1","1","0"
"04",13,"0","0","0"
"04",14,"0","0","0"
"04",15,"0","0","0"
"04",16,"1","1","0"
"04",99,"","",""
"05",1,"0","0","0"
"05",2,"59","32","27"
"05",3,"111","48","63"
"05",4,"129","37","92"
"05",5,"151","60","91"
"05",6,"13","6","7"
"05",7,"8","4","4"
"05",8,"13","7","6"
"05",9,"3","2","1"
"05",10,"2","1","1"
"05",11,"1","0","1"
"05",12,"0","0","0"
"05",13,"0","0","0"
"05",14,"0","0","0"
"05",15,"0","0","0"
"05",16,"0","0","0"
"05",99,"","",""
"06",1,"NSS","NSS","NSS"
"06",2,"NSS","NSS","NSS"
"06",3,"NSS","NSS","NSS"
"06",4,"NSS","NSS","NSS"
"06",5,"NSS","NSS","NSS"
"06",6,"NSS","NSS","NSS"
"06",7,"NSS","NSS","NSS"
"06",8,"NSS","NSS","NSS"
"06",9,"NSS","NSS","NSS"
"06",10,"NSS","NSS","NSS"
"06",11,"NSS","NSS","NSS"
"06",12,"NSS","NSS","NSS"
"06",13,"NSS","NSS","NSS"
"06",14,"NSS","NSS","NSS"
"06",15,"NSS","NSS","NSS"
"06",16,"NSS","NSS","NSS"
"06",99,"70","36","34"
"07",1,"0","0","0"
"07",2,"0","0","0"
"07",3,"19","9","10"
"07",4,"334","201","133"
"07",5,"354","177","177"
"07",6,"75","36","39"
"07",7,"88","53","35"
"07",8,"6","4","2"
"07",9,"8","5","3"
"07",10,"8","5","3"
"07",11,"14","14","0"
"07",12,"5","2","3"
"07",13,"0","0","0"
"07",14,"2","2","0"
"07",15,"1","1","0"
"07",16,"15","13","2"
"07",99,"","",""
"08",1,"0","0","0"
"08",2,"96","19","77"
"08",3,"153","84","69"
"08",4,"113","70","43"
"08",5,"100","65","35"
"08",6,"77","36","41"
"08",7,"44","23","21"
"08",8,"39","26","13"
"08",9,"22","10","12"
"08",10,"11","6","5"
"08",11,"8","4","4"
"08",12,"7","6","1"
"08",13,"4","1","3"
"08",14,"21","13","8"
"08",15,"2","2","0"
"08",16,"3","3","0"
"08",99,"","",""
"09",1,"0","0","0"
"09",2,"0","0","0"
"09",3,"0","0","0"
"09",4,"2182","1020","1162"
"09",5,"398","168","230"
"09",6,"164","89","75"
"09",7,"99","44","55"
"09",8,"176","88","88"
"09",9,"286","142","144"
"09",10,"44","28","16"
"09",11,"138","74","64"
"09",12,"12","5","7"
"09",13,"5","3","2"
"09",14,"52","22","30"
"09",15,"56","29","27"
"09",16,"49","29","20"
"09",99,"","",""
"10",1,"0","0","0"
"10",2,"11","6","5"
"10",3,"93","36","57"
"10",4,"145","67","78"
"10",5,"59","40","19"
"10",6,"29","11","18"
"10",7,"19","8","11"
"10",8,"16","8","8"
"10",9,"4","0","4"
"10",10,"2","2","0"
"10",11,"2","1","1"
"10",12,"2","2","0"
"10",13,"0","0","0"
"10",14,"2","1","1"
"10",15,"3","2","1"
"10",16,"2","2","0"
"10",99,"","",""
"11",1,"0","0","0"
"11",2,"NSS","NSS","NSS"
"11",3,"320","199","121"
"11",4,"18","8","10"
"11",5,"32","17","15"
"11",6,"36","21","15"
"11",7,"26","14","12"
"11",8,"24","13","11"
"11",9,"22","7","15"
"11",10,"NSS","NSS","NSS"
"11",11,"11","5","6"
"11",12,"NSS","NSS","NSS"
"11",13,"NSS","NSS","NSS"
"11",14,"14","9","5"
"11",15,"4","4","NSS"
"11",16,"7","5","2"
"11",99,"39","28","11"
"12",1,"0","0","0"
"12",2,"3","1","2"
"12",3,"96","55","41"
"12",4,"90","40","50"
"12",5,"50","21","29"
"12",6,"25","18","7"
"12",7,"28","16","12"
"12",8,"0","0","0"
"12",9,"16","12","4"
"12",10,"2","2","0"
"12",11,"3","2","1"
"12",12,"4","2","2"
"12",13,"1","1","0"
"12",14,"8","3","5"
"12",15,"0","0","0"
"12",16,"7","6","1"
"12",99,"","",""
"13",1,"0","0","0"
"13",2,"24","11","13"
"13",3,"159","69","90"
"13",4,"61","41","20"
"13",5,"37","18","19"
"13",6,"1","1","0"
"13",7,"12","6","6"
"13",8,"1","1","0"
"13",9,"0","0","0"
"13",10,"3","3","0"
"13",11,"5","5","0"
"13",12,"0","0","0"
"13",13,"0","0","0"
"13",14,"0","0","0"
"13",15,"0","0","0"
