entidad,org_mate,puesextt,puesex1,puesex2,puesex3,puesex4,puesex5,puesex6,puesex7,puesex8,puesex9,puesex10,puesex11,puesex12,no_aplic
"01",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"01",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"01",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"01",4,"43","2","8","0","0","0","0","3","27","0","3","0","0",""
"01",5,"70","7","10","0","0","0","0","7","46","0","0","0","0",""
"01",6,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","0","0","0","0",""
"01",7,"79","1","16","1","4","0","0","10","47","0","0","0","0",""
"01",8,"83","6","15","0","0","0","0","14","42","1","5","0","0",""
"01",9,"21","0","3","0","0","0","0","7","9","1","0","1","0",""
"01",10,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"01",11,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"01",12,"72","1","7","4","4","0","0","23","30","0","3","0","0",""
"01",13,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"01",14,"24","1","2","0","0","0","0","4","12","0","0","3","2",""
"01",15,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"01",16,"25","1","0","2","2","0","0","4","15","0","1","0","0",""
"01",17,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"01",18,"8","0","0","0","0","5","3","0","0","0","0","0","0",""
"01",19,"46","0","0","0","0","4","9","3","30","0","0","0","0",""
"01",20,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"01",21,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"01",22,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"01",23,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"01",24,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"01",25,"25","0","0","1","0","0","2","7","11","1","0","1","2",""
"01",26,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"01",27,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
