entidad,sexo_ne,cargfutt,cargfu1,cargfu2,cargfu3,cargfu4,cargfu5,cargfu6,cargfu7
"01",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"01",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"01",9,"","","","","","","",""
"02",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"02",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"02",9,"","","","","","","",""
"03",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"03",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"03",9,"","","","","","","",""
"04",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"04",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"04",9,"","","","","","","",""
"05",1,"63","29","16","0","0","1","11","6"
"05",2,"127","28","32","0","0","12","48","7"
"05",9,"","","","","","","",""
"06",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"06",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"06",9,"","","","","","","",""
"07",1,"73","67","0","0","0","0","4","2"
"07",2,"64","50","0","0","0","0","14","0"
"07",9,"","","","","","","",""
"08",1,"100","89","1","0","0","0","9","1"
"08",2,"125","101","0","0","0","0","24","0"
"08",9,"","","","","","","",""
"09",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"09",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"09",9,"","","","","","","",""
"10",1,"54","43","5","0","0","0","6","0"
"10",2,"39","21","3","0","0","1","14","0"
"10",9,"","","","","","","",""
"11",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"11",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"11",9,"","","","","","","",""
"12",1,"57","52","0","0","0","0","4","1"
"12",2,"46","46","0","0","0","0","0","0"
"12",9,"","","","","","","",""
"13",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"13",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"13",9,"","","","","","","",""
"14",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"14",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"14",9,"","","","","","","",""
"15",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"15",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"15",9,"","","","","","","",""
"16",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"16",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"16",9,"","","","","","","",""
"17",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"17",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"17",9,"","","","","","","",""
"18",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"18",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"18",9,"","","","","","","",""
"19",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"19",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"19",9,"","","","","","","",""
"20",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"20",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"20",9,"","","","","","","",""
"21",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"21",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"21",9,"","","","","","","",""
"22",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"22",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"22",9,"","","","","","","",""
"23",1,"25","22","2","0","0","0","1","0"
"23",2,"36","20","8","0","2","0","6","0"
"23",9,"","","","","","","",""
"24",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"24",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"24",9,"","","","","","","",""
"25",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"25",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"25",9,"","","","","","","",""
"26",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"26",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"26",9,"","","","","","","",""
"27",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"27",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"27",9,"","","","","","","",""
"28",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"28",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"28",9,"","","","","","","",""
"29",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"29",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"29",9,"","","","","","","",""
"30",1,"28","25","0","0","0","0","3","0"
"30",2,"27","23","0","0","0","0","4","0"
"30",9,"","","","","","","",""
"31",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"31",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"31",9,"","","","","","","",""
"32",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"32",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"32",9,"","","","","","","",""
