entidad,sexo,totalca1
"01",1,"NA"
"01",2,"NA"
"01",3,"NA"
"01",9,""
"02",1,"NA"
"02",2,"NA"
"02",3,"NA"
"02",9,""
"03",1,"NA"
"03",2,"NA"
"03",3,"NA"
"03",9,""
"04",1,"NA"
"04",2,"NA"
"04",3,"NA"
"04",9,""
"05",1,"63"
"05",2,"127"
"05",3,"190"
"05",9,""
"06",1,"NA"
"06",2,"NA"
"06",3,"NA"
"06",9,""
"07",1,"73"
"07",2,"64"
"07",3,"137"
"07",9,""
"08",1,"100"
"08",2,"125"
"08",3,"225"
"08",9,""
"09",1,"NA"
"09",2,"NA"
"09",3,"NA"
"09",9,""
"10",1,"54"
"10",2,"39"
"10",3,"93"
"10",9,""
"11",1,"NA"
"11",2,"NA"
"11",3,"NA"
"11",9,""
"12",1,"57"
"12",2,"46"
"12",3,"103"
"12",9,""
"13",1,"NA"
"13",2,"NA"
"13",3,"NA"
"13",9,""
"14",1,"NA"
"14",2,"NA"
"14",3,"NA"
"14",9,""
"15",1,"NA"
"15",2,"NA"
"15",3,"NA"
"15",9,""
"16",1,"NA"
"16",2,"NA"
"16",3,"NA"
"16",9,""
"17",1,"NA"
"17",2,"NA"
"17",3,"NA"
"17",9,""
"18",1,"NA"
"18",2,"NA"
"18",3,"NA"
"18",9,""
"19",1,"NA"
"19",2,"NA"
"19",3,"NA"
"19",9,""
"20",1,"NA"
"20",2,"NA"
"20",3,"NA"
"20",9,""
"21",1,"NA"
"21",2,"NA"
"21",3,"NA"
"21",9,""
"22",1,"NA"
"22",2,"NA"
"22",3,"NA"
"22",9,""
"23",1,"25"
"23",2,"36"
"23",3,"61"
"23",9,""
"24",1,"NA"
"24",2,"NA"
"24",3,"NA"
"24",9,""
"25",1,"NA"
"25",2,"NA"
"25",3,"NA"
"25",9,""
"26",1,"NA"
"26",2,"NA"
"26",3,"NA"
"26",9,""
"27",1,"NA"
"27",2,"NA"
"27",3,"NA"
"27",9,""
"28",1,"NA"
"28",2,"NA"
"28",3,"NA"
"28",9,""
"29",1,"NA"
"29",2,"NA"
"29",3,"NA"
"29",9,""
"30",1,"28"
"30",2,"27"
"30",3,"55"
"30",9,""
"31",1,"NA"
"31",2,"NA"
"31",3,"NA"
"31",9,""
"32",1,"NA"
"32",2,"NA"
"32",3,"NA"
"32",9,""
