entidad,rangedae,puesextt,puesex1,puesex2,puesex3,puesex4,puesex5,puesex6,puesex7,puesex8,puesex9,puesex10,puesex11,puesex12
"01",1,"50","0","0","1","0","0","0","19","30","0","0","0","0"
"01",2,"80","2","4","2","0","0","1","17","49","1","2","0","2"
"01",3,"85","3","17","2","3","2","4","10","37","1","4","2","0"
"01",4,"78","3","16","2","2","0","3","13","32","1","3","3","0"
"01",5,"84","3","10","0","3","3","3","5","55","0","0","0","2"
"01",6,"71","4","9","0","1","2","2","8","42","0","3","0","0"
"01",7,"25","4","2","1","1","1","1","3","12","0","0","0","0"
"01",8,"11","0","2","0","0","1","0","3","5","0","0","0","0"
"01",9,"12","0","1","0","0","0","0","4","7","0","0","0","0"
"01",99,"","","","","","","","","","","","",""
"02",1,"19","0","0","0","0","0","0","0","0","19","0","0","0"
"02",2,"216","1","4","5","12","0","0","0","0","57","137","0","0"
"02",3,"183","4","11","9","24","1","0","0","0","45","89","0","0"
"02",4,"200","5","28","9","31","1","4","0","0","28","94","0","0"
"02",5,"243","12","43","10","20","1","11","2","0","45","99","0","0"
"02",6,"207","15","25","12","11","8","5","2","2","23","104","0","0"
"02",7,"164","8","33","6","17","4","11","0","3","17","65","0","0"
"02",8,"85","7","11","7","7","2","4","0","0","10","37","0","0"
"02",9,"42","3","4","7","2","1","2","0","1","4","18","0","0"
"02",99,"","","","","","","","","","","","",""
"03",1,"35","0","0","1","1","0","0","9","21","1","2","0","0"
"03",2,"118","3","4","9","9","1","1","18","40","17","14","1","1"
"03",3,"99","5","5","3","9","3","6","13","33","9","12","0","1"
"03",4,"107","4","6","3","5","5","9","19","37","6","10","0","3"
"03",5,"72","3","5","0","1","4","8","8","28","7","7","0","1"
"03",6,"50","3","3","1","0","0","3","11","16","8","4","0","1"
"03",7,"37","2","3","2","0","0","1","6","17","3","3","0","0"
"03",8,"21","1","1","0","0","0","1","3","13","1","1","0","0"
"03",9,"10","0","1","0","0","0","1","2","6","0","0","0","0"
"03",99,"","","","","","","","","","","","",""
"04",1,"3","1","1","0","0","0","0","0","1","0","0","0","0"
"04",2,"73","2","1","2","0","0","1","16","48","2","1","0","0"
"04",3,"81","0","10","2","4","2","3","11","48","1","0","0","0"
"04",4,"89","11","14","3","2","1","12","11","28","4","3","0","0"
"04",5,"79","4","18","1","9","1","13","6","21","3","3","0","0"
"04",6,"78","6","21","1","3","4","9","5","19","2","8","0","0"
"04",7,"49","8","18","0","3","1","9","1","8","1","0","0","0"
"04",8,"15","6","1","0","0","0","2","1","2","3","0","0","0"
"04",9,"11","6","1","0","0","0","1","0","1","1","1","0","0"
"04",99,"","","","","","","","","","","","",""
"05",1,"38","0","0","0","0","0","0","0","0","14","24","0","0"
"05",2,"82","0","0","4","7","5","4","0","0","17","45","0","0"
"05",3,"125","0","0","7","19","8","11","0","0","25","55","0","0"
"05",4,"139","0","0","7","22","9","10","0","0","22","69","0","0"
"05",5,"160","1","1","9","13","13","22","0","0","14","87","0","0"
"05",6,"128","0","1","6","12","15","21","0","0","13","60","0","0"
"05",7,"80","0","0","5","2","14","6","0","0","11","42","0","0"
"05",8,"38","0","1","4","0","5","5","0","0","6","17","0","0"
"05",9,"34","0","1","1","0","9","5","0","0","6","12","0","0"
"05",99,"","","","","","","","","","","","",""
"06",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"06",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"06",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"06",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"06",5,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"06",6,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"06",7,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"06",8,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"06",9,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"06",99,"","28","47","19","40","8","14","","","61","129","",""
"07",1,"64","11","17","0","1","0","0","0","0","15","19","1","0"
"07",2,"237","21","41","7","10","1","0","0","1","69","86","1","0"
"07",3,"283","23","34","18","24","5","11","0","1","67","100","0","0"
"07",4,"269","26","22","17","22","13","22","0","0","60","87","0","0"
"07",5,"224","15","25","12","14","15","21","0","0","31","91","0","0"
"07",6,"198","6","8","6","11","10","10","0","0","43","102","2","0"
"07",7,"134","8","6","3","8","3","6","1","1","30","68","0","0"
"07",8,"55","5","1","1","4","0","3","0","0","16","25","0","0"
"07",9,"40","0","1","0","0","4","0","1","0","14","20","0","0"
"07",99,"","","","","","","","","","","","",""
"08",1,"35","0","0","0","1","0","0","0","0","9","25","0","0"
"08",2,"179","0","0","9","7","6","15","0","1","58","83","0","0"
"08",3,"262","1","2","16","17","18","46","13","22","41","86","0","0"
"08",4,"269","4","5","17","28","26","44","14","16","27","88","0","0"
"08",5,"315","6","7","11","14","20","43","12","21","43","138","0","0"
"08",6,"336","11","8","5","10","28","45","9","14","50","156","0","0"
"08",7,"209","5","9","7","6","17","32","7","8","27","91","0","0"
"08",8,"118","1","4","8","3","10","22","5","4","15","46","0","0"
"08",9,"108","6","1","3","4","17","17","17","1","15","27","0","0"
"08",99,"","","","","","","","","","","","",""
"09",1,"196","0","0","0","0","1","1","10","9","88","87","0","0"
"09",2,"602","3","5","5","3","21","26","45","92","179","223","0","0"
"09",3,"735","10","14","17","9","31","49","66","93","218","228","0","0"
"09",4,"1015","38","60","30","24","54","84","63","122","227","313","0","0"
"09",5,"1236","54","96","47","54","79","123","62","151","245","325","0","0"
"09",6,"964","43","67","46","43","54","66","33","74","191","347","0","0"
"09",7,"712","31","55","39","21","37","37","22","46","162","262","0","0"
"09",8,"502","34","54","39","14","22","16","25","31","87","180","0","0"
"09",9,"380","26","26","63","9","21","8","12","9","70","136","0","0"
"09",99,"","","","","","","","","","","","",""
"10",1,"37","0","0","1","0","0","0","0","0","14","22","0","0"
"10",2,"61","0","1","11","4","0","0","0","0","13","32","0","0"
"10",3,"49","2","1","8","4","2","4","0","0","9","19","0","0"
"10",4,"63","4","8","1","7","1","10","0","0","4","28","0","0"
"10",5,"91","5","15","7","5","0","9","0","0","5","45","0","0"
"10",6,"93","7","19","4","8","2","4","0","0","1","48","0","0"
"10",7,"75","9","7","8","10","2","5","0","0","2","32","0","0"
"10",8,"48","5","7","2","4","3","5","0","0","0","22","0","0"
"10",9,"28","3","2","5","4","0","1","0","0","0","13","0","0"
"10",99,"","","","","","","","","","","","",""
"11",1,"201","0","2","0","0","0","0","0","0","79","120","0","0"
"11",2,"439","15","23","9","18","0","0","0","0","118","247","4","5"
"11",3,"459","39","56","31","39","0","0","0","0","83","193","5","13"
"11",4,"369","32","59","16","54","0","0","0","0","44","149","5","10"
"11",5,"427","37","78","16","49","0","0","0","0","38","196","6","7"
"11",6,"257","20","32","8","15","0","0","0","0","28","142","8","4"
"11",7,"133","9","7","1","4","0","0","0","0","14","95","1","2"
"11",8,"65","1","2","1","1","0","0","0","0","5","52","1","2"
"11",9,"26","3","1","1","0","0","0","0","0","2","17","2","0"
"11",99,"","","","","","","","","","","","",""
"12",1,"37","0","0","0","0","1","0","0","0","16","20","0","0"
"12",2,"138","1","3","4","5","4","2","0","0","46","73","0","0"
"12",3,"207","10","12","7","11","5","5","0","3","55","99","0","0"
"12",4,"237","12","39","10","13","4","6","0","4","35","114","0","0"
"12",5,"233","25","33","4","13","10","10","0","4","26","108","0","0"
"12",6,"203","19","31","4","5","7","13","2","5","9","108","0","0"
"12",7,"143","19","21","1","3","6","12","0","1","11","69","0","0"
"12",8,"66","14","4","0","1","3","4","0","0","8","32","0","0"
"12",9,"51","4","3","0","0","2","2","0","1","10","29","0","0"
"12",99,"","","","","","","","","","","","",""
"13",1,"142","0","0","0","0","1","0","2","4","51","84","0","0"
"13",2,"193","0","2","0","2","4","3","9","28","46","99","0","0"
"13",3,"193","1","8","8","16","4","3","3","19","42","89","0","0"
"13",4,"159","6","12","9","13","4","11","5","15","20","64","0","0"
"13",5,"111","3","13","7","8","2","3","1","4","8","62","0","0"
"13",6,"107","2","18","3","7","0","2","1","4","8","62","0","0"
"13",7,"73","7","7","2","7","1","0","0","3","0","46","0","0"
"13",8,"45","4","4","0","4","3","1","0","1","2","26","0","0"
"13",9,"23","1","1","1","0","1","0","0","0","1","18","0","0"
"13",99,"","","","","","","","","","","","",""
"14",1,"270","1","1","10","7","7","10","53","76","58","47","0","0"
"14",2,"417","34","17","11","14","12","9","76","108","78","58","0","0"
"14",3,"404","47","50","6","11","23","15","37","97","72","46","0","0"
"14",4,"354","51","49","7","10","9","19","26","89","58","36","0","0"
"14",5,"304","38","40","5","10","7","11","17","111","40","25","0","0"
"14",6,"202","22","22","1","7","5","8","12","79","27","19","0","0"
"14",7,"133","13","8","1","4","0","5","11","57","17","17","0","0"
"14",8,"62","7","4","0","1","0","0","3","32","4","11","0","0"
"14",9,"39","5","2","0","0","0","0","1","21","7","3","0","0"
"14",99,"","","","","","","","","","","","",""
"15",1,"74","0","0","0","0","0","0","26","39","9","0","0","0"
"15",2,"426","1","0","0","0","0","2","130","250","27","16","0","0"
"15",3,"611","18","39","0","0","2","10","135","295","76","36","0","0"
"15",4,"710","34","74","0","0","5","16","149","319","68","45","0","0"
"15",5,"600","39","68","0","0","10","22","90","274","52","45","0","0"
"15",6,"516","40","73","0","0","8","11","82","201","59","42","0","0"
"15",7,"348","30","51","0","0","8","1","51","131","42","34","0","0"
"15",8,"215","29","15","0","0","4","1","37","82","22","25","0","0"
"15",9,"117","4","6","0","0","1","1","13","40","28","24","0","0"
"15",99,"","","","","","","","","","","","",""
"16",1,"21","0","0","0","1","1","0","8","8","2","1","0","0"
"16",2,"123","6","4","8","13","3","0","28","33","12","16","0","0"
"16",3,"354","15","27","29","37","12","16","67","100","26","25","0","0"
"16",4,"377","25","46","29","36","29","42","38","93","14","25","0","0"
"16",5,"307","32","48","15","31","16","55","14","70","12","14","0","0"
"16",6,"186","20","25","14","25","8","30","12","39","7","6","0","0"
"16",7,"109","11","23","3","16","2","9","4","27","7","7","0","0"
"16",8,"63","6","14","2","7","3","5","1","21","1","3","0","0"
"16",9,"18","0","3","1","0","0","1","0","2","2","9","0","0"
"16",99,"","","","","","","","","","","","",""
"17",1,"52","0","0","0","0","0","0","0","0","23","29","0","0"
"17",2,"132","1","2","2","7","3","1","0","0","46","70","0","0"
"17",3,"188","9","26","10","26","2","6","0","0","55","54","0","0"
"17",4,"195","16","34","13","20","5","7","0","0","44","56","0","0"
"17",5,"270","17","39","15","16","1","5","0","0","49","128","0","0"
"17",6,"184","4","30","2","6","5","16","0","0","25","96","0","0"
"17",7,"86","6","16","1","3","3","1","0","0","20","36","0","0"
"17",8,"41","4","5","2","2","2","1","0","0","7","18","0","0"
"17",9,"9","0","0","0","0","0","0","0","0","3","6","0","0"
"17",99,"","","","","","","","","","","","",""
"18",1,"14","0","0","0","0","1","0","0","2","4","7","0","0"
"18",2,"54","1","4","1","9","1","0","1","1","11","25","0","0"
"18",3,"106","5","13","4","9","3","3","3","2","9","55","0","0"
"18",4,"117","11","10","2","24","5","4","4","4","11","42","0","0"
"18",5,"123","9","17","2","24","6","7","1","4","10","43","0","0"
"18",6,"112","5","15","4","26","5","9","3","4","2","39","0","0"
"18",7,"60","2","14","2","8","4","5","1","2","2","20","0","0"
"18",8,"28","5","3","2","4","0","0","0","1","3","10","0","0"
