entidad,gdoestue,puesextt,puesex1,puesex2,puesex3,puesex4,puesex5,puesex6,puesex7,puesex8,puesex9,puesex10,puesex11,puesex12
"01",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"01",2,"9","0","0","0","0","0","0","9","0","0","0","0","0"
"01",3,"42","0","0","0","0","0","0","13","29","0","0","0","0"
"01",4,"133","0","1","1","0","0","0","33","98","0","0","0","0"
"01",5,"55","0","0","0","0","0","0","3","52","0","0","0","0"
"01",6,"239","18","51","7","10","7","11","24","90","2","11","5","3"
"01",7,"17","1","9","0","0","2","3","0","0","1","1","0","0"
"01",8,"1","0","0","0","0","0","0","0","0","0","0","0","1"
"01",9,"","","","","","","","","","","","",""
"02",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"02",2,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"02",3,"188","0","0","0","0","0","0","0","0","106","82","0","0"
"02",4,"497","0","0","0","0","0","0","0","0","98","399","0","0"
"02",5,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"02",6,"641","47","144","62","120","16","36","4","6","44","162","0","0"
"02",7,"33","8","15","3","4","2","1","0","0","0","0","0","0"
"02",8,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"02",9,"","","","","","","","","","","","",""
"03",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"03",2,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"03",3,"4","0","0","0","0","0","0","0","0","3","1","0","0"
"03",4,"212","0","0","0","0","0","0","39","153","10","8","0","2"
"03",5,"1","0","0","0","0","0","0","1","0","0","0","0","0"
"03",6,"332","21","28","19","25","13","30","49","58","39","44","1","5"
"03",7,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"03",8,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"03",9,"","","","","","","","","","","","",""
"04",1,"2","0","2","0","0","0","0","0","0","0","0","0","0"
"04",2,"12","6","2","0","0","0","0","0","1","3","0","0","0"
"04",3,"51","10","12","0","0","0","0","1","20","5","3","0","0"
"04",4,"78","5","1","0","0","0","0","13","49","6","4","0","0"
"04",5,"3","0","0","0","0","0","0","1","2","0","0","0","0"
"04",6,"313","21","60","9","21","8","44","36","103","3","8","0","0"
"04",7,"18","1","8","0","0","1","6","0","1","0","1","0","0"
"04",8,"1","1","0","0","0","0","0","0","0","0","0","0","0"
"04",9,"","","","","","","","","","","","",""
"05",1,"1","0","0","0","0","0","0","0","0","0","1","0","0"
"05",2,"11","0","0","0","0","0","0","0","0","8","3","0","0"
"05",3,"52","0","0","0","0","0","0","0","0","23","29","0","0"
"05",4,"122","0","0","0","0","0","0","0","0","41","81","0","0"
"05",5,"227","0","0","0","0","0","0","0","0","17","210","0","0"
"05",6,"399","1","3","42","74","76","79","0","0","39","85","0","0"
"05",7,"12","0","1","1","1","2","5","0","0","0","2","0","0"
"05",8,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"05",9,"","","","","","","","","","","","",""
"06",1,"11","0","0","0","0","0","0","0","0","6","5","0","0"
"06",2,"7","0","0","0","0","0","0","0","0","4","3","0","0"
"06",3,"12","0","0","0","0","0","0","0","0","8","4","0","0"
"06",4,"35","0","0","0","0","0","0","0","0","8","27","0","0"
"06",5,"55","0","0","0","0","0","0","0","0","1","54","0","0"
"06",6,"220","28","46","18","39","7","14","0","0","32","36","0","0"
"06",7,"6","0","1","1","1","1","0","0","0","2","0","0","0"
"06",8,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"06",9,"","","","","","","","","","","","",""
"07",1,"1","0","0","0","0","0","0","0","0","0","0","1","0"
"07",2,"42","0","0","0","0","0","0","0","0","26","16","0","0"
"07",3,"30","2","4","0","0","0","0","0","0","6","17","1","0"
"07",4,"454","14","28","0","0","0","0","0","0","149","262","1","0"
"07",5,"1","0","0","0","0","0","0","0","0","0","1","0","0"
"07",6,"920","93","114","60","90","42","60","2","3","158","297","1","0"
"07",7,"50","6","9","4","4","7","9","0","0","6","5","0","0"
"07",8,"6","0","0","0","0","2","4","0","0","0","0","0","0"
"07",9,"","","","","","","","","","","","",""
"08",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",2,"29","0","0","0","0","0","0","0","0","22","7","0","0"
"08",3,"56","0","0","0","0","0","0","0","0","35","21","0","0"
"08",4,"441","0","0","0","0","0","0","0","0","61","380","0","0"
"08",5,"95","0","0","0","0","0","0","0","0","23","72","0","0"
"08",6,"973","18","21","71","84","51","190","73","77","139","249","0","0"
"08",7,"226","15","14","5","6","85","71","4","10","5","11","0","0"
"08",8,"11","1","1","0","0","6","3","0","0","0","0","0","0"
"08",9,"","","","","","","","","","","","",""
"09",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",2,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",3,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",4,"4533","0","0","0","0","0","0","338","627","1467","2101","0","0"
"09",5,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",6,"1809","239","377","286","177","320","410","0","0","0","0","0","0"
"09",7,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",8,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",9,"","","","","","","","","","","","",""
"10",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",2,"1","0","0","0","0","0","0","0","0","0","1","0","0"
"10",3,"33","0","0","1","0","0","0","0","0","7","25","0","0"
"10",4,"52","0","0","0","0","0","0","0","0","8","44","0","0"
"10",5,"106","0","0","1","0","0","0","0","0","3","102","0","0"
"10",6,"343","32","57","45","45","10","35","0","0","30","89","0","0"
"10",7,"9","3","2","0","1","0","3","0","0","0","0","0","0"
"10",8,"1","0","1","0","0","0","0","0","0","0","0","0","0"
"10",9,"","","","","","","","","","","","",""
"11",1,"4","0","0","0","0","0","0","0","0","1","3","0","0"
"11",2,"6","0","0","0","0","0","0","0","0","2","4","0","0"
"11",3,"100","0","0","0","0","0","0","0","0","19","81","0","0"
"11",4,"320","0","0","0","0","0","0","0","0","98","222","0","0"
"11",5,"239","0","0","0","0","0","0","0","0","16","223","0","0"
"11",6,"1525","122","206","78","155","0","0","0","0","257","643","28","36"
"11",7,"180","34","53","5","25","0","0","0","0","17","35","4","7"
"11",8,"2","0","1","0","0","0","0","0","0","1","0","0","0"
"11",9,"","","","","","","","","","","","",""
"12",1,"193","3","3","1","1","0","0","0","0","56","129","0","0"
"12",2,"15","0","0","0","0","0","0","0","0","4","11","0","0"
"12",3,"64","0","0","0","1","0","0","0","0","16","47","0","0"
"12",4,"143","2","4","1","2","0","0","0","1","31","102","0","0"
"12",5,"128","0","0","0","0","0","0","0","0","7","121","0","0"
"12",6,"753","98","134","28","46","38","54","2","16","101","236","0","0"
"12",7,"16","0","5","0","1","3","0","0","1","0","6","0","0"
"12",8,"3","1","0","0","0","1","0","0","0","1","0","0","0"
"12",9,"","","","","","","","","","","","",""
"13",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"13",2,"14","0","0","0","0","0","0","0","0","4","10","0","0"
"13",3,"42","0","0","0","0","0","0","0","0","10","32","0","0"
"13",4,"120","0","0","0","0","0","0","0","0","35","85","0","0"
"13",5,"103","0","0","0","0","0","0","0","0","3","100","0","0"
"13",6,"666","17","38","25","49","14","9","16","61","120","317","0","0"
"13",7,"99","7","26","5","8","5","14","5","17","6","6","0","0"
"13",8,"2","0","1","0","0","1","0","0","0","0","0","0","0"
"13",9,"","","","","","","","","","","","",""
"14",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"14",2,"0","0","0","0","0","0","0","0","0","0","0","0","0"
