entidad,fun_oadm,sexostt,sexos1,sexos2,no_aplic
"01",1,"9","2","7",""
"01",2,"10","1","9",""
"01",3,"2","1","1",""
"01",4,"1","0","1",""
"01",5,"NA","NA","NA","1"
"01",6,"NA","NA","NA","1"
"01",7,"4","1","3",""
"01",8,"1","0","1",""
"01",9,"17","6","11",""
"01",10,"36","17","19",""
"01",11,"12","0","12",""
"01",12,"7","2","5",""
"01",13,"5","4","1",""
"01",14,"110","84","26",""
"01",15,"44","19","25",""
"01",16,"13","10","3",""
"01",17,"5","3","2",""
"01",18,"1","1","0",""
"01",19,"NA","NA","NA","1"
"01",20,"1","0","1",""
"01",21,"1","1","0",""
"01",99,"","","",""
"02",1,"7","5","2",""
"02",2,"9","3","6",""
"02",3,"39","17","22",""
"02",4,"11","4","7",""
"02",5,"3","2","1",""
"02",6,"67","43","24",""
"02",7,"24","6","18",""
"02",8,"1","0","1",""
"02",9,"19","15","4",""
"02",10,"67","44","23",""
"02",11,"19","7","12",""
"02",12,"23","6","17",""
"02",13,"NA","NA","NA","1"
"02",14,"63","48","15",""
"02",15,"37","25","12",""
"02",16,"15","8","7",""
"02",17,"17","9","8",""
"02",18,"4","2","2",""
"02",19,"4","1","3",""
"02",20,"7","0","7",""
"02",21,"48","21","27",""
"02",99,"","","",""
"03",1,"8","5","3",""
"03",2,"3","0","3",""
"03",3,"NA","NA","NA","1"
"03",4,"3","1","2",""
"03",5,"2","1","1",""
"03",6,"NA","NA","NA","1"
"03",7,"6","1","5",""
"03",8,"1","1","0",""
"03",9,"9","7","2",""
"03",10,"33","21","12",""
"03",11,"3","1","2",""
"03",12,"NA","NA","NA","1"
"03",13,"0","0","0",""
"03",14,"0","0","0",""
"03",15,"14","11","3",""
"03",16,"NA","NA","NA","1"
"03",17,"2","2","0",""
"03",18,"2","1","1",""
"03",19,"NA","NA","NA","1"
"03",20,"1","0","1",""
"03",21,"41","10","31",""
"03",99,"","","",""
"04",1,"13","5","8",""
"04",2,"71","23","48",""
"04",3,"NA","NA","NA","1"
"04",4,"11","5","6",""
"04",5,"NA","NA","NA","1"
"04",6,"NA","NA","NA","1"
"04",7,"NA","NA","NA","1"
"04",8,"2","0","2",""
