entidad,org_mate,sexostt,sexos1,sexos2,no_aplic
"01",1,"NA","NA","NA","1"
"01",2,"NA","NA","NA","1"
"01",3,"NA","NA","NA","1"
"01",4,"44","5","39",""
"01",5,"70","15","55",""
"01",6,"7","6","1",""
"01",7,"82","12","70",""
"01",8,"87","21","66",""
"01",9,"19","8","11",""
"01",10,"NA","NA","NA","1"
"01",11,"NA","NA","NA","1"
"01",12,"72","28","44",""
"01",13,"NA","NA","NA","1"
"01",14,"24","6","18",""
"01",15,"NA","NA","NA","1"
"01",16,"49","28","21",""
"01",17,"NA","NA","NA","1"
"01",18,"26","8","18",""
"01",19,"36","7","29",""
"01",20,"NA","NA","NA","1"
"01",21,"NA","NA","NA","1"
"01",22,"NA","NA","NA","1"
"01",23,"NA","NA","NA","1"
"01",24,"NA","NA","NA","1"
"01",25,"24","9","15",""
"01",26,"NA","NA","NA","1"
"01",27,"NA","NA","NA","1"
"01",28,"NA","NA","NA","1"
"01",99,"","","",""
"02",1,"NA","NA","NA","1"
"02",2,"NA","NA","NA","1"
"02",3,"NA","NA","NA","1"
"02",4,"467","136","331",""
"02",5,"316","72","244",""
"02",6,"NA","NA","NA","1"
"02",7,"177","54","123",""
"02",8,"40","19","21",""
"02",9,"25","8","17",""
"02",10,"NA","NA","NA","1"
"02",11,"NA","NA","NA","1"
"02",12,"55","16","39",""
"02",13,"202","105","97",""
"02",14,"NA","NA","NA","1"
"02",15,"NA","NA","NA","1"
"02",16,"NA","NA","NA","1"
"02",17,"NA","NA","NA","1"
"02",18,"42","12","30",""
"02",19,"86","21","65",""
"02",20,"NA","NA","NA","1"
"02",21,"NA","NA","NA","1"
"02",22,"NA","NA","NA","1"
"02",23,"4","1","3",""
"02",24,"NA","NA","NA","1"
"02",25,"NA","NA","NA","1"
"02",26,"NSS","NSS","NSS",""
"02",27,"NA","NA","NA","1"
"02",28,"58","8","50",""
"02",99,"","","",""
"03",1,"NA","NA","NA","1"
"03",2,"NA","NA","NA","1"
"03",3,"23","12","11",""
"03",4,"83","26","57",""
"03",5,"99","33","66",""
"03",6,"91","31","60",""
"03",7,"58","23","35",""
"03",8,"45","12","33",""
"03",9,"13","4","9",""
"03",10,"NA","NA","NA","1"
"03",11,"NA","NA","NA","1"
"03",12,"100","47","53",""
"03",13,"NA","NA","NA","1"
"03",14,"NA","NA","NA","1"
"03",15,"15","6","9",""
"03",16,"NA","NA","NA","1"
"03",17,"NA","NA","NA","1"
"03",18,"22","8","14",""
"03",19,"23","10","13",""
"03",20,"NA","NA","NA","1"
"03",21,"NA","NA","NA","1"
"03",22,"NA","NA","NA","1"
"03",23,"5","2","3",""
"03",24,"NA","NA","NA","1"
"03",25,"22","9","13",""
"03",26,"NA","NA","NA","1"
"03",27,"NA","NA","NA","1"
"03",28,"NA","NA","NA","1"
"03",99,"","","",""
"04",1,"14","3","11",""
"04",2,"8","2","6",""
"04",3,"17","3","14",""
"04",4,"49","15","34",""
"04",5,"60","14","46",""
"04",6,"NA","NA","NA","1"
"04",7,"88","17","71",""
"04",8,"40","8","32",""
"04",9,"5","3","2",""
"04",10,"88","60","28",""
"04",11,"NA","NA","NA","1"
"04",12,"44","13","31",""
"04",13,"26","6","20",""
"04",14,"NA","NA","NA","1"
"04",15,"NA","NA","NA","1"
"04",16,"14","1","13",""
"04",17,"NA","NA","NA","1"
"04",18,"32","12","20",""
"04",19,"40","11","29",""
"04",20,"NA","NA","NA","1"
"04",21,"NA","NA","NA","1"
"04",22,"NA","NA","NA","1"
"04",23,"6","2","4",""
"04",24,"23","6","17",""
"04",25,"34","14","20",""
"04",26,"NA","NA","NA","1"
"04",27,"NA","NA","NA","1"
"04",28,"NA","NA","NA","1"
"04",99,"","","",""
"05",1,"NA","NA","NA","1"
"05",2,"NA","NA","NA","1"
"05",3,"42","12","30",""
"05",4,"110","38","72",""
"05",5,"86","28","58",""
"05",6,"131","53","78",""
"05",7,"187","46","141",""
"05",8,"60","13","47",""
"05",9,"NA","NA","NA","1"
"05",10,"NA","NA","NA","1"
"05",11,"NA","NA","NA","1"
"05",12,"103","38","65",""
"05",13,"NA","NA","NA","1"
"05",14,"NA","NA","NA","1"
"05",15,"NA","NA","NA","1"
"05",16,"NA","NA","NA","1"
"05",17,"NA","NA","NA","1"
"05",18,"NA","NA","NA","1"
"05",19,"45","20","25",""
"05",20,"NA","NA","NA","1"
"05",21,"NA","NA","NA","1"
"05",22,"NA","NA","NA","1"
"05",23,"9","5","4",""
"05",24,"85","32","53",""
"05",25,"54","20","34",""
"05",26,"NA","NA","NA","1"
"05",27,"NA","NA","NA","1"
"05",28,"NA","NA","NA","1"
"05",99,"","","",""
"06",1,"NA","NA","NA","1"
"06",2,"NA","NA","NA","1"
"06",3,"13","9","4",""
"06",4,"NA","NA","NA","1"
"06",5,"72","28","44",""
"06",6,"65","28","37",""
"06",7,"40","8","32",""
"06",8,"32","9","23",""
"06",9,"5","3","2",""
"06",10,"NA","NA","NA","1"
"06",11,"NA","NA","NA","1"
"06",12,"93","37","56",""
"06",13,"NA","NA","NA","1"
"06",14,"NA","NA","NA","1"
"06",15,"NA","NA","NA","1"
"06",16,"4","3","1",""
"06",17,"NA","NA","NA","1"
"06",18,"NA","NA","NA","1"
"06",19,"NA","NA","NA","1"
"06",20,"NA","NA","NA","1"
"06",21,"NA","NA","NA","1"
"06",22,"NA","NA","NA","1"
"06",23,"NA","NA","NA","1"
"06",24,"23","4","19",""
"06",25,"44","14","30",""
"06",26,"NA","NA","NA","1"
"06",27,"NA","NA","NA","1"
"06",28,"NSS","NSS","NSS",""
"06",99,"","","",""
"07",1,"199","108","91",""
"07",2,"NA","NA","NA","1"
"07",3,"NA","NA","NA","1"
"07",4,"379","135","244",""
"07",5,"222","99","123",""
"07",6,"181","114","67",""
"07",7,"174","39","135",""
"07",8,"8","5","3",""
"07",9,"38","14","24",""
"07",10,"48","33","15",""
"07",11,"NA","NA","NA","1"
"07",12,"105","49","56",""
