entidad,reg_cont,orgsextt,orgsex1,orgsex2,orgsex4,orgsex5
"01",1,"320","79","122","56","63"
"01",2,"499","74","265","96","64"
"01",3,"0","0","0","0","0"
"01",4,"0","0","0","0","0"
"01",5,"0","0","0","0","0"
"01",9,"","","","",""
"02",1,"1292","355","619","173","145"
"02",2,"664","97","401","93","73"
"02",3,"0","0","0","0","0"
"02",4,"0","0","0","0","0"
"02",5,"0","0","0","0","0"
"02",9,"","","","",""
"03",1,"547","192","268","39","48"
"03",2,"181","32","108","23","18"
"03",3,"0","0","0","0","0"
"03",4,"0","0","0","0","0"
"03",5,"0","0","0","0","0"
"03",9,"","","","",""
"04",1,"371","66","191","48","66"
"04",2,"473","124","207","86","56"
"04",3,"0","0","0","0","0"
"04",4,"0","0","0","0","0"
"04",5,"0","0","0","0","0"
"04",9,"","","","",""
"05",1,"933","245","354","144","190"
"05",2,"469","60","253","53","103"
"05",3,"0","0","0","0","0"
"05",4,"0","0","0","0","0"
"05",5,"0","0","0","0","0"
"05",9,"","","","",""
"06",1,"260","96","133","14","17"
"06",2,"160","31","104","14","11"
"06",3,"0","0","0","0","0"
"06",4,"0","0","0","0","0"
"06",5,"42","17","11","8","6"
"06",9,"","","","",""
"07",1,"2200","589","738","496","377"
"07",2,"254","45","153","26","30"
"07",3,"0","0","0","0","0"
"07",4,"0","0","0","0","0"
"07",5,"181","98","83","0","0"
"07",9,"","","","",""
"08",1,"1812","581","762","274","195"
"08",2,"768","137","491","56","84"
"08",3,"0","0","0","0","0"
"08",4,"178","29","58","38","53"
"08",5,"0","0","0","0","0"
"08",9,"","","","",""
"09",1,"2650","796","934","464","456"
"09",2,"7797","2127","2929","1277","1464"
"09",3,"0","0","0","0","0"
"09",4,"0","0","0","0","0"
"09",5,"0","0","0","0","0"
"09",9,"","","","",""
"10",1,"444","123","159","78","84"
"10",2,"288","13","179","40","56"
"10",3,"59","59","0","0","0"
"10",4,"224","0","93","68","63"
"10",5,"0","0","0","0","0"
"10",9,"","","","",""
"11",1,"1264","415","658","101","90"
"11",2,"1909","393","1193","201","122"
"11",3,"0","0","0","0","0"
"11",4,"39","0","0","28","11"
"11",5,"0","0","0","0","0"
"11",9,"","","","",""
"12",1,"1109","351","511","145","102"
"12",2,"374","34","295","15","30"
"12",3,"345","121","183","19","22"
"12",4,"0","0","0","0","0"
"12",5,"0","0","0","0","0"
"12",9,"","","","",""
"13",1,"912","207","515","104","86"
"13",2,"122","2","95","7","18"
"13",3,"0","0","0","0","0"
"13",4,"398","110","199","44","45"
"13",5,"0","0","0","0","0"
"13",9,"","","","",""
"14",1,"997","450","313","121","113"
"14",2,"1715","497","862","142","214"
"14",3,"255","107","115","11","22"
"14",4,"114","30","24","40","20"
"14",5,"91","36","33","11","11"
"14",9,"","","","",""
"15",1,"837","342","267","135","93"
"15",2,"4269","1272","2189","431","377"
"15",3,"0","0","0","0","0"
"15",4,"2","0","0","1","1"
"15",5,"0","0","0","0","0"
"15",9,"","","","",""
"16",1,"268","105","126","22","15"
"16",2,"1189","331","688","72","98"
"16",3,"639","209","257","98","75"
"16",4,"0","0","0","0","0"
"16",5,"0","0","0","0","0"
"16",9,"","","","",""
"17",1,"599","163","326","45","65"
"17",2,"500","96","288","70","46"
"17",3,"491","169","198","65","59"
"17",4,"0","0","0","0","0"
"17",5,"0","0","0","0","0"
"17",9,"","","","",""
"18",1,"334","119","159","37","19"
"18",2,"461","47","313","40","61"
"18",3,"0","0","0","0","0"
"18",4,"56","16","27","7","6"
"18",5,"0","0","0","0","0"
"18",9,"","","","",""
"19",1,"1856","438","476","510","432"
"19",2,"441","30","148","109","154"
"19",3,"0","0","0","0","0"
"19",4,"136","1","2","36","97"
"19",5,"0","0","0","0","0"
"19",9,"","","","",""
"20",1,"1264","356","427","247","234"
"20",2,"710","156","320","95","139"
"20",3,"562","210","217","68","67"
"20",4,"0","0","0","0","0"
"20",5,"0","0","0","0","0"
"20",9,"","","","",""
"21",1,"365","142","171","36","16"
"21",2,"867","201","526","79","61"
"21",3,"0","0","0","0","0"
"21",4,"241","61","107","36","37"
"21",5,"273","81","111","36","45"
"21",9,"","","","",""
"22",1,"1032","262","591","58","121"
"22",2,"90","5","4","45","36"
"22",3,"185","44","93","22","26"
"22",4,"0","0","0","0","0"
"22",5,"0","0","0","0","0"
"22",9,"","","","",""
"23",1,"880","239","395","110","136"
"23",2,"224","6","150","26","42"
"23",3,"0","0","0","0","0"
"23",4,"153","49","57","30","17"
"23",5,"0","0","0","0","0"
"23",9,"","","","",""
"24",1,"293","152","105","24","12"
"24",2,"1057","222","637","87","111"
"24",3,"153","35","89","9","20"
"24",4,"0","0","0","0","0"
"24",5,"0","0","0","0","0"
"24",9,"","","","",""
"25",1,"507","240","213","37","17"
"25",2,"703","146","490","39","28"
"25",3,"207","49","123","21","14"
"25",4,"15","1","2","11","1"
"25",5,"0","0","0","0","0"
"25",9,"","","","",""
"26",1,"900","336","449","53","62"
"26",2,"832","173","484","71","104"
"26",3,"NSS","NSS","NSS","NSS","NSS"
"26",4,"59","10","28","10","11"
"26",5,"NSS","NSS","NSS","NSS","NSS"
"26",9,"","","","",""
"27",1,"788","192","449","83","64"
"27",2,"719","147","482","43","47"
"27",3,"107","0","0","64","43"
"27",4,"0","0","0","0","0"
"27",5,"5","0","0","3","2"
"27",9,"","","","",""
"28",1,"687","221","226","121","119"
"28",2,"822","142","364","153","163"
"28",3,"16","6","4","1","5"
"28",4,"0","0","0","0","0"
"28",5,"0","0","0","0","0"
"28",9,"","","","",""
"29",1,"62","16","40","2","4"
"29",2,"202","34","128","20","20"
"29",3,"3","0","0","0","3"
"29",4,"11","4","1","4","2"
"29",5,"303","90","148","35","30"
"29",9,"","","","",""
"30",1,"1053","420","506","58","69"
"30",2,"986","245","602","77","62"
"30",3,"401","144","134","87","36"
"30",4,"0","0","0","0","0"
"30",5,"0","0","0","0","0"
"30",9,"","","","",""
"31",1,"748","181","400","80","87"
"31",2,"303","62","21","131","89"
"31",3,"0","0","0","0","0"
"31",4,"0","0","0","0","0"
"31",5,"0","0","0","0","0"
"31",9,"","","","",""
"32",1,"273","105","138","16","14"
"32",2,"387","76","228","48","35"
"32",3,"261","104","135","13","9"
"32",4,"0","0","0","0","0"
"32",5,"0","0","0","0","0"
"32",9,"","","","",""
