entidad,sexo_ne,puestott,puesto1,puesto2,puesto3,puesto4,puesto5,puesto6,puesto7,puesto8
"01",1,"153","6","21","19","8","9","82","3","5"
"01",2,"387","3","14","61","10","14","269","12","4"
"01",9,"","","","","","","","",""
"02",1,"452","13","49","55","65","18","4","248","0"
"02",2,"1020","4","47","159","124","37","6","643","0"
"02",9,"","","","","","","","",""
"03",1,"224","6","23","21","19","13","89","52","1"
"03",2,"376","1","21","28","25","30","211","53","7"
"03",9,"","","","","","","","",""
"04",1,"190","9","51","44","9","9","51","17","0"
"04",2,"398","6","44","85","21","50","176","16","0"
"04",9,"","","","","","","","",""
"05",1,"305","16","39","1","43","78","0","128","0"
"05",2,"607","2","31","4","75","84","0","411","0"
"05",9,"","","","","","","","",""
"06",1,"144","6","22","28","19","8","0","61","0"
"06",2,"248","4","14","47","40","14","0","129","0"
"06",9,"","","","","","","","",""
"07",1,"732","27","124","115","64","51","2","345","4"
"07",2,"974","3","48","155","94","73","3","598","0"
"07",9,"","","","","","","","",""
"08",1,"747","20","113","34","76","142","77","285","0"
"08",2,"1311","6","88","36","90","264","87","740","0"
"08",9,"","","","","","","","",""
"09",1,"2923","39","234","239","286","320","338","1467","0"
"09",2,"3863","31","140","377","177","410","627","2101","0"
"09",9,"","","","","","","","",""
"10",1,"195","12","43","35","47","10","0","48","0"
"10",2,"431","6","20","60","46","38","0","261","0"
"10",9,"","","","","","","","",""
"11",1,"808","14","112","156","83","0","0","411","32"
"11",2,"1851","6","151","260","180","0","0","1211","43"
"11",9,"","","","","","","","",""
"12",1,"506","15","97","104","30","42","2","216","0"
"12",2,"989","7","61","146","51","54","18","652","0"
"12",9,"","","","","","","","",""
"13",1,"319","5","41","24","30","20","21","178","0"
"13",2,"809","6","30","65","57","23","78","550","0"
"13",9,"","","","","","","","",""
"14",1,"1120","30","171","218","41","63","236","361","0"
"14",2,"1347","4","77","193","64","77","670","262","0"
"14",9,"","","","","","","","",""
"15",1,"1614","41","244","195","0","38","713","383","0"
"15",2,"2456","14","154","326","0","64","1631","267","0"
"15",9,"","","","","","","","",""
"16",1,"645","13","87","115","101","74","172","83","0"
"16",2,"1071","4","54","190","166","158","393","106","0"
"16",9,"","","","","","","","",""
"17",1,"428","10","23","57","45","21","0","272","0"
"17",2,"812","7","43","152","80","37","0","493","0"
"17",9,"","","","","","","","",""
"18",1,"182","13","20","38","17","28","13","53","0"
"18",2,"499","3","12","78","104","28","20","254","0"
"18",9,"","","","","","","","",""
"19",1,"469","11","70","164","14","0","139","71","0"
"19",2,"626","3","46","180","7","0","231","159","0"
"19",9,"","","","","","","","",""
"20",1,"722","20","80","91","67","16","11","437","0"
"20",2,"964","8","59","97","103","58","15","624","0"
"20",9,"","","","","","","","",""
"21",1,"485","16","49","53","73","45","0","249","0"
"21",2,"915","4","22","85","58","86","0","660","0"
"21",9,"","","","","","","","",""
"22",1,"311","7","42","16","34","35","148","29","0"
"22",2,"688","5","33","65","56","121","397","11","0"
"22",9,"","","","","","","","",""
"23",1,"294","10","29","76","35","37","36","71","0"
"23",2,"602","5","30","153","52","56","55","251","0"
"23",9,"","","","","","","","",""
"24",1,"409","6","47","49","54","64","17","172","0"
"24",2,"831","9","12","43","49","127","32","559","0"
"24",9,"","","","","","","","",""
"25",1,"436","10","101","52","79","46","0","148","0"
"25",2,"828","5","55","67","109","62","0","530","0"
"25",9,"","","","","","","","",""
"26",1,"519","12","63","104","83","17","0","240","0"
"26",2,"961","8","28","168","137","43","0","577","0"
"26",9,"","","","","","","","",""
"27",1,"339","14","36","56","45","13","28","147","0"
"27",2,"931","6","57","140","126","35","80","487","0"
"27",9,"","","","","","","","",""
"28",1,"369","10","72","51","1","36","50","149","0"
"28",2,"594","3","33","57","3","84","47","367","0"
"28",9,"","","","","","","","",""
"29",1,"144","4","14","20","22","9","21","54","0"
"29",2,"317","4","16","25","26","20","46","180","0"
"29",9,"","","","","","","","",""
"30",1,"809","23","187","94","40","62","334","69","0"
"30",2,"1242","5","132","187","29","94","728","67","0"
"30",9,"","","","","","","","",""
"31",1,"243","6","16","16","26","41","83","55","0"
"31",2,"421","5","34","35","27","94","195","31","0"
"31",9,"","","","","","","","",""
"32",1,"285","6","47","17","20","29","87","79","0"
"32",2,"501","7","49","31","24","72","265","53","0"
"32",9,"","","","","","","","",""
