entidad,org_juad,totalca1
"01",1,"540"
"01",2,"279"
"01",3,"819"
"01",9,""
"02",1,"1472"
"02",2,"484"
"02",3,"1956"
"02",9,""
"03",1,"600"
"03",2,"128"
"03",3,"728"
"03",9,""
"04",1,"588"
"04",2,"256"
"04",3,"844"
"04",9,""
"05",1,"912"
"05",2,"490"
"05",3,"1402"
"05",9,""
"06",1,"392"
"06",2,"70"
"06",3,"462"
"06",9,""
"07",1,"1706"
"07",2,"929"
"07",3,"2635"
"07",9,""
"08",1,"2058"
"08",2,"700"
"08",3,"2758"
"08",9,""
"09",1,"6786"
"09",2,"3661"
"09",3,"10447"
"09",9,""
"10",1,"626"
"10",2,"389"
"10",3,"1015"
"10",9,""
"11",1,"2659"
"11",2,"553"
"11",3,"3212"
"11",9,""
"12",1,"1495"
"12",2,"333"
"12",3,"1828"
"12",9,""
"13",1,"1128"
"13",2,"304"
"13",3,"1432"
"13",9,""
"14",1,"2467"
"14",2,"705"
"14",3,"3172"
"14",9,""
"15",1,"4070"
"15",2,"1038"
"15",3,"5108"
"15",9,""
"16",1,"1716"
"16",2,"380"
"16",3,"2096"
"16",9,""
"17",1,"1240"
"17",2,"350"
"17",3,"1590"
"17",9,""
"18",1,"681"
"18",2,"170"
"18",3,"851"
"18",9,""
"19",1,"1095"
"19",2,"1338"
"19",3,"2433"
"19",9,""
"20",1,"1686"
"20",2,"850"
"20",3,"2536"
"20",9,""
"21",1,"1400"
"21",2,"346"
"21",3,"1746"
"21",9,""
"22",1,"999"
"22",2,"308"
"22",3,"1307"
"22",9,""
"23",1,"896"
"23",2,"361"
"23",3,"1257"
"23",9,""
"24",1,"1240"
"24",2,"263"
"24",3,"1503"
"24",9,""
"25",1,"1264"
"25",2,"168"
"25",3,"1432"
"25",9,""
"26",1,"1480"
"26",2,"311"
"26",3,"1791"
"26",9,""
"27",1,"1270"
"27",2,"349"
"27",3,"1619"
"27",9,""
"28",1,"963"
"28",2,"562"
"28",3,"1525"
"28",9,""
"29",1,"461"
"29",2,"120"
"29",3,"581"
"29",9,""
"30",1,"2051"
"30",2,"389"
"30",3,"2440"
"30",9,""
"31",1,"664"
"31",2,"387"
"31",3,"1051"
"31",9,""
"32",1,"786"
"32",2,"135"
"32",3,"921"
"32",9,""
