entidad,caclog1,caclog2,caclog3,caclog4,caclog5,caclog6,caclog7,caclog8,caclog9,caclogne
"01","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","100"
"02","94.1",".36","5.54","0","0","0","0","0","0",""
"03","92.91",".69","5.38","0","1.02","0","0","0","0",""
"04","100","0","0","0","0","0","0","0","0",""
"05","83.53","1.62","14.85","0","0","0","0","0","0",""
"06","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","100"
"07","94.25",".48","5.11",".16","0","0","0","0","0",""
"08","93.92","1.82","4.15","0",".11","0","0","0","0",""
"09","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","100"
"10","86.65","3.78","9.48",".08",".01","0","0","0","0",""
"11","94.9","2.18","2.92","0","0","0","0","0","0",""
"12","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","100"
"13","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","100"
"14","89.03","2.15","8.58","0",".24","0","0","0","0",""
"15",".8439",".027",".0875",".0002",".0414","0","0","0","0","99"
"16","89.42",".32","7.85","0",".03","2.38","0","0","0",""
"17","NA","NA","NA","NA","NA","NA","NA","NA","NA",""
"18","90.07","1.67","8.26","0","0","0","0","0","0",""
"19","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","100"
"20","0","16.7473","83.2527","0","0","0","0","0","0",""
"21","83","4","13","0","0","0","0","0","0",""
"22","94.58",".62","4.8","0","0","0","0","0","0",""
"23","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","100"
"24","NA","NA","NA","NA","NA","NA","NA","NA","NA",""
"25","16","2","47","0","35","0","0","0","0",""
"26","89.53",".73","6.67","NSS","3.06","NSS","NSS","NSS","NSS",".01"
"27","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","100"
"28","85.3","3.35","8.64","0","2.71","0","0","0","0",""
"29","92.3","2.72","2.5","0","2.48","0","0","0","0",""
"30","94.85",".87","4.27","0",".01","0","0","0","0",""
"31","93.46","1.85","4.69","0","0","0","0","0","0",""
"32","92.75","2.1","5.14",".01","0","0","0","0","0",""
