entidad,procedel,sexoidtt,sexoid1,sexoid2,sexoid3,sexoid4
"01",1,"1","1","0","0","0"
"01",2,"1","1","0","0","0"
"01",3,"0","0","0","0","0"
"01",4,"0","0","0","0","0"
"01",5,"0","0","0","0","0"
"01",6,"0","0","0","0","0"
"01",9,"","","","",""
"02",1,"24","23","1","0","0"
"02",2,"6","6","0","0","0"
"02",3,"0","0","0","0","0"
"02",4,"0","0","0","0","0"
"02",5,"0","0","0","0","0"
"02",6,"0","0","0","0","0"
"02",9,"","","","",""
"03",1,"12","12","0","0","0"
"03",2,"0","0","0","0","0"
"03",3,"0","0","0","0","0"
"03",4,"0","0","0","0","0"
"03",5,"0","0","0","0","0"
"03",6,"0","0","0","0","0"
"03",9,"","","","",""
"04",1,"0","0","0","0","0"
"04",2,"0","0","0","0","0"
"04",3,"0","0","0","0","0"
"04",4,"0","0","0","0","0"
"04",5,"0","0","0","0","0"
"04",6,"0","0","0","0","0"
"04",9,"","","","",""
"05",1,"0","0","0","0","0"
"05",2,"0","0","0","0","0"
"05",3,"0","0","0","0","0"
"05",4,"0","0","0","0","0"
"05",5,"0","0","0","0","0"
"05",6,"0","0","0","0","0"
"05",9,"","","","",""
"06",1,"0","0","0","0","0"
"06",2,"0","0","0","0","0"
"06",3,"0","0","0","0","0"
"06",4,"0","0","0","0","0"
"06",5,"0","0","0","0","0"
"06",6,"0","0","0","0","0"
"06",9,"","","","",""
"07",1,"170","164","6","0","0"
"07",2,"37","36","1","0","0"
"07",3,"0","0","0","0","0"
"07",4,"0","0","0","0","0"
"07",5,"0","0","0","0","0"
"07",6,"0","0","0","0","0"
"07",9,"","","","",""
"08",1,"NSS","NSS","NSS","NSS","NSS"
"08",2,"NSS","NSS","NSS","NSS","NSS"
"08",3,"NSS","NSS","NSS","NSS","NSS"
"08",4,"NSS","NSS","NSS","NSS","NSS"
"08",5,"NSS","NSS","NSS","NSS","NSS"
"08",6,"NSS","NSS","NSS","NSS","NSS"
"08",9,"","","","",""
"09",1,"40","37","3","0","0"
"09",2,"4","4","0","0","0"
"09",3,"0","0","0","0","0"
"09",4,"0","0","0","0","0"
"09",5,"0","0","0","0","0"
"09",6,"0","0","0","0","0"
"09",9,"","","","",""
"10",1,"19","16","3","0","0"
"10",2,"2","2","0","0","0"
"10",3,"0","0","0","0","0"
"10",4,"0","0","0","0","0"
"10",5,"0","0","0","0","0"
"10",6,"0","0","0","0","0"
"10",9,"","","","",""
"12",1,"34","30","4","0","0"
"12",2,"1","1","0","0","0"
"12",3,"0","0","0","0","0"
"12",4,"0","0","0","0","0"
"12",5,"0","0","0","0","0"
"12",6,"0","0","0","0","0"
"12",9,"","","","",""
"13",1,"47","37","9","1","0"
"13",2,"11","11","0","0","0"
"13",3,"4","4","0","0","0"
"13",4,"0","0","0","0","0"
"13",5,"0","0","0","0","0"
"13",6,"0","0","0","0","0"
"13",9,"","","","",""
"14",1,"53","49","4","0","0"
"14",2,"5","5","0","0","0"
"14",3,"3","3","0","0","0"
"14",4,"1","1","0","0","0"
"14",5,"0","0","0","0","0"
"14",6,"0","0","0","0","0"
"14",9,"","","","",""
"15",1,"4673","4302","280","91","0"
"15",2,"634","569","52","13","0"
"15",3,"102","88","10","4","0"
"15",4,"31","26","4","1","0"
"15",5,"10","10","0","0","0"
"15",6,"15","8","7","0","0"
"15",9,"587","523","58","6",""
"16",1,"124","111","13","0","0"
"16",2,"12","12","0","0","0"
"16",3,"0","0","0","0","0"
"16",4,"2","2","0","0","0"
"16",5,"0","0","0","0","0"
"16",6,"0","0","0","0","0"
"16",9,"","","","",""
"17",1,"64","58","4","2","0"
"17",2,"10","9","1","0","0"
"17",3,"0","0","0","0","0"
"17",4,"0","0","0","0","0"
"17",5,"0","0","0","0","0"
"17",6,"0","0","0","0","0"
"17",9,"","","","",""
"18",1,"0","0","0","0","0"
"18",2,"0","0","0","0","0"
"18",3,"0","0","0","0","0"
"18",4,"0","0","0","0","0"
"18",5,"0","0","0","0","0"
"18",6,"0","0","0","0","0"
"18",9,"","","","",""
"19",1,"26","23","2","1","0"
"19",2,"3","3","NSS","NSS","0"
"19",3,"1","1","NSS","NSS","0"
"19",4,"0","0","0","0","0"
"19",5,"0","0","0","0","0"
"19",6,"0","0","0","0","0"
"19",9,"55","46","4","5",""
"20",1,"3236","2839","387","10","0"
"20",2,"0","0","0","0","0"
"20",3,"0","0","0","0","0"
"20",4,"0","0","0","0","0"
"20",5,"0","0","0","0","0"
"20",6,"0","0","0","0","0"
"20",9,"","","","",""
"21",1,"164","142","15","6","1"
"21",2,"NSS","NSS","0","0","0"
"21",3,"NSS","NSS","0","0","0"
"21",4,"NSS","NSS","0","0","0"
"21",5,"NSS","NSS","0","0","0"
"21",6,"NSS","NSS","0","0","0"
"21",9,"5","5","","",""
"22",1,"16","15","1","0","0"
"22",2,"0","0","0","0","0"
"22",3,"1","1","0","0","0"
"22",4,"0","0","0","0","0"
"22",5,"0","0","0","0","0"
"22",6,"0","0","0","0","0"
"22",9,"","","","",""
"23",1,"46","44","2","0","0"
