entidad,proc_del,stpsnitt,stpsni1,stpsni2,stpsni3,stpsni4,stpsni5,stpsni6,stpsni7,stpsni8
"01",1,"1181","1027","143","11","0","NSS","NSS","NSS","NSS"
"01",2,"110","98","12","0","0","NSS","NSS","NSS","NSS"
"01",3,"11","11","0","0","0","NSS","NSS","NSS","NSS"
"01",4,"2","2","0","0","0","NSS","NSS","NSS","NSS"
"01",5,"1","1","0","0","0","NSS","NSS","NSS","NSS"
"01",6,"NSS","0","0","0","0","NSS","NSS","NSS","NSS"
"01",9,"16","15","1","","","","","",""
"02",1,"9363","3730","249","219","8","4436","380","341","0"
"02",2,"918","186","26","10","0","597","75","24","0"
"02",3,"147","24","2","2","0","101","15","3","0"
"02",4,"24","4","2","0","0","18","0","0","0"
"02",5,"0","0","0","0","0","0","0","0","0"
"02",6,"0","0","0","0","0","0","0","0","0"
"02",9,"2","","","1","","","","1",""
"03",1,"1975","1376","167","0","0","385","37","10","0"
"03",2,"106","71","12","0","0","20","3","0","0"
"03",3,"9","6","1","0","0","2","0","0","0"
"03",4,"0","0","0","0","0","0","0","0","0"
"03",5,"0","0","0","0","0","0","0","0","0"
"03",6,"2","2","0","0","0","0","0","0","0"
"03",9,"3","3","","","","","","",""
"04",1,"237","113","30","3","0","82","8","1","0"
"04",2,"21","11","6","1","1","2","0","0","0"
"04",3,"12","2","10","0","0","0","0","0","0"
"04",4,"5","2","2","1","0","0","0","0","0"
"04",5,"0","0","0","0","0","0","0","0","0"
"04",6,"0","0","0","0","0","0","0","0","0"
"04",9,"","","","","","","","",""
"05",1,"1856","268","26","3","0","1422","114","22","1"
"05",2,"84","21","3","0","0","53","5","2","0"
"05",3,"9","3","0","0","0","5","1","0","0"
"05",4,"1","1","0","0","0","0","0","0","0"
"05",5,"0","0","0","0","0","0","0","0","0"
"05",6,"0","0","0","0","0","0","0","0","0"
"05",9,"","","","","","","","",""
"06",1,"329","287","41","1","0","0","0","0","0"
"06",2,"67","59","7","1","0","0","0","0","0"
"06",3,"2","2","0","0","0","0","0","0","0"
"06",4,"1","1","0","0","0","0","0","0","0"
"06",5,"0","0","0","0","0","0","0","0","0"
"06",6,"0","0","0","0","0","0","0","0","0"
"06",9,"","","","","","","","",""
"07",1,"2574","1085","137","221","6","1007","67","51","0"
"07",2,"187","104","3","3","0","63","13","1","0"
"07",3,"74","23","0","26","0","23","2","0","0"
"07",4,"10","7","3","0","0","0","0","0","0"
"07",5,"1","1","0","0","0","0","0","0","0"
"07",6,"0","0","0","0","0","0","0","0","0"
"07",9,"41","10","","1","","","","30",""
"08",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0"
"08",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0"
"08",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0"
"08",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0"
"08",5,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0"
"08",6,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0"
"08",9,"9997","","","","","8931","1066","",""
"09",1,"13063","6215","892","2","0","4908","1043","3","0"
"09",2,"487","308","39","0","0","124","16","0","0"
"09",3,"48","28","5","0","0","12","3","0","0"
"09",4,"3","2","1","0","0","0","0","0","0"
"09",5,"2","2","0","0","0","0","0","0","0"
"09",6,"1","1","0","0","0","0","0","0","0"
"09",9,"","","","","","","","",""
"10",1,"3834","76","18","12","0","3162","485","80","1"
"10",2,"438","12","0","1","0","372","42","10","1"
"10",3,"23","3","0","0","0","15","4","1","0"
"10",4,"4","0","0","1","0","3","0","0","0"
"10",5,"0","0","0","0","0","0","0","0","0"
"10",6,"0","0","0","0","0","0","0","0","0"
"10",9,"","","","","","","","",""
"12",1,"2882","1812","318","440","2","260","34","16","0"
"12",2,"296","169","17","86","NSS","20","0","4","0"
"12",3,"65","54","10","1","NSS","0","0","0","0"
"12",4,"1","1","0","0","NSS","0","0","0","0"
"12",5,"0","0","0","0","0","0","0","0","0"
"12",6,"10","10","0","0","NSS","0","0","0","0"
"12",9,"12","1","","1","1","9","","",""
"13",1,"3016","1861","371","27","1","660","88","8","0"
"13",2,"356","149","27","2","1","158","16","3","0"
"13",3,"33","12","1","0","0","19","1","0","0"
"13",4,"8","4","0","0","0","3","1","0","0"
"13",5,"5","5","0","0","0","0","0","0","0"
"13",6,"0","0","0","0","0","0","0","0","0"
"13",9,"","","","","","","","",""
"14",1,"5744","3323","382","1659","15","307","27","31","0"
"14",2,"566","349","44","95","1","68","4","5","0"
"14",3,"92","67","3","13","0","9","0","0","0"
"14",4,"15","12","1","1","0","1","0","0","0"
"14",5,"0","0","0","0","0","0","0","0","0"
"14",6,"1","1","0","0","0","0","0","0","0"
"14",9,"22","20","1","1","","","","",""
"15",1,"9505","2960","230","4","0","5639","613","59","0"
"15",2,"1591","644","88","0","0","752","100","7","0"
"15",3,"373","193","33","0","0","136","11","0","0"
"15",4,"142","56","10","0","0","65","11","0","0"
"15",5,"38","10","3","0","0","23","2","0","0"
"15",6,"14","2","1","0","0","11","0","0","0"
"15",9,"8568","63","8","","","7489","914","94",""
"16",1,"5682","3291","535","244","0","1427","185","0","0"
"16",2,"289","3","2","NSS","0","252","32","0","0"
"16",3,"35","0","0","NSS","0","32","3","0","0"
"16",4,"0","0","0","0","0","0","0","0","0"
"16",5,"0","0","0","0","0","0","0","0","0"
"16",6,"0","0","0","0","0","0","0","0","0"
"16",9,"1567","1129","131","307","","","","",""
"17",1,"929","0","0","0","0","720","111","98","0"
"17",2,"71","0","0","0","0","60","8","3","0"
"17",3,"7","0","0","0","0","6","0","1","0"
"17",4,"0","0","0","0","0","0","0","0","0"
"17",5,"0","0","0","0","0","0","0","0","0"
"17",6,"0","0","0","0","0","0","0","0","0"
"17",9,"19","","","","","18","1","",""
"18",1,"3315","1553","231","290","3","1120","81","37","0"
"18",2,"309","178","26","27","0","68","9","1","0"
"18",3,"46","24","3","2","0","17","0","0","0"
"18",4,"7","6","0","0","0","1","0","0","0"
"18",5,"0","0","0","0","0","0","0","0","0"
"18",6,"0","0","0","0","0","0","0","0","0"
"18",9,"","","","","","","","",""
"19",1,"6809","24","1","NSS","0","3504","386","2894","0"
"19",2,"873","3","NSS","NSS","0","451","51","368","0"
"19",3,"64","1","NSS","NSS","0","38","10","15","0"
"19",4,"5","0","NSS","NSS","0","3","0","2","0"
"19",5,"0","0","0","0","0","0","0","0","0"
"19",6,"0","0","0","0","0","0","0","0","0"
"19",9,"5041","1270","128","728","","1610","229","1076",""
"20",1,"3498","809","166","6","0","2240","277","0","0"
"20",2,"57","54","3","0","0","0","0","0","0"
"20",3,"2","1","1","0","0","0","0","0","0"
"20",4,"0","0","0","0","0","0","0","0","0"
"20",5,"0","0","0","0","0","0","0","0","0"
"20",6,"0","0","0","0","0","0","0","0","0"
"20",9,"331","257","74","","","","","",""
"21",1,"5563","1898","322","80","1","2766","321","163","12"
"21",2,"466","127","29","8","0","250","37","15","0"
"21",3,"57","19","4","1","0","27","3","3","0"
"21",4,"17","6","1","0","0","1","1","8","0"
"21",5,"0","0","0","0","0","0","0","0","0"
"21",6,"0","0","0","0","0","0","0","0","0"
"21",9,"10","","1","","","8","1","",""
"22",1,"1424","602","108","80","0","568","52","14","0"
"22",2,"135","57","5","7","0","63","2","1","0"
"22",3,"9","2","0","0","0","6","1","0","0"
"22",4,"1","0","0","0","0","1","0","0","0"
"22",5,"0","0","0","0","0","0","0","0","0"
"22",6,"1","0","0","0","0","1","0","0","0"
"22",9,"","","","","","","","",""
"23",1,"1277","459","68","97","1","602","39","11","0"
"23",2,"108","32","10","6","0","56","4","0","0"
"23",3,"3","0","0","0","0","3","0","0","0"
"23",4,"16","14","1","0","0","1","0","0","0"
"23",5,"0","0","0","0","0","0","0","0","0"
"23",6,"0","0","0","0","0","0","0","0","0"
"23",9,"2","","","","","2","","",""
"24",1,"1698","1170","123","NSS","0","362","21","22","0"
"24",2,"72","11","0","0","0","53","3","5","0"
"24",3,"10","3","0","0","0","6","1","0","0"
"24",4,"0","0","0","0","0","0","0","0","0"
"24",5,"0","0","0","0","0","0","0","0","0"
"24",6,"0","0","0","0","0","0","0","0","0"
"24",9,"","","","","","","","",""
"25",1,"812","NSS","NSS","NSS","NSS","762","50","0","0"
"25",2,"190","NSS","NSS","NSS","NSS","172","18","0","0"
"25",3,"20","NSS","NSS","NSS","NSS","17","3","0","0"
"25",4,"7","NSS","NSS","NSS","NSS","7","0","0","0"
"25",5,"3","NSS","NSS","NSS","NSS","3","0","0","0"
"25",6,"NSS","NSS","NSS","NSS","NSS","0","0","0","0"
"25",9,"1","","","","","","1","",""
"26",1,"5976","4598","489","0","0","826","53","10","0"
