entidad,delitos,stpsnitt,stpsni1,stpsni2,stpsni3,stpsni4,stpsni5,stpsni6,stpsni7,stpsni8
"10",80107,"0","0","0","0","0","0","0","0","0"
"10",80109,"3","0","0","0","0","2","1","0","0"
"10",80199,"","","","","","","","",""
"10",80200,"0","0","0","0","0","0","0","0","0"
"10",80201,"0","0","0","0","0","0","0","0","0"
"10",80209,"0","0","0","0","0","0","0","0","0"
"10",80299,"","","","","","","","",""
"10",80300,"0","0","0","0","0","0","0","0","0"
"10",80400,"0","0","0","0","0","0","0","0","0"
"10",80900,"1","0","0","0","0","NSS","NSS","1","0"
"10",90100,"16","1","0","0","0","13","1","1","0"
"10",90200,"32","0","0","0","0","30","2","0","0"
"10",90300,"7","NSS","NSS","1","0","4","2","0","0"
"10",90400,"18","3","NSS","4","0","6","5","0","0"
"10",90500,"0","0","0","0","0","0","0","0","0"
"10",90501,"0","0","0","0","0","0","0","0","0"
"10",90502,"0","0","0","0","0","0","0","0","0"
"10",90503,"0","0","0","0","0","0","0","0","0"
"10",90509,"0","0","0","0","0","0","0","0","0"
"10",90599,"","","","","","","","",""
"10",90600,"0","0","0","0","0","0","0","0","0"
"10",90700,"0","0","0","0","0","0","0","0","0"
"10",90701,"0","0","0","0","0","0","0","0","0"
"10",90709,"0","0","0","0","0","0","0","0","0"
"10",90799,"","","","","","","","",""
"10",90800,"0","0","0","0","0","0","0","0","0"
"10",90900,"0","0","0","0","0","0","0","0","0"
"10",91000,"0","0","0","0","0","0","0","0","0"
"10",91100,"0","0","0","0","0","0","0","0","0"
"10",91200,"4","0","0","0","0","4","0","0","0"
"10",91300,"0","0","0","0","0","0","0","0","0"
"10",91400,"0","0","0","0","0","0","0","0","0"
"10",91500,"0","0","0","0","0","0","0","0","0"
"10",91600,"0","0","0","0","0","0","0","0","0"
"10",91900,"880","52","7","10","0","704","70","37","0"
"10",999999,"","","","","","","","",""
"12",10100,"183","108","6","17","0","49","2","1","0"
"12",10200,"7","2","0","1","0","4","0","0","0"
"12",10300,"0","0","0","0","0","0","0","0","0"
"12",10400,"343","222","42","40","0","32","4","3","0"
